field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15
1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	-1
2	21	0	0	1	0	0	0	1	0	0	1	33	0	0	-1
3	22	0	0	2	0	0	0	0	0	0	1	1	0	0	-1
4	23	0	0	2	0	0	0	1	0	0	1	33	0	0	-1
5	24	0	0	3	0	0	0	0	0	0	1	1	0	0	-1
6	25	0	0	3	0	0	0	1	0	0	1	33	0	0	-1
7	26	0	0	4	0	0	0	0	0	0	1	1	0	0	-1
8	26	0	0	5	0	0	0	0	0	0	1	1	0	0	-1
9	27	0	0	4	0	0	0	1	0	0	1	33	0	0	-1
10	27	0	0	5	0	0	0	1	0	0	1	33	0	0	-1
21	42	0	0	21	0	0	0	0	0	0	1	0	0	65536	-1
22	42	0	0	21	2	0	0	1	0	0	1	32	0	8192	-1
23	41	0	0	21	0	0	0	1	0	0	1	32	0	73728	-1
24	43	0	0	23	0	0	0	1	0	0	1	32	0	73728	-1
25	44	0	0	22	0	0	0	1	0	0	1	32	0	73728	-1
26	45	0	0	21	0	0	0	0	0	0	1	0	0	4096	-1
41	61	6	0	41	0	0	0	1	0	0	1	0	0	0	-1
42	62	1	0	41	0	0	0	0	0	0	1	0	0	1	-1
43	62	6	0	41	2	0	0	1	0	0	1	64	0	0	-1
44	63	466	0	41	0	0	0	0	0	0	1	0	0	0	-1
46	64	467	0	41	0	0	0	0	0	0	1	0	0	0	-1
48	65	468	0	41	0	0	0	0	0	0	1	0	0	0	-1
49	65	472	0	41	2	0	0	1	0	0	1	64	0	0	-1
51	66	472	0	41	0	0	0	1	0	0	1	0	0	0	-1
52	67	132	0	41	0	0	0	1	0	0	1	0	0	0	-1
53	68	131	0	41	0	0	0	0	0	0	1	0	0	0	-1
54	68	132	0	41	2	0	0	1	0	0	1	64	0	0	-1
61	81	0	0	61	0	0	0	0	0	0	1	0	0	0	-1
62	82	0	0	62	0	0	0	0	0	0	1	0	0	0	-1
63	83	0	0	63	0	0	0	0	0	0	1	0	0	0	-1
64	84	0	0	64	0	0	0	1	0	0	1	0	0	0	-1
65	85	0	0	64	0	0	0	0	0	0	1	0	0	0	-1
66	85	0	0	64	2	0	0	1	0	0	1	0	0	0	-1
67	86	0	0	65	0	0	0	1	0	0	1	0	0	0	-1
81	101	0	0	81	0	0	0	0	0	0	1	0	0	0	-1
101	123	0	0	102	0	0	0	1	0	0	1	32	0	0	-1
102	121	0	0	101	0	0	0	1	0	0	1	0	0	0	-1
103	122	0	0	101	0	0	0	0	0	0	1	0	0	0	-1
104	122	0	0	101	2	0	0	1	0	0	1	0	0	0	-1
105	124	0	0	61	0	0	0	0	0	0	1	1	0	0	-1
106	125	0	0	103	0	0	0	0	0	0	1	0	0	0	-1
121	141	0	0	121	0	0	0	1	0	0	1	0	0	8192	-1
122	142	0	0	121	0	0	0	0	0	0	1	0	0	1048576	-1
123	142	0	0	121	2	0	0	1	0	0	1	0	0	1048576	-1
141	161	0	0	141	0	0	0	0	0	0	1	0	0	0	-1
142	162	0	0	142	0	0	0	0	0	0	1	0	0	0	-1
161	181	0	0	161	0	0	0	0	0	0	1	0	0	0	-1
162	182	0	0	162	0	0	0	1	0	0	1	0	0	0	-1
163	183	0	0	162	0	0	0	0	0	0	1	0	0	0	-1
164	183	0	0	162	2	0	0	1	0	0	1	0	0	0	-1
165	184	202	0	163	0	0	0	1	0	0	1	0	0	8192	-1
166	185	201	0	163	0	0	0	0	0	0	1	0	0	0	-1
167	185	202	0	163	2	0	0	1	0	0	1	0	0	8192	-1
168	186	127	0	165	0	0	0	0	0	0	1	0	0	0	-1
169	186	224	0	164	0	0	0	0	0	0	1	0	0	0	-1
181	201	127	0	181	0	0	0	0	0	0	1	0	0	0	-1
182	202	188	0	182	0	0	0	1	0	0	1	0	0	0	-1
183	203	50	0	182	0	0	0	0	0	0	1	0	0	0	-1
185	204	189	0	405	0	0	0	0	0	0	1	0	0	4096	-1
186	205	0	0	183	0	0	0	0	0	0	1	0	0	0	-1
187	206	0	0	184	0	0	0	1	0	0	1	32	0	0	-1
201	221	0	0	201	0	0	0	0	0	0	1	0	0	0	-1
202	221	0	0	201	2	0	0	1	0	0	1	32	0	8192	-1
203	222	0	0	202	0	0	0	0	0	0	1	0	0	0	-1
204	222	0	0	202	2	0	0	1	0	0	1	32	0	8192	-1
205	223	0	0	203	0	0	0	0	0	0	1	0	0	0	-1
206	223	0	0	203	2	0	0	1	0	0	1	32	0	8192	-1
207	224	0	0	202	0	0	0	0	0	0	1	0	0	0	-1
208	224	0	0	202	2	0	0	1	0	0	1	32	0	8192	-1
209	224	0	0	241	0	0	0	0	0	0	1	0	0	0	-1
210	224	0	0	241	2	2	0	1	0	0	1	32	0	8192	-1
211	225	0	0	221	0	0	0	0	0	0	1	0	0	0	-1
212	226	0	0	222	0	0	0	0	0	0	1	0	0	0	-1
213	227	0	0	223	0	0	0	1	0	0	1	32	0	0	-1
