field0	field1	field2	field3
1	0	126	1
2	5	126	1
3	17	126	1
4	85	126	1
5	18	126	1
21	19	126	1
22	86	126	1
101	0	474	41
102	126	69	41
121	0	120	61
122	5	223	61
123	4	119	61
124	107	56	62
125	45	193	63
126	41	193	63
127	524	193	63
128	526	193	63
132	42	193	63
133	109	580	64
134	105	578	64
135	46	582	64
136	29	576	64
137	0	69	64
138	4	119	65
139	0	120	65
140	5	223	65
141	143	524	66
142	5	524	66
143	4	526	66
144	0	25	67
145	5	4	68
146	143	4	68
147	187	4	68
148	13	12	68
149	135	470	69
150	0	120	70
151	5	213	70
152	143	213	70
153	150	6	71
154	0	154	71
155	4	213	72
156	5	214	72
157	458	131	73
158	233	132	73
159	234	132	73
160	42	132	73
161	193	132	73
162	464	132	73
163	6	0	74
170	1	0	74
171	466	0	74
172	467	0	74
173	468	0	74
174	472	0	74
175	0	484	75
176	4	119	76
177	0	120	76
178	5	223	76
179	143	223	61
180	145	148	77
181	135	193	78
182	42	193	78
183	41	193	78
184	93	11	79
185	92	12	79
186	0	42	80
187	13	45	80
188	93	43	80
189	92	44	80
190	5	524	80
191	143	530	80
192	4	526	80
193	193	132	81
194	1	132	81
195	467	132	81
196	193	135	82
208	0	144	91
209	45	193	92
210	41	193	92
211	524	193	92
212	526	193	92
213	42	193	92
214	5	193	92
215	4	193	92
216	143	193	92
217	200	193	92
218	39	193	92
219	187	193	92
220	40	193	92
897	135	193	92
898	42	193	99
899	135	193	99
900	458	213	100
901	464	214	100
903	41	0	101
904	42	4	101
905	524	5	101
910	532	0	101
911	544	4	101
912	540	5	101
913	0	193	78
914	11	193	78
915	542	4	101
916	37	215	104
917	38	214	104
918	39	213	104
919	57	217	104
923	0	218	104
929	26	476	111
930	94	69	112
931	94	213	113
932	0	120	114
933	5	223	114
934	4	119	114
935	143	223	114
941	16	672	115
942	117	674	115
943	20	676	115
944	25	678	115
945	118	680	115
949	16	682	116
950	117	684	116
951	20	686	116
952	25	688	116
953	118	690	116
954	16	692	117
955	117	692	117
956	20	696	117
957	25	698	117
958	118	700	117
1347	94	0	140
1356	4	526	145
1357	143	530	145
1358	5	524	145
1359	16	9	146
1360	40	4	146
1361	229	234	147
1362	0	234	147
1363	193	234	147
1372	4	126	152
1373	5	126	152
1374	143	126	152
1375	13	126	152
1376	40	126	152
1377	17	482	111
1378	193	0	153
1379	135	0	153
1381	245	411	154
1382	16	411	154
1393	5	4	161
1394	85	482	162
1395	26	652	162
1398	21	477	162
1399	30	94	162
1403	4	120	166
1404	13	120	166
1405	5	120	166
1406	93	120	166
1407	92	120	166
1408	143	120	166
1409	11	0	166
1410	12	0	166
1411	0	4	167
1412	5	4	167
1413	0	217	168
1414	0	28	169
1415	135	4	170
1416	42	4	171
1422	5	4	175
1427	41	0	176
1428	42	4	176
1429	524	5	176
1430	532	0	176
1431	544	4	176
1432	540	5	176
1433	542	4	176
1434	0	69	176
1435	4	119	177
1436	5	223	177
1438	28	688	116
1439	0	25	178
1440	0	193	179
1441	4	13	180
1442	5	13	180
1443	143	13	180
1444	13	4	180
1446	25	108	182
1447	5	622	183
1448	0	120	184
1449	4	119	184
1450	5	223	184
1451	143	223	184
1452	11	120	184
1453	12	120	184
1454	53	722	117
1455	124	726	117
1456	4	143	185
1457	0	110	186
1458	11	110	186
1459	12	110	186
1460	16	692	187
1461	117	694	187
1462	20	696	187
1463	25	698	187
1464	118	700	187
1465	53	722	187
1466	124	726	187
1467	25	69	188
1468	0	69	188
1469	2	69	188
1472	143	4	189
1473	5	4	189
1474	124	135	190
1475	0	69	191
1476	0	68	192
1477	0	73	193
1478	0	81	194
1479	0	70	195
1480	0	80	196
1481	5	622	197
1482	38	638	197
1483	39	642	197
1484	37	640	197
1485	187	644	197
1486	0	186	198
1487	0	77	199
1488	0	26	200
1489	16	32	201
1490	0	51	201
1491	125	728	117
1492	54	724	117
