field0	field1	field2	field3	field4
0	0	1	28	40
1	0	1	28	41
2	0	1	28	42
3	0	1	28	43
4	0	1	28	44
5	0	1	28	45
6	0	1	29	40
7	0	1	29	41
8	0	1	29	42
9	0	1	29	43
10	0	1	29	44
11	0	1	29	45
12	0	1	30	40
13	0	1	30	41
14	0	1	30	42
15	0	1	30	43
16	0	1	30	44
17	0	1	30	45
18	0	1	31	40
19	0	1	31	41
20	0	1	31	42
21	0	1	31	43
22	0	1	31	44
23	0	1	31	45
24	0	1	32	40
25	0	1	32	41
26	0	1	32	42
27	0	1	32	43
28	0	1	32	44
29	0	1	32	45
30	0	1	33	39
31	0	1	33	40
32	0	1	33	41
33	0	1	33	42
34	0	1	33	43
35	0	1	34	39
36	0	1	34	40
37	0	1	34	41
38	0	1	34	42
39	0	1	34	43
40	0	1	35	39
41	0	1	35	40
42	0	1	35	41
43	0	1	35	42
44	0	1	35	43
45	0	1	36	40
46	0	1	36	41
47	0	1	36	42
48	0	1	36	43
49	0	2	26	52
50	0	2	26	53
51	0	2	26	54
52	0	2	27	49
53	0	2	27	50
54	0	2	27	51
55	0	2	27	52
56	0	2	27	53
57	0	2	27	54
58	0	2	28	49
59	0	2	28	50
60	0	2	28	51
61	0	2	28	52
62	0	2	28	53
63	0	2	28	54
64	0	2	29	49
65	0	2	29	50
66	0	2	29	53
67	0	2	29	54
68	0	2	30	49
69	0	2	30	50
70	0	3	22	31
71	0	3	35	44
72	0	3	35	45
73	0	3	36	43
74	0	3	36	44
75	0	3	36	45
76	0	3	37	43
77	0	3	37	44
78	0	3	37	45
79	0	3	38	43
80	0	3	38	44
81	0	3	38	45
82	0	3	39	43
83	0	3	39	44
84	0	3	39	45
85	0	3	39	46
86	0	3	40	43
87	0	3	40	44
88	0	3	40	45
89	0	3	40	46
90	0	3	41	43
91	0	3	41	44
92	0	3	41	45
93	0	3	41	46
94	0	3	46	26
95	0	4	36	52
96	0	4	36	53
97	0	4	36	55
98	0	4	36	56
99	0	4	37	51
100	0	4	37	52
101	0	4	37	53
102	0	4	37	54
103	0	4	37	55
104	0	4	37	56
105	0	4	38	51
106	0	4	38	52
107	0	4	38	53
108	0	4	38	54
109	0	4	38	55
110	0	4	39	53
111	0	4	39	54
112	0	8	36	50
113	0	8	36	51
114	0	8	36	52
115	0	8	37	50
116	0	8	37	51
117	0	8	37	52
118	0	8	38	50
119	0	8	38	51
120	0	8	38	52
121	0	8	39	50
122	0	8	39	51
123	0	8	39	52
124	0	9	31	48
125	0	9	32	48
126	0	9	32	49
127	0	9	33	48
128	0	9	33	49
129	0	10	30	52
130	0	10	31	51
131	0	10	31	52
132	0	10	31	53
133	0	10	32	51
134	0	10	32	52
135	0	10	32	53
136	0	10	33	51
137	0	10	33	52
138	0	10	33	53
139	0	10	34	50
140	0	10	34	51
141	0	10	34	52
142	0	10	34	53
143	0	10	35	50
144	0	10	35	51
145	0	10	35	52
146	0	10	35	53
147	0	11	32	39
148	0	11	32	40
149	0	11	33	38
150	0	11	33	39
151	0	11	33	40
152	0	11	34	38
153	0	11	34	39
154	0	11	35	36
155	0	11	35	37
156	0	11	35	38
157	0	11	35	39
158	0	11	35	40
159	0	11	36	36
160	0	11	36	37
161	0	11	36	38
162	0	11	36	39
163	0	11	36	40
164	0	11	37	36
165	0	11	37	37
166	0	11	37	38
167	0	11	37	39
168	0	11	37	40
169	0	11	38	38
170	0	11	38	39
171	0	11	38	40
172	0	12	28	45
173	0	12	28	46
