id	importance	normalIcon	normalIcon50%	normalIcon0%	hordeIcon	hordeIcon50%	hordeIcon0%	AllianceIcon	AllianceIcon50%	AllianceIcon0%	factionID	X	Y	Z	continentID	area	name	description	flags	worldstate	worldMapLink	
792	2	5	0	0	0	0	0	0	0	0	0	234.85	-2127.76	0	525	47	"Aerie Peak"	""	0	0	0
1032	0	7	0	0	0	0	0	0	0	0	0	-4817.79	-2666.7	0	516	838	"Algaz Station"	""	0	0	0
2592	2	5	0	0	0	0	0	0	0	0	0	1537.479	-1596.34	0	525	28	"Andorhal"	""	0	0	0
27	3	7	0	0	0	0	0	0	0	0	84	-6392.65	-3158	0	517	338	"Angor Fortress"	""	0	0	0
1	3	7	0	0	0	0	0	0	0	0	0	-6134.28	383.763	0	517	132	"Anvilmar"	""	0	0	0
1287	0	7	0	0	0	0	0	0	0	0	0	-10443.3	-2141.1	0	516	2697	"Ariden\'s Camp"	""	0	0	0
1128	0	7	0	0	0	0	0	0	0	0	0	-10349.7	-1538.8	0	0	42	"Beggar\'s Haunt"	""	0	0	0
2580	2	7	0	0	0	0	0	0	0	0	0	-3663.528	-5303.932	0	517	4922	"Bloodgulch"	""	0	0	0
2571	3	5	0	0	0	0	0	0	0	0	0	-9767.96	-3912.948	0	525	8	"Bogpaddle"	""	0	0	0
40	3	5	0	0	0	0	0	0	0	0	0	-14383.3	487.139	0	525	35	"Booty Bay"	""	0	0	0
1010	0	7	0	0	0	0	0	0	0	0	0	-1194.05	-2119.16	0	516	1858	"Boulderfist Outpost"	""	0	0	0
2	2	7	0	0	0	0	0	0	0	0	0	2249.85	278.414	0	517	159	"Brill"	""	0	0	0
1018	0	7	0	0	0	0	0	0	0	0	0	2483.98	-5183.79	0	516	2271	"Browman Mill"	""	0	0	0
2431	0	46	7	0	0	0	0	0	0	0	0	-8635.6	795.168	0	935	1519	"Cathedral Square"	""	5401	15089	0
1307	2	7	0	0	0	0	0	0	0	0	0	921.054	-1421.46	0	517	197	"Chillwind Camp"	""	0	0	0
2626	2	5	0	0	0	0	0	0	0	0	0	-7924.009	-1918.425	0	525	46	"Chiselgrip"	""	0	0	0
2585	1	7	0	0	0	0	0	0	0	0	0	-4840.495	-4821.499	0	517	4922	"Crushblow"	""	0	0	0
2590	3	7	0	0	0	0	0	0	0	0	0	-6876.415	6009.471	0	517	5146	"Darkbreak Cove"	""	0	0	0
2704	0	181	0	0	0	0	0	0	0	0	0	-9548.009	90.97396	0	29	12	"Darkmoon Faire"	""	6078	15184	0
3	3	5	0	0	0	0	0	0	0	0	0	-10564.7	-1170.65	0	525	10	"Darkshire"	""	0	0	0
1288	0	7	0	0	0	0	0	0	0	0	0	-10572	-1841.05	0	516	2697	"Deadwind Ravine"	""	0	0	0
4	3	7	0	0	0	0	0	0	0	0	0	1879.83	1588.2	0	517	154	"Deathknell"	""	0	0	0
2586	3	7	0	0	0	0	0	0	0	0	0	-5132.042	3282.906	0	0	5146	"Deepmist Grotto"	""	0	0	0
2558	1	7	0	0	0	0	0	0	0	0	0	-7011.733	-2554.184	0	517	3	"Dragon\'s Mouth"	""	0	0	0
2577	3	5	0	0	0	0	0	0	0	0	0	-4013.146	-6417.573	0	525	4922	"Dragonmaw Port"	""	0	0	0
2561	2	5	0	0	0	0	0	0	0	0	0	-10930.78	-2728.788	0	525	4	"Dreadmaul Hold"	""	0	0	0
327	0	7	0	0	0	0	0	0	0	0	0	-1014.22	-3827.39	0	516	321	"Drywhisker Gorge"	""	0	0	0
5	3	7	0	0	0	0	0	0	0	0	0	-4191.02	-2373.14	0	517	836	"Dun Algaz"	""	0	0	0
6	3	7	0	0	0	0	0	0	0	0	0	-2610.26	-2350.56	0	517	205	"Dun Modr"	""	0	0	0
1028	0	7	0	0	0	0	0	0	0	0	0	-7320.59	-2265.09	0	516	344	"Dustbelch Grotto"	""	0	0	0
2566	1	7	0	0	0	0	0	0	0	0	0	-9478.264	-1290.38	0	517	12	"Eastvale Logging Camp"	""	0	0	0
949	0	7	0	0	0	0	0	0	0	0	0	-8676.57	-119.634	0	516	24	"Echo Ridge Mine"	""	0	0	0
2567	3	7	0	0	0	0	0	0	0	0	0	-5656.009	-4274.749	0	517	38	"Farstrider Lodge"	""	0	0	0
2579	1	7	0	0	0	0	0	0	0	0	0	-4186.21	-5608.162	0	517	4922	"Firebeard\'s Patrol"	""	0	0	0
1177	3	7	0	0	0	0	0	0	0	0	0	-7479.77	-2186.4	0	517	250	"Flame Crest"	""	0	0	0
2570	1	7	0	0	0	0	0	0	0	0	0	1065.51	1559.382	0	517	130	"Forsaken Rear Guard"	""	0	0	0
2568	3	5	0	0	0	0	0	0	0	0	0	-12836.27	-425.6736	0	525	33	"Fort Livingston"	""	0	0	0
2559	3	5	0	0	0	0	0	0	0	0	83	-6615.338	-3892.476	0	525	3	"Fuselight"	""	0	0	0
7	3	7	0	0	0	0	0	0	0	0	0	-9480.09	63.5218	0	517	87	"Goldshire"	""	0	0	0
2594	2	7	0	0	0	0	0	0	0	0	0	-3280.667	-2752.481	0	517	11	"Greenwarden\'s Grove"	""	0	0	0
1033	0	7	0	0	0	0	0	0	0	0	0	-4055	-3448.54	0	516	1038	"Grim Batol"	""	0	0	0
41	3	5	0	0	0	0	0	0	0	0	83	-12378.4	185.734	0	525	33	"Grom\'gol Base Camp"	""	0	0	0
1011	0	7	0	0	0	0	0	0	0	0	0	-11112.2	-2335.63	0	516	2561	"Grosh\'gok Compound"	""	0	0	0
2473	0	46	7	0	0	0	0	0	0	0	0	-4703.6	-1217.26	0	934	1537	"Hall of Explorers"	""	5457	15136	0
25	2	5	0	0	0	0	0	0	0	0	83	-991.57	-3528.34	0	525	45	"Hammerfall"	""	0	0	0
2573	0	5	0	0	0	0	0	0	0	0	0	-13272.82	728.3663	0	0	33	"Hardwrench Hideaway"	""	0	0	0
2578	3	5	0	0	0	0	0	0	0	0	0	-4812.708	-6678.292	0	525	4922	"Highbank"	""	0	0	0
2574	1	7	0	0	0	0	0	0	0	0	0	-25.46354	-2815.5	0	517	47	"Hiri\'watha Research Station"	""	0	0	0
2569	2	5	0	0	0	0	0	0	0	0	0	-7095.238	-1202.052	0	525	51	"Iron Summit"	""	0	0	0
948	0	7	0	0	0	0	0	0	0	0	0	-5858.7	-2004.1	0	516	212	"Ironband\'s Compound"	""	0	0	0
8	3	6	0	0	0	0	0	0	0	0	0	-4798.776	-1107.497	0	541	1	"Ironforge"	""	0	0	0
1702	0	7	0	0	0	0	0	0	0	0	0	1233.05	1214.28	0	516	130	"Ivar\'s Patch"	""	0	0	0
1031	0	7	0	0	0	0	0	0	0	0	0	-14179.6	718	0	516	35	"Janeiro\'s Point"	""	0	0	0
1030	0	7	0	0	0	0	0	0	0	0	0	-9184.5	-605.891	0	516	91	"Jasperlode Mine"	""	0	0	0
26	3	5	0	0	0	0	0	0	0	0	83	-6676.42	-2186.68	0	0	3	"Kargath"	""	0	0	0
2596	1	7	0	0	0	0	0	0	0	0	0	-1380.689	2126.285	0	517	4714	"Keel Harbor"	""	0	0	0
9	2	7	0	0	0	0	0	0	0	0	0	-5585.95	-482.127	0	517	131	"Kharanos"	""	0	0	0
2582	1	7	0	0	0	0	0	0	0	0	0	-2769.226	-5333.944	0	517	4922	"Kirthaven"	""	0	0	0
10	3	5	0	0	0	0	0	0	0	0	0	-9227.69	-2201.47	0	525	44	"Lakeshire"	""	0	0	0
2589	3	7	0	0	0	0	0	0	0	0	0	-6778.962	4193.525	0	517	5146	"Legion\'s Rest"	""	0	0	0
2564	3	5	0	0	0	0	0	0	0	0	0	2302.976	-5341.295	0	525	139	"Light\'s Hope Chapel"	""	0	0	0
950	0	7	0	0	0	0	0	0	0	0	0	-9948.39	69.1568	0	516	57	"Maclure Vineyards"	""	0	0	0
11	3	5	0	0	0	0	0	0	0	0	0	-3672.7	-828.455	0	525	11	"Menethil Harbor"	""	0	0	0
227	0	3	0	0	0	0	0	0	0	0	0	-9389.26	458.427	0	516	92	"Mirror Lake"	""	0	0	0
1683	0	7	0	0	0	0	0	0	0	0	0	-10854.8	-4093.43	0	517	300	"Misty Reed Post"	""	0	0	0
12	3	7	0	0	0	0	0	0	0	0	0	-11017.1	1510.17	0	517	20	"Moonbrook"	""	0	0	0
2474	0	46	7	0	0	0	0	0	0	0	0	-4645.04	-944.885	0	934	1537	"Mystic Ward"	""	5458	15147	0
2560	2	5	0	0	0	0	0	0	0	0	0	-10994.64	-3435.795	0	525	4	"Nethergarde Keep"	""	0	0	0
2557	3	5	0	0	0	0	0	0	0	0	83	-6764.01	-2433.285	0	525	3	"New Kargath"	""	0	0	0
1016	0	7	0	0	0	0	0	0	0	0	0	2046.11	1829.45	0	516	154	"Night Web\'s Hollow"	""	0	0	0
13	3	7	0	0	0	0	0	0	0	0	0	-8896.16	-179.328	0	517	24	"Northshire Abbey"	""	0	0	0
954	0	7	0	0	0	0	0	0	0	0	0	-9067.35	-333.965	0	516	24	"Northshire Vineyards"	""	0	0	0
2429	0	46	7	0	0	0	0	0	0	0	0	-8722.51	417.172	0	935	1519	"Old Town"	""	5399	15087	0
14	3	7	0	0	0	0	0	0	0	0	0	-10752.5	310.433	0	517	94	"Raven Hill"	""	0	0	0
24	2	5	0	0	0	0	0	0	0	0	84	-1251.05	-2526.81	0	525	320	"Refuge Pointe"	""	0	0	0
956	0	7	0	0	0	0	0	0	0	0	0	-8674.12	-2290.05	0	516	996	"Render\'s Rock"	""	0	0	0
1008	0	7	0	0	0	0	0	0	0	0	0	-8970.76	-2002.7	0	516	98	"Rethban Caverns"	""	0	0	0
1507	2	5	0	0	0	0	0	0	0	0	0	-573.459	-4590.51	0	525	307	"Revantusk Village"	""	0	0	0
1127	0	7	0	0	0	0	0	0	0	0	0	-11076	-1139.98	0	516	241	"Roland\'s Doom"	""	0	0	0
710	0	7	0	0	0	0	0	0	0	0	0	1262.19	-2579.41	0	516	2298	"Scholomance"	""	0	0	0
15	3	5	0	0	0	0	0	0	0	0	0	-10503.7	1027.76	0	525	40	"Sentinel Hill"	""	0	0	0
2587	3	7	0	0	0	0	0	0	0	0	0	-6116.978	4294.889	0	517	5146	"Silver Tide Hollow"	""	0	0	0
247	0	3	0	0	0	0	0	0	0	0	0	861.216	-558.217	0	516	282	"Slaughter Hollow"	""	0	0	0
1289	0	7	0	0	0	0	0	0	0	0	0	-10740.8	-1973.68	0	516	2938	"Sleeping Gorge"	""	0	0	0
1176	0	7	0	0	0	0	0	0	0	0	0	-7652.52	-3030.61	0	516	2420	"Slither Rock"	""	0	0	0
2627	1	7	0	0	0	0	0	0	0	0	0	-4635.432	3535.167	0	0	4815	"Smuggler\'s Scar"	""	0	0	0
22	3	5	0	0	0	0	0	0	0	0	0	-803.031	-531.727	0	0	267	"Southshore"	""	0	0	0
1007	0	7	0	0	0	0	0	0	0	0	0	-13751.4	-18.3165	0	516	1737	"Spirit Den"	""	0	0	0
1012	0	7	0	0	0	0	0	0	0	0	0	-10803.2	-3739.01	0	516	1797	"Stagalbog Cave"	""	0	0	0
947	0	7	0	0	0	0	0	0	0	0	0	-5488.04	-658.67	0	516	131	"Steelgrill\'s Depot"	""	0	0	0
788	1	7	0	0	0	0	0	0	0	0	0	-10443.7	-3277.49	0	517	8	"Stonard"	""	0	0	0
951	0	7	0	0	0	0	0	0	0	0	0	-9901.14	378.19	0	516	57	"Stonefield Farm"	""	0	0	0
2575	1	7	0	0	0	0	0	0	0	0	0	340.6684	-4128.128	0	517	47	"Stormfeather Outpost"	""	0	0	0
16	3	6	0	0	0	0	0	0	0	0	0	-8678.426	729.6007	0	541	12	"Stormwind City"	""	0	0	0
2110	0	7	0	0	0	0	0	0	0	0	0	-8573.47	990.095	0	0	4253	"Stormwind Harbor"	"Harbor Entrance"	0	0	0
2434	0	46	7	0	0	0	0	0	0	0	0	-8503.96	1011.85	0	935	1519	"Stormwind Harbor"	""	5402	15091	0
2562	3	7	0	0	0	0	0	0	0	0	0	-12706.02	-2873.431	0	517	4	"Surwich"	""	0	0	0
2593	1	7	0	0	0	0	0	0	0	0	0	-2871.995	-1493.771	0	517	11	"Swiftgear Station"	""	0	0	0
23	2	5	0	0	0	0	0	0	0	0	0	-27.0354	-900.562	0	525	267	"Tarren Mill"	""	0	0	0
1013	0	7	0	0	0	0	0	0	0	0	0	-10429.9	-3828.52	0	516	74	"Temple of Atal\'Hakkar"	""	0	0	0
2591	3	7	0	0	0	0	0	0	0	0	0	-6549.031	6126.409	0	517	5146	"Tenebrous Cavern"	""	0	0	0
1017	0	7	0	0	0	0	0	0	0	0	0	3035.33	-2773.9	0	516	2627	"Terrorweb Tunnel"	""	0	0	0
2576	2	5	0	0	0	0	0	0	0	0	0	1712.175	-751.5295	0	525	85	"The Bulwark"	""	0	0	0
2475	0	46	7	0	0	0	0	0	0	0	0	-4930.1	-943.351	0	934	1537	"The Commons"	""	5459	15137	0
2430	0	46	7	0	0	0	0	0	0	0	0	-8444.19	595.262	0	935	1519	"The Dwarven District"	""	5404	15088	0
2476	0	46	7	0	0	0	0	0	0	0	0	-4639.32	-1098.48	0	934	1537	"The Forlorn Cavern"	""	5460	15174	0
2477	0	46	7	0	0	0	0	0	0	0	0	-4818.28	-1090.15	0	934	1537	"The Great Forge"	""	5461	15144	0
2572	1	7	0	0	0	0	0	0	0	0	0	-10110.46	-2804.26	0	517	8	"The Harborage"	""	0	0	0
2581	1	7	0	0	0	0	0	0	0	0	0	-2743.804	-6410.026	0	517	4922	"The Krazzworks"	""	0	0	0
2433	0	46	7	0	0	0	0	0	0	0	0	-8979.6	874.806	0	935	1519	"The Mage Quarter"	""	5400	15090	0
