m_ID	m_ContinentID	m_ParentAreaID	m_AreaBit	m_flags	m_SoundProviderPref	m_SoundProviderPrefUnderwater	m_AmbienceID	m_ZoneMusic	m_IntroSound	m_ExplorationLevel	Unknown	m_AreaName_lang	m_factionGroupMask	m_liquidTypeID_1	m_liquidTypeID_2	m_liquidTypeID_3	m_liquidTypeID_4	m_minElevation	m_ambient_multiplier	m_lightid	newField20	newField21	newField22	newField23	newField24	newField25	
1	0	0	119	16449	0	11	598	759	1	0	0	"Dun Morogh"	2	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
2	0	40	120	1073758272	0	11	567	9	22	0	0	"Longshore"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
3	0	0	121	16448	0	11	606	738	32	0	0	"Badlands"	0	0	0	0	0	-500	0.1	0	15	0	0	675	0	-1
4	0	0	122	16448	0	11	210	7	41	0	0	"Blasted Lands"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
7	0	5287	123	1073758272	0	11	0	3	68	0	0	"Blackwater Cove"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
8	0	0	124	16448	0	11	33	223	98	0	0	"Swamp of Sorrows"	0	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
9	0	6170	125	1076903936	0	11	35	1	130	674	0	"Northshire Valley"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
10	0	0	617	16448	0	11	572	2	165	0	0	"Duskwood"	0	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
11	0	0	618	16448	0	11	603	637	174	0	0	"Wetlands"	0	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
12	0	0	126	16448	0	11	604	1	183	670	0	"Elwynn Forest"	2	0	0	0	0	-500	0	0	15	0	0	675	0	-1
13	0	10	555	1073758272	0	11	48	11	210	0	0	"The World Tree"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
14	1	0	127	16448	0	11	569	890	238	0	0	"Durotar"	4	0	0	0	0	-500	0.4	0	15	0	0	675	0	-1
15	1	0	128	16448	0	11	586	590	246	0	0	"Dustwallow Marsh"	0	0	0	0	0	-500	0.4	0	15	0	0	675	0	-1
16	1	0	129	16448	0	11	570	858	279	756	0	"Azshara"	4	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
17	1	0	130	16448	0	11	629	800	287	0	0	"Northern Barrens"	4	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
18	0	12	131	1073758272	0	11	35	1	315	0	7	"Crystal Lake"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
19	0	33	574	1073762368	0	11	32	713	340	0	40	"Zul\'Gurub"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
20	0	40	132	1073758272	0	11	0	9	350	0	14	"Moonbrook"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
21	0	0	133	16448	0	11	0	8	360	0	0	"Kul Tiras"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
22	451	0	547	16448	0	11	38	2	379	0	0	"Programmer Isle"	0	1	0	0	0	-500	0	0	14	0	0	675	0	3499
23	0	12	134	1074806848	0	11	35	0	410	0	0	"Northshire River"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
24	0	6170	135	1076904000	73	11	35	1	443	0	0	"Northshire Abbey"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
25	0	0	136	16448	0	11	46	10	476	0	0	"Blackrock Mountain"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
26	0	40	602	1073758272	0	11	0	7	513	0	0	"Lighthouse"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
28	0	0	137	16448	0	11	634	635	524	0	0	"Western Plaguelands"	0	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
30	0	0	138	16448	0	11	0	0	563	0	0	"Nine"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
32	0	10	139	1073758272	0	11	0	2	568	0	0	"The Cemetary"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
33	0	5339	140	16448	0	11	600	3	593	0	0	"Northern Stranglethorn"	0	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
34	0	6170	141	1073758208	0	11	35	1	636	0	0	"Echo Ridge Mine"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
35	0	5287	142	1075855424	0	11	567	3	666	638	42	"Booty Bay"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
36	0	267	143	1073758272	0	11	594	743	685	0	0	"Alterac Mountains"	0	0	0	0	0	-500	0.5	0	15	0	0	675	0	-1
37	0	33	144	1073758272	0	11	579	3	720	0	36	"Lake Nazferiti"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
38	0	0	145	16448	0	11	616	792	749	0	0	"Loch Modan"	2	0	0	0	0	-500	0.1	0	15	0	0	675	0	-1
40	0	0	146	16448	0	11	602	9	770	0	0	"Westfall"	2	0	0	0	0	-500	0.1	0	15	0	0	675	0	-1
41	0	0	556	16448	0	11	597	2	779	0	0	"Deadwind Pass"	0	0	0	0	0	-500	0.3	0	15	0	0	675	0	-1
42	0	10	147	1075855424	0	11	0	770	806	0	25	"Darkshire"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
43	0	5287	148	1073758272	0	11	567	3	816	0	42	"Wild Shore"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
44	0	0	149	16448	0	11	31	747	837	0	0	"Redridge Mountains"	0	0	0	0	0	-500	0.2	0	15	0	0	675	0	-1
45	0	0	150	16448	0	11	615	609	874	0	0	"Arathi Highlands"	0	0	0	0	0	-500	0.2	0	15	0	0	675	0	-1
46	0	0	151	16448	0	11	596	725	907	0	0	"Burning Steppes"	0	0	0	0	0	-500	0.1	0	15	0	0	675	0	-1
47	0	0	152	16448	0	11	605	1	938	0	0	"The Hinterlands"	0	0	0	0	0	-500	0.4	0	15	0	0	675	0	-1
49	451	22	153	1073741888	0	11	0	0	969	0	0	"Dead Man\'s Hole"	0	0	0	0	0	-500	0	0	13	0	0	675	0	-1
51	0	0	154	16448	0	11	46	10	998	0	0	"Searing Gorge"	0	0	0	0	0	-500	0.1	0	15	0	0	675	0	-1
53	0	12	155	1073758272	0	11	35	1	1025	0	0	"Thieves Camp"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
54	0	12	550	1073758272	0	11	35	1	1050	0	8	"Jasperlode Mine"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
55	0	12	156	1073758272	0	11	35	13	1081	61	0	"Valley of Heroes UNUSED"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
56	0	12	157	1073758272	0	11	35	1	1126	673	0	"Heroes\' Vigil"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
57	0	12	158	1073758272	0	11	35	1	1153	0	5	"Fargodeep Mine"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
59	0	6170	159	1074806784	0	11	582	785	1182	0	0	"Northshire Vineyards"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
60	0	12	606	1073758272	0	11	35	1	1223	0	8	"Forest\'s Edge"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
61	0	12	160	1073758272	0	11	35	1	1250	0	0	"Thunder Falls"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
62	0	12	161	1073758272	0	11	35	1	1277	671	8	"Brackwell Pumpkin Patch"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
63	0	12	162	1073758272	0	11	35	1	1314	0	6	"The Stonefield Farm"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
64	0	12	163	1073758272	0	11	35	1	1352	676	6	"The Maclure Vineyards"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
65	571	0	164	16452	0	11	439	412	1394	545	0	"Dragonblight"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
66	571	0	165	16452	0	11	441	423	1407	544	76	"Zul\'Drak"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
67	571	0	166	16449	0	11	465	420	1424	0	77	"The Storm Peaks"	0	0	0	0	0	-500	0.6	0	15	0	0	675	0	-1
68	0	44	557	1073758272	0	11	0	1	1454	0	16	"Lake Everstill"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
69	0	44	167	1075855424	0	11	0	1	1483	0	15	"Lakeshire"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
70	0	44	168	1073758272	0	11	0	1	1493	0	24	"Stonewatch"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
71	0	44	627	1073758272	0	11	0	1	1504	0	20	"Stonewatch Falls"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
72	0	4	169	1073758272	0	11	210	7	1537	649	63	"The Dark Portal"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
73	0	4	170	1073758272	0	11	0	731	1567	0	50	"The Tainted Scar"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
74	0	8	171	1073758272	0	11	0	0	1599	0	53	"Pool of Tears"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
75	0	8	172	1075855424	0	11	0	0	1625	0	54	"Stonard"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
76	0	8	173	1073758272	0	11	0	0	1633	0	53	"Fallow Sanctuary"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
77	0	6176	174	1076903936	0	11	0	8	1666	0	0	"Anvilmar"	0	0	0	0	0	-500	0	0	15	0	0	675	0	-1
