m_id	m_mapId	m_posX	m_posY	m_posZ	field5	field6	field7	field8	field9	field10	field11	field12
45	0	2924.38	-798.429	161.611	0	0	0	8	0	0	0	0
71	0	-10645.9	1179.06	481.781	0	0	0	27	0	0	0	0
78	0	-11207.3	1684.24	269.075	0	0	0	0	14	9.9	9	6.256
84	0	16449.9	16393.2	694.444	0	0	0	15	0	0	0	0
87	0	-9077.34	-552.925	603.476	0	0	0	30	0	0	0	0
88	0	-9843.54	127.525	53.698	0	0	0	10	0	0	0	0
95	30	-4.098.281	-8.027.708	-1.324.696	0	0	0	9	0	0	0	0
97	0	-5660.33	755.299	389.605	0	0	0	15	0	0	0	0
98	0	-11634.8	-540.697	134.439	0	0	0	30	0	0	0	0
100	0	2.019.349	1.904.359	1.051.444	0	0	0	7	0	0	0	0
101	0	-8761.85	848.557	878.052	0	0	0	0	4.972	9.694	7.444	0.6632
107	0	-8667.56	623.563	854.054	0	0	0	7	0	0	0	0
109	35	-0.90042	16.443	-14.236	0	0	0	7	0	0	0	0
119	36	-143.628	-393.38	645.605	0	0	0	6	0	0	0	0
121	36	-110.76	-1009.19	348.044	0	0	0	7	0	0	0	0
145	0	-227.998	1576.7	80.883	0	0	0	0	14	13.5	10	5.9
168	0	-5.584.207	7.598.322	3.842.902	0	0	0	15	0	0	0	0
169	0	-5586.46	679.298	384.955	0	0	0	8	0	0	0	0
171	0	-5705.81	-3548.37	305.336	0	0	0	50	0	0	0	0
173	0	1068.7	1537.42	283.784	0	0	0	0	94.4	50.61	15	0
175	0	-4086.36	-2610.95	460.143	0	0	0	20	0	0	0	0
178	0	683.771	-912.144	174.5	0	0	0	5	0	0	0	0
194	33	-230.953	2105.06	797.533	0	0	0	5	0	0	0	0
196	0	-12153.62	8.940.137	9.538.913	0	0	0	80	0	0	0	0
197	0	-9796.18	157.773	253.878	0	0	0	9	0	0	0	0
205	1	-1895.78	-1109.04	86.183	0	0	0	15	0	0	0	0
216	1	901.003	-1943.44	794.727	0	0	0	9	0	0	0	0
217	1	10673.8	809.422	1322.28	0	0	0	14	0	0	0	0
218	1	9814.1	587.122	1297.36	0	0	0	14	0	0	0	0
219	1	9510.35	1657.18	1291.36	0	0	0	885.398	0	0	0	0
220	1	10701.4	1862.9	1329.87	0	0	0	10	0	0	0	0
226	43	-172.181	138.98	-666.471	0	0	0	12	0	0	0	0
228	1	-753.596	-2212.78	215.403	0	0	0	13	0	0	0	0
230	1	6744.98	411.164	476.041	0	0	0	13	0	0	0	0
231	1	5996.56	365.21	218.661	0	0	0	40	0	0	0	0
232	1	5980.17	330.669	217.655	0	0	0	40	0	0	0	0
233	1	4916.99	328.43	367.678	0	0	0	50	0	0	0	0
234	1	4641.19	553.801	666.307	0	0	0	60	0	0	0	0
235	1	4554.65	146.354	595.027	0	0	0	70	0	0	0	0
236	1	4643.38	145.349	579.047	0	0	0	50	0	0	0	0
237	1	4504.31	323.296	864.913	0	0	0	80	0	0	0	0
238	1	6876.28	-486.029	401.436	0	0	0	65	0	0	0	0
242	47	1936.39	1534.47	868.769	0	0	0	8	0	0	0	0
244	1	-4455.11	-1655.01	85	0	0	0	0	13	15	10	5.596
246	1	-4932.53	-1596.05	848.157	0	0	0	20	0	0	0	0
254	33	-236.47	2202.42	973.452	0	0	0	5	0	0	0	0
255	33	-223.399	2101.97	973.899	0	0	0	5	0	0	0	0
256	33	-189.006	2145.69	973.899	0	0	0	7	0	0	0	0
257	1	4253.11	756.967	-19.5	0	0	0	0	16.97	16.97	8	5.996
259	48	-148.633	131.08	-334.141	0	0	0	0	36.97	36.97	20	0
262	47	2019.73	2004.6	616.874	0	0	0	15	0	0	0	0
283	48	-527.658	321.109	-502.584	0	0	0	20	0	0	0	0
284	0	-8681.37	434.406	992.579	0	0	0	7	0	0	0	0
286	0	-6055.5	-2955	220	0	0	0	0	14.14	24	22	0.04494
288	70	-228.193	341.602	-392.339	0	0	0	10	0	0	0	0
302	1	-3463.26	-4123.13	171.043	0	0	0	8	0	0	0	0
303	1	-4058.75	-2732.54	353.301	0	0	0	10	0	0	0	0
