field0	field1	field2	field3	field4	field5	field6
7	4	132109	0	0	Alexander\'s Hand	Rushes at the enemy to inflict damage.
70	0	135915	2	0	Heal Back Line Test	Heal\'s back line 50, but has a 2-turn cooldown
71	6	135807	0	0	Damage Test	
72	0	135817	0	0	MultiEffect Test	
73	1	0	0	0	Multi Turn Test	"Bites the target, dealing [StandardDamage(1,1)] damage immediately, then [StandardDamage(2,1)] damage on the next turn.

Lasts [numTurns()] |4turn:turns;."
74	1	0	0	0	MultiEffect and Multi Turn Test	
77	0	0	0	0	Strong Trap	
78	0	0	5	0	Apply Timed Dot Test	
79	-1	0	0	0	Aura Damage10 Test	
80	0	0	0	0	Apply Bomb Test	
81	-1	0	0	0	Aura Bomb 75 Test	
82	6	0	0	0	Apply Dot until cancel test	
83	2	460858	0	0	Apply Speed Buff Test	
84	-1	132325	0	0	Speed BUff Aura Test	
85	1	135891	0	0	Apply Stun test	
86	-1	135906	0	0	Stun Aura Test	asdfasdfasdf
87	9	460694	0	0	Apply Swap Lock	
88	-1	132089	0	0	Swap Lock Aura	
97	6	0	0	0	Stun Shot	
110	7	132127	0	0	Bite	Bites at the enemy, dealing [StandardDamage(1,1)] [School()] damage.
111	0	236248	0	0	Punch	Bashes the enemy with your fists, dealing [StandardDamage(1,1)] [School()] damage.
112	2	133707	0	0	Peck	Pokes at the enemy with a sharp beak, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.
113	6	132386	0	0	Burn	Burns the enemy with a blast of fire, dealing [StandardDamage(1,1)] Elemental damage.
114	5	135189	0	0	Beam	Blasts the enemy with a beam of arcane power, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.
115	1	135798	0	0	Breath	Overwhelms the enemy with draconic breath, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.
116	9	136099	0	0	Bolt	Launches an electrical bolt at the target, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.
117	3	237394	0	0	Infected Claw	Tears at the enemy with plagued claws, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.
