field0	field1	field2	field3	field4	field5	field6	field7	field8
19	10	0	40	0	100	0	24	1
209	205	0	50	0	100	0	23	1
210	206	0	10	0	100	0	24	1
211	207	0	10	0	100	0	24	1
212	207	0	5	0	100	0	23	2
213	208	0	50	0	100	0	24	1
214	209	0	20	0	100	0	24	1
215	210	0	25	0	100	0	0	1
216	210	0	5	0	100	0	0	2
217	211	0	90	0	100	0	0	1
218	211	0	10	0	100	0	0	2
224	214	0	0	0	50	0	25	1
225	215	0	5	3	100	79	26	1
226	216	0	10	0	100	0	24	1
228	217	0	0	0	100	81	26	1
229	219	0	0	0	100	0	22	1
230	220	0	0	0	100	0	22	1
231	221	0	75	0	100	0	24	1
232	222	0	0	0	100	82	28	1
233	223	0	0	0	100	84	28	1
235	225	0	0	3	100	131	26	1
237	227	0	0	3	100	88	26	1
239	208	0	123	0	100	0	24	2
253	239	0	4	0	100	0	0	1
254	239	0	4	0	100	0	0	2
277	254	0	20	0	90	0	24	1
278	255	0	20	0	90	0	24	1
279	256	0	20	0	90	0	24	1
280	257	0	20	0	90	0	24	1
281	258	0	20	0	90	0	24	1
282	259	0	20	0	100	0	24	1
283	260	0	20	0	100	0	24	1
284	261	0	20	0	100	0	24	1
285	262	0	20	0	90	0	24	1
286	263	0	20	0	90	0	24	1
287	264	0	15	0	90	0	24	1
288	265	0	10	0	100	0	24	1
289	265	0	100	0	100	0	32	2
290	266	0	20	200	90	0	45	1
291	267	0	30	0	100	0	23	1
292	268	0	20	0	100	0	24	1
293	269	0	20	0	100	0	24	1
294	270	0	20	0	100	0	24	1
295	271	0	0	3	100	131	26	1
298	277	12	5	0	100	0	24	1
299	279	0	0	5	100	133	26	1
300	280	0	0	0	100	0	0	1
301	278	0	5	0	100	0	24	1
302	281	0	100	0	75	0	25	1
310	295	0	20	0	100	0	23	1
311	296	0	20	0	100	0	24	1
312	296	0	30	0	100	0	24	2
313	297	0	2	0	100	0	24	1
314	298	0	10	0	90	0	24	1
315	298	0	0	5	100	151	54	2
316	301	0	0	4	90	154	26	1
317	302	0	15	5	100	0	27	1
319	304	0	20	0	90	0	24	1
320	304	0	20	28	100	0	29	2
323	306	0	30	0	80	0	24	1
329	310	0	10	0	90	0	24	1
330	310	37	100	0	100	0	32	2
332	312	0	0	4	100	161	26	1
333	313	0	3	0	90	0	24	1
334	314	0	3	0	90	0	24	1
335	315	0	3	0	90	0	24	1
336	317	0	0	2	100	164	26	1
337	318	0	5	0	100	0	24	1
338	319	0	20	0	100	0	24	1
339	319	0	0	3	100	166	26	2
340	320	0	20	0	100	0	23	1
341	320	0	50	0	100	0	44	2
342	321	0	0	0	100	0	22	1
343	322	0	40	0	80	0	24	1
346	324	0	30	0	80	0	24	1
349	326	0	2	0	100	0	24	1
350	327	0	0	10	100	171	80	1
351	328	0	20	0	100	0	23	1
352	328	0	50	0	100	0	44	2
353	329	0	0	0	100	0	22	1
354	330	0	0	0	100	0	22	1
355	331	0	0	0	100	0	22	1
356	332	0	40	0	100	0	24	1
357	332	0	0	1	100	174	52	2
358	333	0	0	-1	100	175	26	1
360	334	0	5	0	100	0	24	1
361	335	0	10	0	90	0	24	1
362	335	0	0	4	100	177	54	2
363	336	0	20	0	90	0	24	1
364	336	0	20	34	100	0	29	2
367	205	0	50	0	100	0	23	2
368	344	0	10	0	100	0	24	1
369	344	0	10	0	66	0	24	2
370	344	0	10	0	33	0	24	3
371	346	0	30	0	90	0	24	1
372	346	0	0	1	100	185	26	2
375	348	0	0	3	100	187	26	1
376	349	0	10	0	25	0	24	1
377	350	0	0	10	100	189	26	1
379	354	0	5	0	100	0	24	1
380	354	0	5	0	66	0	24	2
381	354	0	5	0	33	0	24	3
383	358	0	0	5	100	196	26	1
384	359	0	3	0	90	0	24	1
392	367	0	6	0	100	0	24	1
395	369	0	0	10	100	203	80	2
396	371	0	0	10	100	205	80	2
397	373	0	0	1	100	207	26	1
398	374	0	50	0	100	0	24	1
401	377	0	20	0	100	0	24	1
402	378	0	10	0	100	0	24	1
403	378	0	100	0	100	0	32	2
404	379	0	0	4	100	211	54	1
405	264	0	10	52	100	0	92	2
406	380	0	5	0	100	0	24	1
407	381	0	0	10	100	213	54	1
408	383	0	0	1	100	215	26	1
409	384	0	0	0	100	0	22	1
410	385	0	0	0	100	0	22	1
411	386	0	0	0	100	0	22	1
412	387	0	0	0	100	0	22	1
413	388	0	60	0	100	0	24	1
414	389	0	0	-1	100	217	50	1
416	390	0	20	0	90	0	24	1
417	391	17	5	0	100	0	24	1
418	392	0	20	0	90	0	24	1
419	392	0	20	22	100	0	92	2
421	394	0	0	1	100	222	26	1
422	396	0	0	2	100	224	26	1
423	397	0	30	0	100	0	24	1
424	397	0	56	1	25	174	50	2
425	398	0	0	2	100	174	52	1
426	399	0	10	0	100	0	24	1
427	399	0	10	0	66	0	24	2
428	399	0	10	0	33	0	24	3
429	401	0	0	10	100	229	80	1
430	402	0	4	0	100	0	24	1
431	403	0	0	5	100	231	26	1
432	404	0	15	5	100	0	27	1
433	404	0	3	1	27	174	73	2
438	405	0	1	0	100	0	23	1
439	406	0	0	0	100	0	22	1
444	412	0	2	0	100	0	53	1
445	420	0	0	0	100	0	22	1
446	418	0	25	0	100	0	53	1
447	421	0	0	0	100	0	22	1
448	422	0	10	0	100	0	23	1
449	423	0	20	0	100	0	23	1
450	424	0	50	0	100	0	23	1
451	425	0	0	-1	100	246	26	1
452	427	0	10	0	90	0	24	1
453	427	0	0	2	100	248	52	2
454	428	0	20	0	90	0	24	1
455	428	0	20	64	100	0	29	2
456	430	0	0	10	100	251	26	1
457	431	0	15	200	90	0	24	1
458	433	0	6	0	100	0	23	1
459	432	0	0	5	100	255	63	1
460	434	0	0	10	100	257	80	1
461	436	0	0	0	100	0	0	1
462	438	0	0	0	100	0	22	1
463	439	0	0	0	100	0	22	1
464	437	0	0	-1	100	260	26	1
465	441	0	0	1	100	261	26	1
467	443	0	0	0	100	262	49	1
468	444	0	0	0	100	262	28	1
469	446	0	0	2	100	264	52	1
470	446	0	20	0	90	0	24	2
473	448	0	8	0	100	0	23	1
474	449	0	0	4	100	267	63	1
477	448	0	8	61	100	0	61	2
479	457	0	0	5	100	271	54	1
480	458	0	4	0	100	0	62	1
481	459	0	0	0	100	0	63	1
483	461	0	20	5	100	0	65	1
484	464	0	0	0	100	0	22	1
485	465	0	50	0	100	0	53	1
486	463	0	0	1	100	274	63	1
487	466	0	20	10	90	0	59	1
488	467	0	20	100	90	0	66	1
489	468	0	1	0	100	0	24	1
493	471	0	0	0	100	0	67	1
494	472	0	0	0	100	0	22	1
495	473	0	0	0	100	0	22	1
496	474	0	80	0	100	0	23	1
497	477	0	0	2	100	281	26	1
498	475	0	0	0	100	280	26	1
499	479	0	40	0	100	0	68	1
500	479	0	100	0	100	0	62	2
501	480	0	0	1	100	284	26	1
502	482	0	0	3	100	285	26	1
503	483	0	0	3	100	288	80	1
504	485	0	30	0	100	289	72	1
505	486	0	0	0	100	0	74	1
506	487	0	1	35	100	0	31	1
507	487	0	1	68	100	0	31	2
508	488	0	40	0	100	294	75	1
509	490	0	100	0	100	0	53	1
510	492	0	40	0	90	296	76	1
511	493	0	10	0	100	0	23	1
512	493	0	10	0	100	0	23	2
513	493	0	10	0	100	0	23	3
514	494	0	10	0	100	0	24	1
515	494	0	5	0	100	0	24	2
516	494	0	5	0	100	0	24	3
517	496	0	50	1	100	300	77	1
518	497	0	1	70	5	0	79	1
519	498	0	10	10	70	302	78	1
520	499	0	30	0	100	0	24	1
523	502	52	0	5	100	220	51	1
524	502	0	0	3	100	235	51	2
525	487	0	0	100	100	174	28	3
526	503	0	0	3	100	306	26	1
527	505	0	10	0	100	0	24	1
528	505	0	0	0	100	174	52	2
529	506	0	0	0	100	174	52	1
530	508	0	0	3	100	309	26	1
531	510	0	0	1	100	311	26	1
532	512	0	0	10	100	313	26	1
533	514	0	2	0	100	0	24	1
534	513	0	0	5	100	316	26	1
535	515	0	5	0	100	0	24	1
536	516	0	0	6	100	317	26	1
537	517	0	5	0	100	0	24	1
538	517	0	5	0	100	0	24	2
539	517	0	5	0	100	0	24	3
540	517	0	69	0	100	0	85	4
541	517	0	69	0	100	0	85	5
542	519	0	0	10	100	320	26	1
543	519	0	0	10	100	320	26	2
544	519	0	0	10	100	320	26	3
545	519	0	100	0	100	0	62	4
546	521	0	30	2	100	322	86	1
547	523	0	0	0	100	326	28	1
548	526	0	0	0	100	0	22	1
549	527	0	0	0	100	0	22	1
550	528	0	0	-1	100	329	26	1
551	529	0	5	0	100	0	24	1
552	529	0	5	0	100	0	24	2
553	529	0	5	0	100	0	24	3
554	530	0	5	0	100	0	24	1
555	530	0	5	0	100	0	24	2
556	530	0	5	0	100	0	24	3
557	525	0	0	-1	100	328	26	1
561	531	0	0	3	100	331	26	1
562	535	0	5	0	100	0	24	1
563	531	0	0	3	100	332	54	2
564	537	0	0	0	100	333	28	1
568	490	0	100	0	100	0	53	2
569	542	0	0	2	100	338	52	1
570	305	0	0	0	100	340	81	1
571	306	0	0	0	100	340	49	2
572	443	0	25	0	100	0	60	2
573	535	0	5	0	100	0	24	2
574	323	0	0	1	100	341	81	1
575	324	0	0	0	100	341	49	2
579	548	0	20	0	90	0	24	1
580	548	0	20	77	100	0	29	2
581	550	0	0	5	100	346	26	1
582	551	0	0	1	100	174	52	1
583	552	0	20	0	90	0	24	1
584	553	0	0	2	100	174	52	1
585	554	0	5	0	100	0	24	1
586	555	0	20	0	100	0	24	1
587	555	0	0	3	100	351	26	2
588	557	0	40	0	100	353	75	1
589	558	0	10	0	100	0	24	1
590	558	0	10	0	66	0	24	2
591	558	0	10	0	33	0	24	3
592	559	0	20	0	90	0	24	1
593	560	0	0	4	90	154	50	1
594	561	0	5	0	100	0	24	1
595	562	0	0	8	100	358	54	1
596	563	0	10	0	100	0	24	1
597	563	0	10	0	66	0	24	2
598	563	0	10	0	33	0	24	3
599	565	0	0	4	100	361	26	1
600	566	0	1	0	100	0	24	1
601	567	0	10	0	90	0	24	1
602	567	0	0	1	100	544	26	2
603	569	0	0	10	100	365	26	1
604	570	0	20	0	90	0	24	1
605	571	0	2	0	100	0	24	1
606	572	0	0	4	100	368	54	1
607	574	0	0	2	100	370	52	1
616	584	0	0	5	100	374	26	1
617	585	0	40	0	100	0	24	1
618	585	0	0	1	25	174	52	2
619	586	0	10	0	100	0	24	1
620	586	0	10	0	100	0	62	2
621	587	0	20	0	90	0	24	1
622	588	0	2	0	100	0	24	1
623	589	0	10	0	90	0	24	1
624	589	0	0	5	100	379	54	2
625	590	0	2	0	100	0	24	1
626	591	0	0	10	100	381	26	1
627	592	0	10	0	90	0	24	1
628	592	37	10	0	90	0	23	2
629	592	0	10	64	100	0	61	3
630	593	0	20	0	100	0	24	1
631	594	0	0	0	100	0	22	1
632	595	0	0	0	100	0	22	1
633	596	0	30	0	100	0	24	1
634	597	0	0	-1	100	385	26	1
635	598	0	10	0	100	0	24	1
636	598	0	5	0	100	0	24	2
637	598	0	5	0	100	0	24	3
638	599	0	10	0	100	0	24	1
639	599	0	5	0	100	0	24	2
640	599	0	5	0	100	0	24	3
641	600	0	0	0	100	0	31	1
642	600	0	10	0	100	0	24	2
643	600	0	5	0	100	0	24	3
644	600	0	5	0	100	0	24	4
645	602	0	0	4	100	388	26	1
646	603	0	40	0	50	0	24	1
647	605	0	0	2	100	391	26	1
648	606	0	20	0	100	0	24	1
649	607	0	20	0	90	0	24	1
650	608	0	6	0	100	0	23	1
651	609	0	0	5	100	395	26	1
652	610	0	2	0	100	0	24	1
653	611	0	10	0	90	0	24	1
654	611	0	0	5	100	397	54	2
655	612	0	0	0	100	0	23	1
656	613	0	0	2	100	248	52	1
657	614	0	0	1	100	399	26	1
658	615	0	0	0	100	0	22	1
659	616	0	0	0	100	0	22	1
660	617	0	40	0	100	0	24	1
661	617	0	0	1	100	174	52	2
662	618	0	0	-1	100	401	26	1
663	620	0	0	10	100	403	80	1
664	621	0	20	10	90	0	59	1
665	622	0	20	0	90	0	24	1
666	623	0	0	1	100	341	81	1
667	624	0	30	0	80	0	24	1
668	624	0	0	0	100	341	49	2
669	625	0	2	0	100	0	24	1
670	626	0	0	10	100	408	26	1
671	627	0	1	0	100	0	24	1
672	628	0	10	0	90	0	24	1
673	628	0	0	9	100	410	54	2
674	629	0	15	0	90	0	24	1
675	630	0	15	0	90	0	24	1
676	630	0	15	52	100	0	29	2
677	631	0	20	0	100	0	24	1
678	631	0	0	2	100	546	52	2
679	633	0	0	4	100	415	26	1
680	634	0	0	0	100	0	22	1
681	635	0	0	0	100	0	22	1
682	636	0	40	0	100	0	24	1
683	636	0	0	1	100	174	52	2
684	637	0	0	-1	100	417	26	1
685	638	0	5	0	100	0	24	1
686	638	0	5	0	100	0	24	2
687	638	0	5	0	100	0	24	3
688	638	0	69	0	100	0	85	4
689	638	0	69	0	100	0	85	5
690	639	0	10	0	100	0	24	1
691	639	0	10	0	66	0	24	2
692	639	0	10	0	33	0	24	3
693	640	0	15	5	90	0	27	1
694	641	0	20	0	100	0	24	1
695	642	0	40	77	50	0	96	1
696	643	0	25	0	80	0	24	1
697	645	0	0	1	100	425	26	1
698	646	0	0	0	25	0	25	1
699	502	0	0	5	100	234	51	3
700	502	0	0	3	100	220	51	4
701	502	0	0	5	100	234	51	5
702	502	0	0	4	100	235	51	6
703	502	0	0	4	100	220	51	7
704	502	0	0	3	100	234	51	8
705	502	0	0	5	100	235	51	9
706	502	0	0	3	100	220	51	10
707	502	0	0	5	100	234	51	11
708	502	0	0	4	100	235	51	12
709	502	0	0	2	100	220	26	13
710	648	0	20	0	90	0	24	1
711	650	0	0	3	100	430	26	1
712	651	0	20	0	90	0	24	1
713	652	0	0	0	100	434	28	1
714	655	0	0	3	100	435	26	1
715	656	0	20	0	90	0	24	1
716	658	0	0	0	100	438	28	1
717	659	0	0	1	100	311	26	1
718	660	0	10	0	100	0	24	1
719	660	0	10	0	66	0	24	2
720	660	0	10	0	33	0	24	3
721	661	0	40	82	50	0	96	1
722	663	0	0	0	100	443	28	1
723	664	0	20	0	90	0	24	1
724	665	0	3	0	100	0	24	1
725	666	0	10	0	100	0	24	1
726	666	0	0	3	100	446	54	2
727	668	0	10	0	10	0	24	1
728	668	37	100	0	100	0	32	2
729	669	0	20	5	100	0	65	1
730	670	0	50	0	100	0	68	1
731	671	0	20	0	90	0	24	1
732	672	0	0	10	100	454	80	1
733	674	0	10	0	100	0	24	1
734	674	0	10	0	66	0	24	2
735	674	0	10	0	33	0	24	3
736	675	0	30	0	80	0	24	1
737	675	0	69	0	100	0	85	2
738	675	0	69	0	100	0	85	3
739	676	0	0	2	100	0	22	1
740	678	0	40	0	90	458	76	1
741	679	0	15	0	100	0	24	1
742	680	0	20	0	90	0	24	1
743	680	0	20	52	100	0	29	2
744	682	0	0	1	100	462	26	1
745	684	0	0	0	100	464	28	1
746	685	0	0	2	100	0	22	1
747	686	0	10	0	100	0	68	1
748	687	0	0	3	100	469	54	1
749	688	0	5	0	100	0	24	1
750	689	0	10	0	100	0	24	1
751	690	0	15	0	100	0	24	1
752	692	0	10	0	100	0	24	1
753	692	0	0	1	100	470	26	2
754	693	0	20	0	100	0	24	1
755	693	0	100	0	100	0	60	2
756	694	0	15	5	90	0	27	1
757	695	0	10	0	100	0	24	1
758	695	0	0	0	100	174	52	2
759	696	0	10	0	100	0	24	1
760	696	0	0	2	100	154	52	2
761	698	0	20	0	90	0	24	1
762	699	0	20	0	90	0	24	1
763	700	0	0	0	100	480	28	1
764	702	0	30	0	100	0	24	1
765	702	0	56	1	25	174	50	2
766	703	0	18	0	100	0	24	1
767	704	0	20	0	90	0	24	1
768	704	0	20	54	100	0	29	2
769	705	0	20	0	90	0	24	1
770	707	0	0	2	100	154	26	1
771	707	0	0	2	100	485	81	2
772	709	0	0	3	100	487	26	1
773	710	0	30	0	80	0	24	1
774	711	0	30	0	80	0	24	1
775	712	0	30	0	80	0	24	1
776	714	0	5	0	100	0	24	1
777	715	0	10	0	90	491	24	1
778	716	0	20	0	90	0	24	1
779	718	0	0	5	100	494	26	1
780	720	0	0	1	100	496	26	1
781	721	0	0	0	100	0	22	1
782	722	0	0	0	100	498	49	1
783	723	0	0	2	100	498	52	1
784	724	0	0	0	100	496	49	1
785	725	0	20	0	90	0	24	1
786	726	0	5	0	100	0	24	1
787	727	0	10	0	90	0	24	1
788	727	0	0	4	100	500	54	2
789	728	0	5	0	100	0	24	1
790	729	0	20	0	90	0	24	1
791	729	0	0	3	100	502	26	2
792	730	0	20	200	90	0	97	1
793	732	0	0	1	100	505	26	1
794	733	0	40	0	50	0	24	1
795	733	0	0	3	100	154	26	2
796	734	0	30	0	80	0	24	1
797	734	0	0	2	25	498	26	2
798	735	0	15	0	90	0	24	1
799	736	0	6	0	100	0	23	1
800	737	0	0	5	100	510	63	1
801	740	0	30	0	100	0	24	1
802	740	0	0	2	100	248	52	2
803	741	0	0	-1	100	512	26	1
804	743	0	0	4	100	516	26	1
805	745	0	40	82	50	0	96	1
806	746	0	20	0	90	0	24	1
807	746	0	25	0	100	0	99	2
808	749	0	0	6	100	520	26	1
809	750	0	0	3	100	174	52	1
810	752	0	0	5	100	523	26	1
811	753	0	20	0	90	0	24	1
812	755	0	0	3	100	526	26	1
813	756	0	20	0	90	0	24	1
814	757	0	40	82	50	0	96	1
817	760	0	35	0	90	0	24	1
818	760	0	15	0	100	0	24	2
819	277	0	10	0	100	0	24	2
820	277	12	20	0	100	0	24	3
821	761	0	15	10	100	0	100	1
822	761	0	15	15	100	0	100	2
823	761	0	15	15	100	0	100	3
827	763	0	15	0	90	0	24	1
828	763	0	10	0	90	0	103	2
829	560	0	10	0	90	0	24	2
830	301	0	10	0	90	0	24	2
831	764	0	0	0	100	543	28	1
832	765	0	0	0	100	537	49	1
833	715	0	0	1	100	537	28	2
834	766	0	10	0	100	0	24	1
835	766	37	30	1	100	0	104	2
836	767	0	10	0	100	0	24	1
837	767	37	30	1	100	0	104	2
838	768	0	10	0	100	0	24	1
839	768	37	30	1	100	0	104	2
840	431	0	10	0	90	0	105	2
841	769	0	15	0	100	0	23	1
842	769	0	15	0	100	0	23	2
843	769	0	15	0	100	0	23	3
844	770	0	0	0	100	0	22	1
845	771	0	25	0	90	0	24	1
846	772	0	0	1	100	540	51	1
850	773	0	0	0	100	543	49	1
851	774	0	84	1	100	0	31	1
852	773	0	0	84	100	0	31	2
853	629	0	20	0	90	0	103	2
854	313	0	3	0	90	0	24	2
855	313	0	4	0	90	0	24	3
856	313	0	0	2	100	542	26	4
857	314	0	3	0	90	0	24	2
858	314	0	4	0	90	0	24	3
859	314	0	0	2	100	542	26	4
860	315	0	3	0	90	0	24	2
861	315	0	4	0	90	0	24	3
862	315	0	0	2	100	542	26	4
863	359	0	3	0	90	0	24	2
864	359	0	4	0	90	0	24	3
865	359	0	0	2	100	542	26	4
866	360	0	3	0	90	0	24	1
867	360	0	3	0	90	0	24	2
868	360	0	4	0	90	0	24	3
869	360	0	0	2	100	542	26	4
870	361	0	3	0	90	0	24	1
871	361	0	3	0	90	0	24	2
872	361	0	4	0	90	0	24	3
873	361	0	0	2	100	542	26	4
874	355	0	10	0	90	0	24	1
875	355	0	0	1	100	195	26	2
876	354	0	5	0	100	0	103	4
877	354	0	5	0	50	0	103	5
878	354	0	5	0	100	0	24	6
