field0	field1	field2	field3	field4	field5
10	7	0	1	0	-1
205	70	0	1	0	-1
206	71	75	1	0	-1
207	72	0	1	0	-1
208	73	0	1	0	-1
209	73	0	2	0	-1
210	74	0	1	0	-1
211	74	0	2	0	-1
214	77	76	1	0	-1
215	78	0	1	0	-1
216	79	0	1	0	-1
217	80	0	1	0	-1
219	81	0	1	0	-1
220	81	0	2	0	-1
221	81	0	3	0	-1
222	82	0	1	0	-1
223	83	0	1	0	-1
225	85	0	1	0	-1
227	87	0	1	0	-1
239	97	0	1	0	-1
254	110	16	1	0	-1
255	111	21	1	0	-1
256	112	17	1	0	-1
257	113	18	1	0	-1
258	114	22	1	0	-1
259	115	19	1	0	-1
260	116	20	1	0	-1
261	117	23	1	0	-1
262	118	24	1	0	-1
263	119	15	1	0	-1
264	120	96	1	0	-1
265	121	23	1	0	-1
266	122	19	1	0	-1
267	123	36	1	0	-1
268	124	16	1	0	-1
269	124	16	2	0	-1
270	124	16	3	0	-1
271	125	0	1	0	-1
277	132	0	1	0	-1
278	133	0	0	1	1
279	134	0	1	0	-1
280	86	0	1	0	-1
281	135	76	1	0	-1
295	149	13	1	0	-1
296	150	14	1	0	-1
297	151	0	1	0	-1
298	152	16	1	0	-1
299	153	0	1	0	-1
300	154	0	1	0	-1
301	155	32	1	0	-1
302	156	16	1	0	-1
304	158	21	1	0	-1
305	159	31	1	0	-1
306	159	16	2	0	-1
310	160	15	1	0	-1
311	161	0	1	0	-1
312	162	39	1	0	-1
313	163	90	1	0	-1
314	163	90	2	0	-1
315	163	90	3	0	-1
316	164	0	1	0	-1
317	165	39	1	0	-1
318	166	42	1	0	-1
319	167	15	1	0	-1
320	168	19	1	0	-1
321	169	0	1	0	-1
322	169	19	2	0	-1
323	170	17	1	0	-1
324	170	17	2	0	-1
325	171	0	1	0	-1
326	171	0	0	1	0
327	172	19	1	0	-1
328	173	18	1	0	-1
329	174	0	1	0	-1
330	175	0	1	0	-1
331	175	0	2	0	-1
332	175	18	3	0	-1
333	176	18	1	0	-1
334	177	43	1	0	-1
335	178	18	1	0	-1
336	179	18	1	0	-1
344	184	17	1	0	-1
345	185	0	1	0	-1
346	186	17	1	0	-1
347	187	0	1	0	-1
348	188	40	1	0	-1
349	189	17	1	0	-1
350	190	17	1	0	-1
354	193	93	1	0	-1
355	194	87	1	0	-1
356	195	0	1	0	-1
357	196	0	1	0	-1
358	197	49	1	0	-1
359	198	90	1	0	-1
360	198	90	2	0	-1
361	198	90	3	0	-1
367	202	86	1	0	-1
368	203	0	1	0	-1
369	204	98	1	0	-1
370	205	0	1	0	-1
371	206	99	1	0	-1
373	208	41	1	0	-1
374	209	97	1	0	-1
377	210	70	1	0	-1
378	211	0	1	0	-1
379	212	23	1	0	-1
380	213	0	1	0	-1
381	214	23	1	0	-1
382	215	0	1	0	-1
383	216	41	1	0	-1
384	217	0	1	0	-1
385	217	0	2	0	-1
386	217	0	3	0	-1
387	217	0	4	0	-1
388	217	101	5	0	-1
389	218	100	1	0	-1
390	219	21	1	0	-1
391	220	0	1	0	-1
392	221	21	1	0	-1
393	222	0	1	0	-1
394	223	41	1	0	-1
395	224	0	1	0	-1
396	225	67	1	0	-1
397	226	21	1	0	-1
398	227	21	1	0	-1
399	228	15	1	0	-1
400	229	0	1	0	-1
401	230	24	1	0	-1
402	231	15	1	0	-1
403	232	15	1	0	-1
404	233	24	1	0	-1
405	234	0	1	0	-1
406	235	0	1	0	-1
410	236	0	1	0	-1
411	237	0	1	0	-1
412	238	0	1	0	-1
413	239	0	1	0	-1
414	240	0	1	0	-1
415	241	0	1	0	-1
416	242	0	1	0	-1
417	243	0	1	0	-1
418	244	36	1	0	-1
419	245	0	1	0	-1
420	238	0	2	0	-1
421	244	0	2	0	-1
422	246	0	1	0	-1
423	246	0	2	0	-1
424	246	0	3	0	-1
425	247	0	1	0	-1
426	248	0	1	0	-1
427	249	46	1	0	-1
428	250	62	1	0	-1
429	251	0	1	0	-1
430	252	63	1	0	-1
431	253	91	1	0	-1
432	254	0	1	0	-1
433	255	0	1	0	-1
434	256	21	1	0	-1
435	257	0	1	0	-1
436	258	0	1	0	-1
437	259	22	1	0	-1
438	260	0	1	0	-1
439	260	0	2	0	-1
440	261	0	1	0	-1
441	260	0	3	0	-1
443	262	0	0	1	2
444	263	41	1	0	-1
445	264	0	1	0	-1
446	265	18	1	0	-1
448	267	0	1	0	-1
449	268	47	1	0	-1
457	270	17	1	0	-1
458	271	17	1	0	-1
459	79	0	2	0	-1
461	272	22	1	0	-1
463	273	22	1	0	-1
464	274	0	1	0	-1
465	274	36	2	0	-1
466	275	24	1	0	-1
467	276	24	1	0	-1
468	234	0	2	0	-1
471	277	22	1	0	-1
472	278	0	1	0	-1
473	278	0	2	0	-1
474	278	36	3	0	-1
475	279	20	1	0	-1
476	280	0	1	0	-1
477	280	0	0	1	1
478	281	0	1	0	-1
479	282	48	1	0	-1
480	283	64	1	0	-1
481	284	0	1	0	-1
482	286	53	1	0	-1
483	287	54	1	0	-1
484	289	0	1	0	-1
485	290	36	1	0	-1
486	291	0	1	0	-1
487	292	22	1	0	-1
488	293	20	1	0	-1
489	294	0	1	0	-1
490	295	22	1	0	-1
491	296	0	1	0	-1
492	297	24	1	0	-1
493	298	36	1	0	-1
494	299	22	1	0	-1
495	300	0	1	0	-1
496	301	20	1	0	-1
497	302	0	1	0	-1
498	303	36	1	0	-1
499	304	22	1	0	-1
502	157	0	1	0	-1
503	305	16	1	0	-1
504	306	0	1	0	-1
505	307	21	1	0	-1
506	308	69	1	0	-1
507	309	0	1	0	-1
508	310	58	1	0	-1
509	311	0	1	0	-1
510	312	68	1	0	-1
511	313	0	1	0	-1
512	314	16	1	0	-1
513	315	19	1	0	-1
514	316	0	0	1	1
515	317	0	0	1	1
516	318	18	1	0	-1
517	319	18	1	0	-1
518	320	0	1	0	-1
519	321	23	1	0	-1
520	322	0	1	0	-1
521	323	22	1	0	-1
522	324	0	1	0	-1
523	325	15	1	0	-1
524	326	0	1	0	-1
525	327	19	1	0	-1
526	328	0	1	0	-1
527	328	0	2	0	-1
528	328	19	3	0	-1
529	329	19	1	0	-1
530	329	19	2	0	-1
531	330	0	1	0	-1
535	332	0	1	0	-1
536	333	0	1	0	-1
537	334	15	1	0	-1
541	338	0	1	0	-1
542	339	16	1	0	-1
543	340	0	1	0	-1
544	341	0	1	0	-1
548	345	16	1	0	-1
549	346	0	1	0	-1
550	347	16	1	0	-1
551	348	21	1	0	-1
552	349	16	1	0	-1
553	350	21	1	0	-1
554	351	42	1	0	-1
555	352	16	1	0	-1
556	353	0	1	0	-1
557	354	20	1	0	-1
558	355	16	1	0	-1
559	356	16	1	0	-1
560	357	32	1	0	-1
561	358	0	1	0	-1
562	359	16	1	0	-1
563	360	15	1	0	-1
564	361	0	1	0	-1
565	362	16	1	0	-1
566	363	0	1	0	-1
567	364	87	1	0	-1
568	365	0	1	0	-1
569	366	63	1	0	-1
570	367	15	1	0	-1
571	368	0	1	0	-1
572	369	15	1	0	-1
573	370	0	1	0	-1
574	371	16	1	0	-1
583	374	0	1	0	-1
584	375	16	1	0	-1
585	376	16	1	0	-1
586	377	16	1	0	-1
587	378	16	1	0	-1
588	379	0	1	0	-1
589	380	16	1	0	-1
590	381	0	0	1	2
591	382	16	1	0	-1
592	383	15	1	0	-1
593	384	20	1	0	-1
594	385	0	1	0	-1
595	385	0	2	0	-1
596	385	0	3	0	-1
597	386	0	1	0	-1
598	387	20	1	0	-1
599	387	0	2	0	-1
600	387	0	3	0	-1
601	388	0	1	0	-1
602	389	39	1	0	-1
603	390	20	1	0	-1
604	391	0	1	0	-1
605	392	39	1	0	-1
606	393	73	1	0	-1
607	394	18	1	0	-1
608	395	0	1	0	-1
609	396	18	1	0	-1
610	397	0	1	0	-1
611	398	16	1	0	-1
612	399	0	1	0	-1
613	399	0	2	0	-1
614	400	18	1	0	-1
615	401	0	1	0	-1
616	401	0	2	0	-1
617	401	18	3	0	-1
618	402	18	1	0	-1
619	403	0	1	0	-1
620	404	0	1	0	-1
621	405	24	1	0	-1
622	406	21	1	0	-1
623	407	17	1	0	-1
624	407	17	2	0	-1
625	408	18	1	0	-1
626	409	0	1	0	-1
627	410	0	1	0	-1
628	411	16	1	0	-1
629	412	16	1	0	-1
630	413	74	1	0	-1
