field0	field1	field2	field3	field4
2	2	7	1	0
137	354	7	0	0
169	354	70	0	0
170	354	71	0	0
171	354	72	0	0
172	354	73	0	0
208	122	85	0	0
209	122	87	0	0
210	122	72	0	0
235	189	111	0	0
236	189	116	0	0
237	39	119	0	0
238	39	116	0	0
239	272	119	0	0
240	272	110	0	0
241	272	117	0	0
252	244	115	0	0
253	244	110	0	0
254	244	119	0	0
255	211	118	0	0
257	211	112	0	0
258	156	119	0	0
260	156	111	0	0
264	211	123	0	0
265	156	124	0	0
267	354	85	0	0
268	444	125	0	0
269	444	132	0	0
270	444	134	0	0
271	74	110	1	0
273	74	156	5	2
274	74	155	3	1
275	462	157	1	0
277	462	149	6	2
278	462	150	5	1
279	74	152	10	0
280	74	158	15	1
281	74	159	20	2
282	323	119	1	0
283	323	162	3	1
284	323	163	5	2
285	323	160	10	0
286	323	165	15	1
287	323	167	20	2
288	58	115	1	0
289	58	168	3	0
290	58	169	5	0
291	58	122	10	0
292	243	115	1	0
293	243	122	10	0
294	243	168	3	0
295	243	169	5	0
296	243	172	15	0
297	243	170	20	0
298	175	113	3	0
299	175	173	1	0
300	175	176	15	0
301	175	112	5	0
302	175	178	10	0
303	175	179	25	0
304	67	112	1	0
305	67	186	3	1
306	67	170	5	2
307	67	184	10	0
308	67	188	15	1
309	67	190	20	2
310	94	110	1	0
311	94	194	3	1
312	94	160	5	2
313	94	193	10	0
314	94	197	15	1
315	94	198	20	2
316	485	119	0	0
317	485	110	0	0
318	485	117	0	0
319	116	116	1	0
320	116	204	3	1
321	116	208	5	2
322	116	202	10	0
323	116	206	15	1
324	116	209	20	2
325	249	210	1	0
326	249	120	3	1
327	249	216	5	2
328	249	212	10	0
329	249	214	15	1
330	249	218	20	2
331	248	219	1	0
332	248	223	3	1
333	248	226	5	2
334	248	221	10	0
335	248	225	15	1
337	106	118	1	0
338	106	123	3	1
339	106	233	5	2
340	106	228	10	0
341	106	230	15	1
342	106	232	20	2
343	58	170	20	0
344	58	172	15	0
354	375	118	1	0
355	375	124	3	1
356	375	122	5	2
357	375	186	10	0
358	375	273	15	1
359	375	214	20	2
361	248	227	20	2
363	202	110	1	0
364	202	345	3	1
365	202	247	5	2
367	202	348	15	1
368	202	347	20	2
369	317	110	1	0
370	317	345	3	1
371	317	347	5	2
372	317	348	10	0
373	317	247	15	1
374	317	124	20	2
375	202	206	10	0
376	411	349	1	0
377	411	347	3	1
378	411	352	5	2
379	411	111	10	0
380	411	350	15	1
381	411	354	20	2
382	207	356	1	0
383	207	165	3	1
384	207	359	5	2
385	207	355	10	0
386	207	357	15	1
387	207	249	20	2
388	414	349	0	0
389	414	355	0	0
390	414	359	0	0
391	432	356	0	0
392	432	355	0	0
393	432	359	0	0
394	278	110	1	0
395	278	165	3	1
396	278	364	5	2
397	278	360	10	0
398	278	362	15	1
399	278	366	20	2
400	286	367	1	0
401	286	369	3	1
402	286	364	5	2
403	286	160	10	0
404	286	371	15	1
405	286	159	20	2
406	528	110	1	0
407	528	347	3	1
408	528	233	5	2
409	528	202	10	0
410	528	312	15	1
411	528	227	20	2
412	166	349	1	0
413	166	375	3	1
414	166	376	5	2
415	166	377	10	0
416	166	283	15	1
417	166	163	20	2
418	400	378	1	0
419	400	339	3	1
420	400	383	5	2
421	400	380	10	0
422	400	382	15	1
423	400	250	20	2
424	545	356	1	0
425	545	355	3	1
426	545	359	5	2
427	256	116	1	0
428	256	278	3	1
429	256	386	5	2
430	256	202	10	0
431	256	279	15	1
432	256	387	20	2
433	389	384	1	0
434	389	389	3	1
435	389	390	5	2
436	389	202	10	0
437	389	392	15	1
438	389	278	20	2
439	56	393	1	0
440	56	256	3	1
441	56	176	5	2
442	56	122	10	0
443	56	347	15	1
444	56	170	20	2
445	212	394	1	0
446	212	396	3	1
448	212	398	10	0
449	212	303	15	1
450	212	400	20	2
452	212	402	5	2
453	291	394	1	0
454	291	268	3	1
455	291	404	5	2
456	291	405	10	0
457	291	318	15	1
458	291	298	20	2
459	500	406	1	0
460	500	409	3	1
461	500	407	5	2
462	500	178	10	0
463	500	392	15	1
464	500	282	20	2
465	380	110	1	0
466	380	357	3	1
467	380	411	5	2
468	380	412	10	0
469	380	283	15	1
470	380	325	20	2
471	70	119	1	0
472	70	357	3	1
473	70	159	5	2
474	70	376	10	0
475	70	162	15	1
476	70	163	20	2
477	535	118	1	0
478	535	414	3	1
479	535	418	5	2
480	535	413	10	0
481	535	416	15	1
482	535	419	20	2
483	186	110	1	0
484	186	122	3	1
485	186	422	5	2
486	186	421	10	0
487	186	420	15	1
488	186	394	20	2
489	115	118	1	0
490	115	419	3	1
491	115	423	5	2
492	115	424	10	0
493	115	426	15	1
494	115	276	20	2
530	231	110	1	0
531	231	364	3	1
532	231	431	5	2
533	231	432	10	0
534	231	347	15	1
535	231	433	20	2
536	240	429	1	0
537	240	436	3	1
538	240	364	5	2
