field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12
1	0	1	0	0	0	0	0	0	0	0	0	6
61462	0	34	0	1	0	0	0	0	0	0	0	5
61463	0	103	0	1	0	0	0	0	0	0	0	5
61464	0	166	0	1	0	0	0	0	0	0	0	5
61465	0	265	0	1	0	0	0	0	0	0	0	5
61470	0	301	0	1	0	0	0	0	0	0	0	5
61471	0	401	0	1	0	0	0	0	0	0	0	5
61495	0	430	0	1	0	0	0	0	0	0	0	5
61496	0	538	0	1	0	0	0	0	0	0	0	5
61497	0	622	0	1	0	0	0	0	0	0	0	5
61643	0	679	0	1	0	0	0	0	0	0	0	5
61647	0	792	0	1	0	0	0	0	0	0	0	5
61649	0	899	0	1	0	0	0	0	0	0	0	5
61650	0	1019	0	1	0	0	0	0	0	0	0	5
61798	0	1048	0	1	0	0	0	0	0	0	0	5
61799	0	1217	0	1	0	0	0	0	0	0	0	5
61800	0	1462	0	1	0	0	0	0	0	0	0	5
61801	0	1532	0	1	0	0	0	0	0	0	0	5
61802	0	1560	0	1	0	0	0	0	0	0	0	5
61803	0	1698	0	1	0	0	0	0	0	0	0	5
61804	0	1741	0	1	0	0	0	0	0	0	0	5
61805	0	1789	0	1	0	0	0	0	0	0	0	5
61806	0	1944	0	1	0	0	0	0	0	0	0	5
63387	0	2013	0	6	0	0	0	0	0	25871	0	7
63691	0	2093	0	0	0	0	0	0	0	0	0	5
63692	0	2129	0	0	0	0	0	0	0	0	0	5
63693	0	2263	0	0	0	0	0	0	0	0	0	5
63694	0	2434	0	0	0	0	0	0	0	0	0	5
63695	0	2589	0	0	0	0	0	0	0	0	0	5
63696	0	2812	0	0	0	0	0	0	0	0	0	5
63697	0	3004	0	0	0	0	0	0	0	0	0	5
63698	0	3178	0	0	0	0	0	0	0	0	0	5
63699	0	3304	0	0	0	0	0	0	0	0	0	5
63700	0	3414	0	0	0	0	0	0	0	0	0	5
63701	0	3506	0	0	0	0	0	0	0	0	0	5
63702	0	3645	0	0	0	0	0	0	0	0	0	5
63703	0	3777	0	0	0	0	0	0	0	0	0	5
63704	0	3897	0	0	0	0	0	0	0	0	0	5
63705	0	3949	0	0	0	0	0	0	0	0	0	5
63706	0	4053	0	0	0	0	0	0	0	0	0	5
63707	0	4188	0	0	0	0	0	0	0	0	0	5
63708	0	4319	0	0	0	0	0	0	0	0	0	5
63709	0	4445	0	0	0	0	0	0	0	0	0	5
63710	0	4476	0	0	0	0	0	0	0	0	0	5
63711	0	4692	0	0	0	0	0	0	0	0	0	5
63712	0	4717	0	0	0	0	0	0	0	0	0	5
63713	0	4692	0	0	0	0	0	0	0	0	0	5
63714	0	4840	0	0	0	0	0	0	0	0	0	5
63715	0	4971	0	0	0	0	0	0	0	0	0	5
63716	0	5010	0	0	0	0	0	0	0	0	0	5
63717	0	5253	0	0	0	0	0	0	0	0	0	5
63718	0	5293	0	0	0	0	0	0	0	0	0	5
63719	0	5394	0	0	0	0	0	0	0	0	0	5
63720	0	5538	0	0	0	0	0	0	0	0	0	5
63721	0	5706	0	0	0	0	0	0	0	0	0	5
63722	0	5888	0	0	0	0	0	0	0	0	0	5
63723	0	6051	0	0	0	0	0	0	0	0	0	5
63724	0	6206	0	0	0	0	0	0	0	0	0	5
63725	0	6235	0	0	0	0	0	0	0	0	0	5
63726	0	6470	0	0	0	0	0	0	0	0	0	5
63727	0	6504	0	0	0	0	0	0	0	0	0	5
63728	0	6764	0	0	0	0	0	0	0	0	0	5
63729	0	6966	0	0	0	0	0	0	0	0	0	5
63730	0	7096	0	0	0	0	0	0	0	0	0	5
63731	0	7176	0	0	0	0	0	0	0	0	0	5
63732	0	7223	0	0	0	0	0	0	0	0	0	5
63733	0	7264	0	0	0	0	0	0	0	0	0	5
63734	0	7468	0	0	0	0	0	0	0	0	0	5
63735	0	7712	0	0	0	0	0	0	0	0	0	5
63736	0	7786	0	0	0	0	0	0	0	0	0	5
63737	0	8016	0	0	0	0	0	0	0	0	0	5
63738	0	8120	0	0	0	0	0	0	0	0	0	5
63739	0	8391	0	0	0	0	0	0	0	0	0	5
63740	0	8416	0	0	0	0	0	0	0	0	0	5
63741	0	8554	0	0	0	0	0	0	0	0	0	5
63742	0	8733	0	0	0	0	0	0	0	0	0	5
63743	0	8919	0	0	0	0	0	0	0	0	0	5
63744	0	8977	0	0	0	0	0	0	0	0	0	5
63745	0	9287	0	0	0	0	0	0	0	0	0	5
63746	0	9358	0	0	0	0	0	0	0	0	0	5
63747	0	9406	0	0	0	0	0	0	0	0	0	5
65150	0	9445	0	1	0	0	0	0	0	0	0	7
65151	0	9521	0	1	0	0	0	0	0	0	0	7
65152	0	9564	0	1	0	0	0	0	0	0	0	7
65153	0	9619	0	5	0	0	0	0	0	0	0	7
