field0	field1	field2	field3	field4	field5	field6	field7	field8	field9
1	1	0	0	Character\Human\Male\HumanMaleSkin00_00.blp			17	0	0
2	1	0	0	Character\Human\Male\HumanMaleSkin00_01.blp			17	0	1
3	1	0	0	Character\Human\Male\HumanMaleSkin00_02.blp			17	0	2
4	1	0	0	Character\Human\Male\HumanMaleSkin00_03.blp			17	0	3
5	1	0	0	Character\Human\Male\HumanMaleSkin00_04.blp			17	0	4
6	1	0	0	Character\Human\Male\HumanMaleSkin00_05.blp			17	0	5
7	1	0	0	Character\Human\Male\HumanMaleSkin00_06.blp			17	0	6
8	1	0	0	Character\Human\Male\HumanMaleSkin00_07.blp			17	0	7
9	1	0	0	Character\Human\Male\HumanMaleSkin00_08.blp			17	0	8
10	1	0	0	Character\Human\Male\HumanMaleSkin00_09.blp			17	0	9
131	1	0	2	Character\Human\FacialLowerHair00_00.blp	Character\Human\FacialUpperHair00_00.blp		17	0	0
132	1	0	2	Character\Human\FacialLowerHair00_01.blp	Character\Human\FacialUpperHair00_01.blp		17	0	1
133	1	0	2	Character\Human\FacialLowerHair00_02.blp	Character\Human\FacialUpperHair00_02.blp		17	0	2
134	1	0	2	Character\Human\FacialLowerHair00_03.blp	Character\Human\FacialUpperHair00_03.blp		17	0	3
135	1	0	2	Character\Human\FacialLowerHair00_04.blp	Character\Human\FacialUpperHair00_04.blp		17	0	4
136	1	0	2	Character\Human\FacialLowerHair00_05.blp	Character\Human\FacialUpperHair00_05.blp		17	0	5
137	1	0	2	Character\Human\FacialLowerHair00_06.blp	Character\Human\FacialUpperHair00_06.blp		17	0	6
138	1	0	2	Character\Human\FacialLowerHair00_07.blp	Character\Human\FacialUpperHair00_07.blp		17	0	7
139	1	0	2	Character\Human\FacialLowerHair00_08.blp	Character\Human\FacialUpperHair00_08.blp		17	0	8
140	1	0	2	Character\Human\FacialLowerHair00_09.blp	Character\Human\FacialUpperHair00_09.blp		17	0	9
141	1	0	2	Character\Human\FacialLowerHair01_00.blp	Character\Human\FacialUpperHair01_00.blp		17	1	0
142	1	0	2	Character\Human\FacialLowerHair01_01.blp	Character\Human\FacialUpperHair01_01.blp		17	1	1
143	1	0	2	Character\Human\FacialLowerHair01_02.blp	Character\Human\FacialUpperHair01_02.blp		17	1	2
144	1	0	2	Character\Human\FacialLowerHair01_03.blp	Character\Human\FacialUpperHair01_03.blp		17	1	3
145	1	0	2	Character\Human\FacialLowerHair01_04.blp	Character\Human\FacialUpperHair01_04.blp		17	1	4
146	1	0	2	Character\Human\FacialLowerHair01_05.blp	Character\Human\FacialUpperHair01_05.blp		17	1	5
