field0	field1	field2	field3	field4	field5
1	5879	Private %s	Private %s	1	0
2	5880	Corporal %s	Corporal %s	2	0
3	5881	Sergeant %s	Sergeant %s	3	0
4	5882	Master Sergeant %s	Master Sergeant %s	4	0
5	5883	Sergeant Major %s	Sergeant Major %s	5	0
6	5884	Knight %s	Knight %s	6	0
7	5885	Knight-Lieutenant %s	Knight-Lieutenant %s	7	0
8	5886	Knight-Captain %s	Knight-Captain %s	8	0
9	5887	Knight-Champion %s	Knight-Champion %s	9	0
10	5888	Lieutenant Commander %s	Lieutenant Commander %s	10	0
11	5889	Commander %s	Commander %s	11	0
12	5890	Marshal %s	Marshal %s	12	0
13	5891	Field Marshal %s	Field Marshal %s	13	0
14	5892	Grand Marshal %s	Grand Marshal %s	14	0
15	5893	Scout %s	Scout %s	15	0
16	5894	Grunt %s	Grunt %s	16	0
17	5895	Sergeant %s	Sergeant %s	17	0
18	5896	Senior Sergeant %s	Senior Sergeant %s	18	0
19	5897	First Sergeant %s	First Sergeant %s	19	0
20	5898	Stone Guard %s	Stone Guard %s	20	0
21	5899	Blood Guard %s	Blood Guard %s	21	0
22	5900	Legionnaire %s	Legionnaire %s	22	0
23	5901	Centurion %s	Centurion %s	23	0
24	5902	Champion %s	Champion %s	24	0
25	5903	Lieutenant General %s	Lieutenant General %s	25	0
26	5904	General %s	General %s	26	0
27	5905	Warlord %s	Warlord %s	27	0
28	5906	High Warlord %s	High Warlord %s	28	0
42	0	Gladiator %s	Gladiator %s	29	0
43	0	Duelist %s	Duelist %s	30	0
44	0	Rival %s	Rival %s	31	0
45	0	Challenger %s	Challenger %s	32	0
46	6341	Scarab Lord %s	Scarab Lord %s	33	0
47	6407	Conqueror %s	Conqueror %s	34	0
48	6406	Justicar %s	Justicar %s	35	0
53	6686	%s, Champion of the Naaru	%s, Champion of the Naaru	36	0
62	0	Merciless Gladiator %s	Merciless Gladiator %s	37	0
63	6806	%s of the Shattered Sun	%s of the Shattered Sun	38	0
64	6944	%s, Hand of A\'dal	%s, Hand of A\'dal	39	0
71	0	Vengeful Gladiator %s	Vengeful Gladiator %s	40	0
72	7530	Battlemaster %s	Battlemaster %s	41	0
74	7533	Elder %s	Elder %s	43	0
75	7534	Flame Warden %s	Flame Warden %s	44	0
76	7535	Flame Keeper %s	Flame Keeper %s	45	0
77	7565	%s the Exalted	%s the Exalted	46	0
78	7695	%s the Explorer	%s the Explorer	47	0
