field0	field1	field2	field3
14	8	0	0
109	11	0	0
110	11	0	0
111	11	0	0
117	11	0	0
123	8	0	0
124	8	0	0
125	8	0	0
126	9	0	0
127	9	0	0
128	9	0	0
129	4	0	0
130	4	0	0
131	4	0	0
133	1	0	0
148	1	0	0
149	1	0	0
152	6	0	0
153	6	0	0
154	6	0	0
155	5	0	0
156	5	0	0
157	5	0	0
158	3	0	0
159	3	0	0
160	3	0	0
161	7	0	0
162	7	0	0
163	7	0	0
164	2	0	0
166	2	0	0
168	2	0	0
305	1	1	10487807
306	2	1	10487807
307	3	1	10487807
308	5	1	10487807
310	6	1	10487807
311	7	1	10487807
312	11	1	10487807
314	8	1	10487807
315	4	1	10487807
332	9	1	10487807
