field0	field1	field2	field3	field4
16	0	58257	34498	0
17	0	75032	6342	0
18	0	71507	99332	10
19	0	71508	99572	1
20	0	71509	99333	7
21	0	71511	99575	3
22	0	71510	99334	20
33	14	2287	2474	0
34	14	38431	40852	0
521	14	22502	109278	6
522	14	22503	96851	9
523	14	22498	96847	1
524	14	22501	96850	10
525	14	22497	96846	7
526	14	23062	35472	11
527	14	22496	35523	20
528	14	22500	96849	8
529	14	22499	96848	3
560	14	55399	82366	2
561	14	55417	79957	11
562	14	55435	68372	21
563	14	55309	77111	16
565	14	52252	65733	19
566	14	55372	79444	23
569	14	28288	41449	12
570	14	38358	43092	12
571	14	6384	11518	4
575	109	34722	56050	0
576	109	6948	6418	0
577	110	34722	56050	0
578	110	6948	6418	0
579	111	34722	56050	0
580	111	6948	6418	0
581	109	72689	101719	5
582	109	72690	101721	8
583	109	72691	101723	10
584	109	72692	101724	1
585	109	72693	101726	7
586	109	72694	101728	3
587	109	72695	101730	6
588	109	72696	56578	9
589	109	73010	50141	17
590	109	73308	101802	16
591	109	73339	101812	28
592	109	73026	35423	11
593	109	73027	33728	11
594	109	73017	6517	2
595	109	73065	101799	12
596	109	73066	38556	12
597	117	34722	56050	0
598	117	6948	6418	0
607	110	72672	101719	5
608	110	72673	101721	8
609	110	72674	101723	10
610	110	72675	101724	1
611	110	72676	101726	7
612	110	72677	101728	3
613	110	72678	101730	6
614	110	72679	56578	9
615	110	73012	50348	17
616	110	73016	6517	2
617	110	73024	35423	11
618	110	73025	33728	11
619	110	73067	101797	12
620	110	73068	38556	12
621	110	73306	101800	16
622	110	73338	101811	28
623	117	73338	101811	28
624	117	73306	101800	16
625	117	73068	38556	12
626	117	73067	101797	12
627	117	73025	33728	11
628	117	73024	35423	11
629	117	73016	6517	2
630	117	72672	101719	5
631	117	72673	101721	8
632	117	72674	101723	10
633	117	72675	101724	1
634	117	72676	101726	7
635	117	72677	101728	3
636	117	72678	101730	6
637	117	72679	56578	9
638	117	73012	50348	17
639	111	73126	101798	12
640	111	73127	33728	11
641	111	73128	35423	11
642	111	73129	38556	12
643	111	73130	6517	2
644	111	73307	101801	16
645	111	73337	101810	28
646	111	72681	101719	5
647	111	72682	101721	8
648	111	72683	101723	10
649	111	72684	101724	1
650	111	72685	101726	7
651	111	72686	101728	3
652	111	72687	101730	6
653	111	72688	56578	9
654	111	73011	50141	17
655	123	34722	56050	0
656	123	6948	6418	0
657	123	72621	101589	20
658	123	72622	101593	8
659	123	72623	101701	10
660	123	72624	105403	1
661	123	72625	101707	7
662	123	72626	101709	3
663	123	72627	101712	6
664	123	72628	101715	9
665	123	73006	50141	17
666	123	73101	101799	12
667	123	73102	33728	11
668	123	73103	35423	11
669	123	73104	38556	12
670	123	73105	6517	2
671	123	73323	101802	16
672	123	73325	101807	26
673	124	34722	56050	0
674	124	6948	6418	0
675	124	72621	101589	20
676	124	72622	101593	8
677	124	72623	101701	10
678	124	72624	105403	1
679	124	72625	101707	7
680	124	72626	101709	3
681	124	72627	101712	6
682	124	72628	101715	9
683	124	73006	50141	17
684	124	73101	101799	12
685	124	73102	33728	11
686	124	73103	35423	11
687	124	73104	38556	12
688	124	73105	6517	2
689	124	73323	101802	16
690	124	73325	101807	26
691	125	34722	56050	0
692	125	6948	6418	0
693	125	72621	101589	20
694	125	72622	101593	8
695	125	72623	101701	10
696	125	72624	105403	1
697	125	72625	101707	7
698	125	72626	101709	3
699	125	72627	101712	6
700	125	72628	101715	9
701	125	73006	50141	17
702	125	73101	101799	12
703	125	73102	33728	11
704	125	73103	35423	11
705	125	73104	38556	12
706	125	73105	6517	2
707	125	73323	101802	16
708	125	73325	101807	26
709	126	34722	56050	0
710	126	6948	6418	0
711	126	72638	101609	8
712	126	72639	101703	10
713	126	72640	105366	1
714	126	72641	101708	7
715	126	72642	101698	20
716	126	72643	101710	3
717	126	72644	101713	6
718	126	72645	55005	9
719	126	73007	50141	17
720	126	73106	101799	12
721	126	73107	33728	11
722	126	73108	35423	11
723	126	73109	38556	12
724	126	73110	6517	2
725	126	73324	101802	16
726	126	73326	101806	26
727	127	34722	56050	0
728	127	6948	6418	0
729	127	72638	101609	8
730	127	72639	101703	10
731	127	72640	105366	1
732	127	72641	101708	7
733	127	72642	101698	20
734	127	72643	101710	3
735	127	72644	101713	6
736	127	72645	55005	9
737	127	73007	50141	17
738	127	73106	101799	12
739	127	73107	33728	11
740	127	73108	35423	11
741	127	73109	38556	12
742	127	73110	6517	2
743	127	73324	101802	16
744	127	73326	101806	26
745	128	34722	56050	0
746	128	6948	6418	0
747	128	72638	101609	8
748	128	72639	101703	10
749	128	72640	105366	1
750	128	72641	101708	7
751	128	72642	101698	20
752	128	72643	101710	3
753	128	72644	101713	6
754	128	72645	55005	9
755	128	73007	50141	17
756	128	73106	101799	12
757	128	73107	33728	11
758	128	73108	35423	11
759	128	73109	38556	12
760	128	73110	6517	2
761	128	73324	101802	16
762	128	73326	101806	26
763	129	34722	56050	0
764	129	6948	6418	0
765	129	43233	13707	0
766	129	43231	13710	0
767	130	34722	56050	0
768	130	6948	6418	0
769	130	43233	13707	0
770	130	43231	13710	0
771	129	72664	101718	5
772	129	72665	101720	8
773	129	72666	101722	10
774	129	72667	52518	1
775	129	72668	101725	7
776	129	72669	101727	3
777	129	72670	101729	6
778	129	72671	101731	9
779	129	72995	50128	21
780	129	72996	50119	22
781	129	73121	101797	12
782	129	73122	35423	11
783	129	73123	33728	11
784	129	73124	38556	12
785	129	73125	6517	2
786	129	73320	101800	16
787	129	73357	101827	25
788	130	72664	101718	5
789	130	72665	101720	8
790	130	72666	101722	10
791	130	72667	52518	1
792	130	72668	101725	7
793	130	72669	101727	3
794	130	72670	101729	6
795	130	72671	101731	9
796	130	72996	50119	22
797	130	72997	50269	21
798	130	73121	101797	12
799	130	73122	35423	11
