field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field55	field56	field62	field63	field64	field65	field66	field67	field68
1	1036	1	4140	49	50	Hu	7	7	15007	1096	Human	81	0	Human	0	0	NORMAL	PIERCINGS	NORMAL	0	0	0	0
2	12	2	4141	51	52	Or	1	7	15007	1096	Orc	21	1	Orc	0	0	NORMAL	PIERCINGS	NORMAL	0	0	0	0
3	12	3	4147	53	54	Dw	7	7	15007	1090	Dwarf	41	0	Dwarf	0	0	NORMAL	PIERCINGS	NORMAL	0	0	0	0
4	4	4	4145	55	56	Ni	7	7	15007	1096	NightElf	61	0	Night Elf	0	0	NORMAL	MARKINGS	NORMAL	0	0	0	0
5	12	5	4142	57	58	Sc	1	7	15007	1096	Scourge	2	1	Undead	0	0	FEATURES	FEATURES	NORMAL	0	0	0	0
6	14	6	4143	59	60	Ta	1	7	15007	1096	Tauren	141	1	Tauren	0	0	NORMAL	HAIR	HORNS	0	0	0	0
7	12	115	4146	1563	1564	Gn	7	7	15007	1096	Gnome	101	0	Gnome	0	0	NORMAL	EARRINGS	NORMAL	0	0	0	0
8	14	116	4144	1478	1479	Tr	1	7	15007	1096	Troll	121	1	Troll	0	0	TUSKS	TUSKS	NORMAL	0	0	0	0
9	404	2204	20682	6894	6895	Go	1	7	15007	1096	Goblin	172	1	Goblin	0	0	EARS	EARS	NORMAL	3	0	0	0
10	12	1610	4142	15476	15475	Be	1	7	15007	1096	BloodElf	162	1	Blood Elf	0	0	NORMAL	EARRINGS	NORMAL	1	0	0	0
11	14	1629	4140	16125	16126	Dr	7	7	15007	1096	Draenei	163	0	Draenei	0	0	NORMAL	HORNS	NORMAL	1	0	0	0
12	5	1	0	16981	16980	Fo	7	7	15007	1096	FelOrc	0	2	Fel Orc	0	0	NORMAL	NORMAL	NORMAL	0	0	0	0
13	1	1	0	17402	17403	Na	7	7	15007	1096	Naga_	0	2	Naga	0	0	Normal	Normal	Normal	0	0	0	0
14	5	1	0	17576	17577	Br	7	7	15007	1096	Broken	0	2	Broken	0	0	Normal	Normal	Normal	0	0	0	0
15	1	1	0	17578	17579	Sk	7	7	15007	1096	Skeleton	0	2	Skeleton	0	0	Normal	Normal	Normal	0	0	0	0
16	9	1	0	21685	21686	Vr	7	7	15007	1096	Vrykul	0	2	Vrykul	0	0	Normal	Normal	Normal	0	0	0	0
17	1	1	0	21780	21781	Tu	7	7	15007	1096	Tuskarr	0	2	Tuskarr	0	0	Normal	Normal	Normal	0	0	0	0
18	15	1	0	21963	21964	Ft	7	7	15007	1096	ForestTroll	0	2	Forest Troll	0	0	TUSKS	TUSKS	Normal	0	0	0	0
19	5	1	0	26316	26317	Wt	7	7	15007	1096	Taunka	0	2	Taunka	0	0	Normal	Normal	Normal	0	0	0	0
20	5	1	0	26871	26872	NS	7	7	15007	1096	NorthrendSkeleton	0	2	Northrend Skeleton	0	0	Normal	Normal	Normal	0	0	0	0
21	5	1	0	26873	26874	It	7	7	15007	1096	IceTroll	0	2	Ice Troll	0	0	Normal	Normal	Normal	0	0	0	0
22	214	2203	20683	29422	29423	Wo	7	7	15007	1096	Worgen	170	0	Worgen	0	0	NORMAL	EARS	NORMAL	3	23	0	0
23	109	1	4140	49	50	Hu	7	7	15007	1096	Human	0	0	Gilnean	0	0	NORMAL	PIERCINGS	NORMAL	3	0	3133	3134
24	22548	2395	0	38551	38552	Pa	42	7	15007	1096	Pandaren	0	2	Pandaren	0	0	NORMAL	EARS	NORMAL	4	0	0	0
25	14852	2401	0	38551	38552	Pa	7	7	15007	1096	Pandaren	0	0	Pandaren	0	0	NORMAL	EARS	NORMAL	4	0	0	0
26	14852	2402	0	38551	38552	Pa	1	7	15007	1096	Pandaren	0	1	Pandaren	0	0	NORMAL	EARS	NORMAL	4	0	0	0
