field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16
2671	0	0	0	0	0	0	7937	0	0	0	1	1	1	1	Mechanical Squirrel	0
7380	0	0	0	0	0	0	5585	0	0	0	1	1	1	1	Siamese Cat	0
7381	0	0	0	0	0	0	5555	0	0	0	1	1	1	1	Silver Tabby Cat	0
7382	0	0	0	0	0	0	5554	0	0	0	1	1	1	1	Orange Tabby Cat	0
7383	0	0	0	0	0	0	5448	0	0	0	1	1	1	1	Black Tabby Cat	0
7384	0	0	0	0	0	0	5586	0	0	0	1	1	1	1	Cornish Rex Cat	0
7385	0	0	0	0	0	0	5556	0	0	0	1	1	1	1	Bombay Cat	0
7386	0	0	0	0	0	0	9989	0	0	0	1	1	1	1	White Kitten	0
7387	0	0	0	0	0	0	5207	0	0	0	1	1	1	1	Green Wing Macaw	3
7388	0	0	0	0	0	0	6189	0	0	0	1	1	1	1	Cockatoo	3
7389	0	0	0	0	0	0	6190	0	0	0	1	1	1	1	Senegal	3
7390	0	0	0	0	0	0	6191	0	0	0	1	1	1	1	Cockatiel	3
7391	0	0	0	0	0	0	6192	0	0	0	1	1	1	1	Hyacinth Macaw	3
7392	0	0	0	0	0	0	304	0	0	0	1	1	1	1	Prairie Chicken	0
7393	0	0	0	0	0	0	304	0	0	0	1	1	1	1	White Plymouth Rock	0
7394	0	0	0	0	0	0	5369	0	0	0	1	1	1	1	Ancona Chicken	0
7395	0	0	0	0	0	0	2177	0	0	0	1	1	1	1	Cockroach	0
7543	0	0	0	0	0	0	6288	0	0	0	1	1	1	1	Dark Whelpling	3
7544	0	0	0	0	0	0	6290	0	0	0	1	1	1	1	Crimson Whelpling	3
7545	0	0	0	0	0	0	6291	0	0	0	1	1	1	1	Emerald Whelpling	3
7546	0	0	0	0	0	0	6292	0	0	0	1	1	1	1	Bronze Whelpling	3
7547	0	0	0	0	0	0	6293	0	0	0	1	1	1	1	Azure Whelpling	3
7548	0	0	0	0	0	0	6294	0	0	0	1	1	1	1	Faeling	0
7549	0	0	0	0	0	0	6295	0	0	0	1	1	1	1	Tree Frog	0
7550	0	0	0	0	0	0	901	0	0	0	1	1	1	1	Wood Frog	0
7551	0	0	0	0	0	0	6296	0	0	0	1	1	1	1	Dart Frog	0
