field0	field1	field2	field3	field4	field5
2255	2671	0	1	1	0
5883	7380	0	1	1	0
5884	7381	0	1	1	0
5885	7382	0	1	1	0
5886	7383	0	1	1	0
5887	7384	0	1	1	0
5888	7385	0	1	1	0
5889	7386	0	1	1	0
5890	7387	0	1	1	0
5891	7388	0	1	1	0
5892	7389	0	1	1	0
5893	7390	0	1	1	0
5894	7391	0	1	1	0
5895	7392	0	1	1	0
5896	7393	0	1	1	0
5897	7394	0	1	1	0
5898	7395	0	1	1	0
5983	7543	0	1	1	0
5984	7544	0	1	1	0
5985	7545	0	1	1	0
5986	7546	0	1	1	0
5987	7547	0	1	1	0
5988	7548	0	1	1	0
5989	7549	0	1	1	0
5990	7550	0	1	1	0
5991	7551	0	1	1	0
5992	7552	0	1	1	0
5993	7553	0	1	1	0
5994	7554	0	1	1	0
5995	7555	0	1	1	0
5996	7556	0	1	1	0
5997	7560	0	1	1	0
5998	7561	0	1	1	0
5999	7562	0	1	1	0
6000	7563	0	1	1	0
6002	7565	0	1	1	0
6003	7566	0	1	1	0
6004	7567	0	1	1	0
6005	7568	0	1	1	0
6006	7569	0	1	1	0
6007	7570	0	1	1	0
6346	8376	0	1	1	0
6865	9656	0	1	1	0
6866	9657	0	1	1	0
6870	9662	0	1	1	0
6931	9936	0	1	1	0
7045	10259	0	1	1	0
7260	10598	0	1	1	0
7638	11236	0	1	1	0
7676	11325	0	1	1	0
7677	11326	0	1	1	0
7678	11327	0	1	1	0
8495	12419	0	1	1	0
9635	14143	0	61	61	0
9734	14305	0	4	4	0
9823	14421	0	1	1	0
9846	14444	0	4	4	0
9984	14629	0	1	1	0
9985	14630	0	1	1	0
9986	14631	0	1	1	0
9987	14632	0	1	1	0
9988	14633	0	1	1	0
10088	14755	0	1	1	0
10089	14756	0	1	1	0
10229	14878	0	5	5	0
10450	15186	0	1	1	0
10612	15356	0	1	1	0
10613	15357	0	1	1	0
10614	15358	0	1	1	0
10615	15359	0	1	1	0
10616	15360	0	1	1	0
10617	15361	0	1	1	0
10683	15429	0	5	5	0
10913	15661	0	1	1	0
10945	15698	0	1	1	0
10946	15699	0	1	1	0
10952	15705	0	1	1	0
10953	15706	0	1	1	0
10957	15710	0	1	1	0
11364	16069	0	1	1	0
11378	16085	0	1	1	0
11801	16445	0	1	1	0
11814	16456	0	1	1	0
11916	16547	0	1	1	0
11917	16548	0	1	1	0
11918	16549	0	1	1	0
12077	16701	0	1	1	0
12639	17254	0	1	1	0
12640	17255	0	1	1	0
14094	18381	0	1	1	0
14616	18839	0	1	1	0
16071	20245	0	3	3	0
16072	20246	0	1	1	0
16073	20247	0	1	1	0
16194	20408	0	1	1	0
16259	20472	0	1	1	0
16718	21008	0	1	1	0
16719	21009	0	1	1	0
16720	21010	0	1	1	0
16728	21018	0	1	1	0
16764	21055	0	1	1	0
16765	21056	0	1	1	0
16774	21063	0	1	1	0
16775	21064	0	1	1	0
16787	21076	0	1	1	0
16997	21266	0	1	1	0
17878	62583	0	1	1	0
17882	62581	0	88	88	-2147483648
17884	62580	0	88	88	-2147483648
17886	62579	0	88	88	-2147483648
17908	62564	0	1	1	0
17924	62555	0	1	1	0
17973	62526	0	1	1	0
18096	22328	0	1	1	0
18126	62437	0	90	90	0
18133	62433	0	90	90	0
18140	62428	0	90	90	0
18142	62427	0	90	90	0
18144	62426	0	90	90	0
18171	62409	0	90	90	0
18216	62375	0	1	1	0
18220	62373	0	1	1	0
18223	62370	0	1	1	0
18235	62364	0	1	1	0
18279	62324	0	88	88	-2013265920
18287	62317	0	1	1	0
18289	62316	0	1	1	0
18291	62315	0	1	1	0
