ID	Race	Gender	SkinColor	FaceType	HairType	HairStyle	BeardStyle	Helm	Shoulders	Shirt	Cuirass	Belt	Legs	Boots	Rings	Gloves	Wrist	Cape	CanEquip	Tecture	
23	3	0	1	1	6	3	2	0	0	3900	0	8328	5848	8816	0	3052	0	0	0	CreatureDisplayExtra-00023.blp	
30	1	0	3	3	10	4	6	2952	0	1184	0	0	0	0	0	0	0	0	0	CreatureDisplayExtra-00030.blp	
32	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CreatureDisplayExtra-00032.blp	
36	4	0	11	0	0	0	0	0	5248	5249	5250	4300	4304	4956	3379	5251	3864	0	0	CreatureDisplayExtra-00036.blp	
43	1	1	2	1	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	CreatureDisplayExtra-00043.blp	
45	1	0	0	8	0	0	2	0	7684	7676	7677	7678	7679	7680	0	7702	7683	0	0	CreatureDisplayExtra-00045.blp	
46	5	0	4	8	0	0	0	15911	0	5305	5306	5307	5308	8355	0	12873	0	0	0	CreatureDisplayExtra-00046.blp	
47	3	0	6	5	0	6	7	15907	0	5315	0	0	2610	3261	0	5444	0	0	0	CreatureDisplayExtra-00047.blp	
48	1	1	1	1	1	0	0	5330	5316	5317	5318	0	5320	5331	5322	5332	5324	0	0	CreatureDisplayExtra-00048.blp	
49	3	0	0	5	0	1	3	15491	0	11417	0	4888	4310	7458	0	0	0	0	0	CreatureDisplayExtra-00049.blp	
50	3	0	0	3	8	1	1	0	0	5326	0	3553	4310	4307	0	0	0	0	0	CreatureDisplayExtra-00050.blp	
52	4	0	5	1	3	3	2	0	0	5340	0	0	5341	9767	0	0	0	0	0	CreatureDisplayExtra-00052.blp	
53	3	1	2	1	3	3	0	0	0	5343	0	5344	1818	4487	0	0	0	0	0	CreatureDisplayExtra-00053.blp	
54	1	0	4	10	3	9	2	0	0	0	5345	0	5346	5347	3897	0	0	0	0	CreatureDisplayExtra-00054.blp	
56	1	1	3	2	14	0	0	0	0	13620	0	7619	2318	5856	0	13621	0	0	0	CreatureDisplayExtra-00056.blp	
57	1	0	2	10	6	1	4	0	0	0	5350	0	5297	5351	0	0	0	0	0	CreatureDisplayExtra-00057.blp	
58	1	0	1	2	1	4	1	0	0	13516	13517	4989	1882	6060	5355	0	0	0	0	CreatureDisplayExtra-00058.blp	
59	1	0	0	9	8	9	8	0	0	0	8444	5865	7587	8268	0	0	0	0	0	CreatureDisplayExtra-00059.blp	
60	1	0	2	0	1	3	6	0	0	9745	0	0	2318	4272	0	0	0	0	0	CreatureDisplayExtra-00060.blp	
61	1	0	0	9	8	7	8	0	0	10697	10708	0	8409	4921	0	0	0	0	0	CreatureDisplayExtra-00061.blp	
62	1	0	9	0	0	2	5	0	0	4299	0	0	2185	4272	0	0	0	0	0	CreatureDisplayExtra-00062.blp	
63	1	0	3	11	5	4	3	0	0	3552	0	0	5346	2496	0	0	0	0	0	CreatureDisplayExtra-00063.blp	
64	1	0	0	10	11	9	3	0	0	0	5364	4858	5365	5366	0	0	0	0	0	CreatureDisplayExtra-00064.blp	
65	1	1	1	3	17	2	0	0	0	0	5367	5368	5369	5370	0	0	0	0	0	CreatureDisplayExtra-00065.blp	
66	1	1	1	1	2	5	0	0	0	13641	13642	4444	13643	8065	0	0	0	0	0	CreatureDisplayExtra-00066.blp	
67	1	1	2	10	7	0	0	0	0	13521	0	4599	3078	2990	0	1796	0	0	0	CreatureDisplayExtra-00067.blp	
68	1	0	2	1	1	2	0	0	0	13003	9009	8347	5236	5380	0	0	0	0	0	CreatureDisplayExtra-00068.blp	
69	1	0	3	2	2	1	6	0	5381	684	2257	4342	697	1981	0	2362	0	0	0	CreatureDisplayExtra-00069.blp	
70	1	1	3	9	11	4	0	0	5384	5385	5386	3418	3414	5387	5388	5389	0	0	0	CreatureDisplayExtra-00070.blp	
71	2	0	6	4	5	5	3	0	12525	69911	9194	9903	9195	9196	10097	9197	0	0	0	CreatureDisplayExtra-00071.blp	
73	2	1	1	5	2	0	6	0	0	8180	0	8943	6300	7750	0	9170	0	0	0	CreatureDisplayExtra-00073.blp	
74	2	0	3	8	4	1	1	0	0	9171	0	8157	7781	7782	0	0	0	0	0	CreatureDisplayExtra-00074.blp	
75	2	0	1	0	3	3	0	0	0	9172	0	8135	7939	9173	0	0	0	0	0	CreatureDisplayExtra-00075.blp	
77	2	0	3	7	2	5	9	0	0	12826	0	10091	12614	9184	0	12248	0	0	0	CreatureDisplayExtra-00077.blp	
78	2	0	7	0	2	3	1	0	5892	19319	0	9047	7765	6198	8197	0	0	0	0	CreatureDisplayExtra-00078.blp	
79	2	0	2	3	1	0	4	0	0	9172	0	9401	19317	11900	0	0	0	0	0	CreatureDisplayExtra-00079.blp	
81	2	1	0	7	1	2	3	0	0	72181	72182	22815	24328	23251	23879	25240	0	0	0	CreatureDisplayExtra-00081.blp	
83	2	0	3	0	4	6	4	0	0	7552	0	9183	6300	13350	0	0	0	0	0	CreatureDisplayExtra-00083.blp	
84	6	1	5	3	5	1	3	0	0	9185	0	9186	9187	0	0	0	0	0	0	CreatureDisplayExtra-00084.blp	
85	2	0	6	6	5	2	6	0	0	0	8738	9189	10972	9191	0	0	0	0	0	CreatureDisplayExtra-00085.blp	
86	2	0	3	2	3	1	2	0	11560	9023	0	9024	9025	8920	0	0	0	0	0	CreatureDisplayExtra-00086.blp	
87	2	0	3	7	5	5	9	0	9574	8957	0	9024	9025	8920	0	0	0	0	0	CreatureDisplayExtra-00087.blp	
90	2	1	5	3	7	5	5	0	11560	9023	0	9024	9025	8920	0	0	0	0	0	CreatureDisplayExtra-00090.blp	
91	2	0	4	0	2	0	1	0	0	10005	0	10988	10006	9650	0	0	0	0	0	CreatureDisplayExtra-00091.blp	
92	2	0	3	8	4	0	3	0	9651	9652	0	7728	8140	9653	0	7731	0	0	0	CreatureDisplayExtra-00092.blp	
93	2	0	6	5	0	0	4	0	0	9669	0	9670	9671	9672	0	0	0	0	0	CreatureDisplayExtra-00093.blp	
94	2	0	7	4	2	5	2	0	0	8156	0	8157	7781	0	0	0	0	0	0	CreatureDisplayExtra-00094.blp	
95	2	0	4	0	3	1	3	0	0	72901	9669	9670	7533	25871	10901	17478	0	0	0	CreatureDisplayExtra-00095.blp	
96	2	0	5	1	0	6	2	0	0	10116	0	310	6300	6301	0	0	0	0	0	CreatureDisplayExtra-00096.blp	
97	2	1	5	8	0	0	1	0	0	10070	0	9464	10071	10072	0	0	0	0	0	CreatureDisplayExtra-00097.blp	
98	2	0	7	3	2	2	1	0	0	9021	0	9007	8155	10107	0	0	0	0	0	CreatureDisplayExtra-00098.blp	
99	2	0	3	7	4	5	2	0	0	8161	0	10087	8181	10104	0	0	0	0	0	CreatureDisplayExtra-00099.blp	
100	2	1	2	2	4	4	4	0	0	11871	0	10091	11872	9184	0	0	0	0	0	CreatureDisplayExtra-00100.blp	
101	2	0	0	1	1	1	1	0	0	31568	0	22935	11280	31569	24180	0	0	0	0	CreatureDisplayExtra-00101.blp	
102	2	1	0	5	1	0	6	0	1058	11885	0	10429	11019	11888	0	0	0	0	0	CreatureDisplayExtra-00102.blp	
103	2	0	2	8	3	3	6	0	0	11877	0	9027	9028	9029	0	0	0	0	0	CreatureDisplayExtra-00103.blp	
105	2	0	0	1	5	7	4	0	0	9628	0	11880	9629	9051	0	0	0	0	0	CreatureDisplayExtra-00105.blp	
106	2	0	2	6	2	2	3	0	0	9171	0	10875	10876	11883	0	0	0	0	0	CreatureDisplayExtra-00106.blp	
107	2	0	5	8	4	6	2	0	0	8738	0	8739	5947	0	0	0	0	0	0	CreatureDisplayExtra-00107.blp	
108	2	0	8	1	3	0	0	0	0	8948	0	8135	7939	0	0	0	0	0	0	CreatureDisplayExtra-00108.blp	
110	2	0	0	3	4	1	4	0	0	11877	0	9027	11341	9029	0	0	0	0	0	CreatureDisplayExtra-00110.blp	
111	2	0	4	8	1	0	5	0	5485	11890	0	0	5488	5489	0	0	0	0	0	CreatureDisplayExtra-00111.blp	
112	2	0	2	1	3	1	6	0	5506	11897	0	10880	10881	11085	0	11898	0	0	0	CreatureDisplayExtra-00112.blp	
113	2	0	3	5	1	0	3	0	11893	11894	0	11895	11536	11408	0	11896	0	0	0	CreatureDisplayExtra-00113.blp	
114	2	0	0	2	2	1	3	0	0	7708	0	8139	10006	7762	0	0	0	0	0	CreatureDisplayExtra-00114.blp	
115	2	1	2	4	5	2	5	0	0	10126	0	8139	10006	0	0	0	0	0	0	CreatureDisplayExtra-00115.blp	
116	2	0	3	4	4	6	4	0	0	10070	0	9464	10071	0	0	0	0	0	0	CreatureDisplayExtra-00116.blp	
