ID	minScale	minScaleLevel	maxScale	maxScaleLevel	SkillLine	SkillLine2	ItemPetFood	petTalentType	categoryEnumId	Name	IconFile	
1	0.7	1	1	60	208	270	1	0	23	"Wolf"	"Interface\Icons\Ability_Hunter_Pet_Wolf"
2	0.7	1	1.1	60	209	270	3	0	5	"Cat"	"Interface\Icons\Ability_Hunter_Pet_Cat"
3	0.4	1	0.6	60	203	270	1	2	17	"Spider"	"Interface\Icons\Ability_Hunter_Pet_Spider"
4	0.6	1	1	60	210	270	63	1	1	"Bear"	"Interface\Icons\Ability_Hunter_Pet_Bear"
5	0.6	1	1	60	211	270	63	1	3	"Boar"	"Interface\Icons\Ability_Hunter_Pet_Boar"
6	0.4	1	0.6	60	212	270	3	1	7	"Crocolisk"	"Interface\Icons\Ability_Hunter_Pet_Crocolisk"
7	0.5	1	0.9	60	213	270	3	0	4	"Carrion Bird"	"Interface\Icons\Ability_Hunter_Pet_Vulture"
8	0.7	1	1.4	60	214	270	58	1	6	"Crab"	"Interface\Icons\Ability_Hunter_Pet_Crab"
9	0.7	1	1	60	215	270	56	1	9	"Gorilla"	"Interface\Icons\Ability_Hunter_Pet_Gorilla"
11	0.5	1	0.8	60	217	270	1	0	13	"Raptor"	"Interface\Icons\Ability_Hunter_Pet_Raptor"
12	0.5	1	0.8	60	218	270	60	0	19	"Tallstrider"	"Interface\Icons\Ability_Hunter_Pet_TallStrider"
15	0.7	1	0.7	60	189	0	0	-1	-1	"Felhunter"	""
16	0.8	1	0.8	60	204	0	0	-1	-1	"Voidwalker"	""
17	1	1	1	60	205	0	0	-1	-1	"Succubus"	""
19	1	1	1	60	207	0	0	-1	-1	"Doomguard"	""
20	0.7	1	1	60	236	270	1	1	15	"Scorpid"	"Interface\Icons\Ability_Hunter_Pet_Scorpid"
21	0.5	1	0.72	60	251	270	58	1	21	"Turtle"	"Interface\Icons\Ability_Hunter_Pet_Turtle"
23	0.5	1	0.5	60	188	0	0	-1	-1	"Imp"	""
24	0.4	1	0.63	60	653	270	49	2	0	"Bat"	"Interface\Icons\Ability_Hunter_Pet_Bat"
25	0.7	1	0.9	60	654	270	1	0	10	"Hyena"	"Interface\Icons\Ability_Hunter_Pet_Hyena"
26	0.5	1	0.8	60	655	270	3	2	2	"Bird of Prey"	"Interface\Icons\Ability_Hunter_Pet_Owl"
27	0.5	1	0.7	60	656	270	14	2	22	"Wind Serpent"	"Interface\Icons\Ability_Hunter_Pet_WindSerpent"
28	0	0	0	0	758	0	0	-1	-1	"Remote Control"	""
29	0.9	1	0.9	60	761	0	0	-1	-1	"Felguard"	""
30	0.35	1	0.65	60	763	270	35	2	8	"Dragonhawk"	"Interface\Icons\Ability_Hunter_Pet_DragonHawk"
31	0.65	1	0.9	60	767	270	1	2	14	"Ravager"	"Interface\Icons\Ability_Hunter_Pet_Ravager"
32	0.45	1	0.6	60	766	270	34	1	21	"Warp Stalker"	"Interface\Icons\Ability_Hunter_Pet_WarpStalker"
33	0.6	1	0.9	60	765	270	60	2	18	"Sporebat"	"Interface\Icons\Ability_Hunter_Pet_Sporebat"
34	0.35	1	0.55	60	764	270	17	2	12	"Nether Ray"	"Interface\Icons\Ability_Hunter_Pet_NetherRay"
35	0.6	1	0.8	60	768	270	1	2	16	"Serpent"	"Interface\Icons\Spell_Nature_GuardianWard"
37	0.35	1	0.65	60	775	270	60	0	11	"Moth"	"Interface\Icons\Ability_Hunter_Pet_Moth"
38	0.5	1	0.63	60	780	270	1	2	24	"Chimaera"	"Interface\Icons\Ability_Hunter_Pet_Chimera"
39	0.3	1	0.5	60	781	270	1	0	25	"Devilsaur"	"Interface\Icons\Ability_Hunter_Pet_Devilsaur"
