Id	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	field23	
25	8459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
26	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
27	7541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
28	7552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
29	8335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
30	8523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
31	7877	0	0	0	7897	1	0	0	0	7874	1	0	0	0	0	0	3	0	0	0	0	4	0
32	7909	0	0	0	7908	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
33	7910	0	0	0	7908	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
34	7915	0	0	0	7912	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
35	7915	0	0	0	7912	1	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
36	7914	0	0	0	7913	1	3	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
37	8165	0	0	0	8166	1	0	0	0	8167	1	0	0	0	0	0	8	0	0	0	0	0	0
38	8165	0	0	0	8166	1	0	0	0	8167	1	0	0	0	0	0	9	0	8	0	0	0	0
39	7900	0	0	0	8169	2	1	0	0	7898	1	0	0	0	0	0	10	0	0	0	0	0	0
40	7909	0	0	0	8186	1	0	0	0	7908	1	0	0	0	0	0	11	0	0	0	0	0	0
41	7906	0	0	0	8198	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
42	7906	0	0	0	8198	1	0	0	0	7855	1	0	0	0	0	0	13	0	0	0	0	0	0
43	7906	0	0	0	8198	1	0	0	0	7855	1	0	0	0	0	0	14	0	8	0	0	0	0
44	8208	0	0	0	8209	1	2	0	0	8210	1	2	0	0	0	0	15	0	0	0	0	0	0
45	8208	0	0	0	8209	1	2	0	0	8210	1	2	0	0	0	0	16	0	0	0	0	0	0
46	8250	0	0	0	8246	1	1	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
47	8250	0	0	0	8246	1	1	1	0	0	0	0	0	0	0	0	18	0	0	0	1	0	0
48	8251	0	0	0	8249	1	1	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
49	8251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0
50	8387	0	0	0	8387	0	0	0	0	8386	1	0	0	0	0	0	21	0	8	0	1	0	0
51	8593	0	0	0	8593	0	0	0	0	8591	1	0	0	0	0	0	0	0	2	0	0	0	0
52	8593	0	0	0	8593	0	0	0	0	8591	1	0	0	0	0	0	0	0	4	0	0	0	0
53	8593	0	0	0	8593	0	0	0	0	8591	1	0	0	0	0	0	0	0	6	0	0	0	0
54	7900	1	0	0	8169	2	1	0	0	7898	1	0	0	0	0	0	22	0	0	0	0	0	0
55	7878	1	0	0	8173	2	1	0	0	7875	1	0	0	0	0	0	23	0	0	0	0	0	0
56	8590	1	0	0	8584	2	1	0	0	8585	1	0	0	0	0	0	0	0	4	0	0	0	0
57	8590	1	0	0	8584	1	0	0	0	8585	1	0	0	0	0	0	0	0	6	0	0	0	0
58	7595	3	0	0	7540	1	3	2	0	7541	1	0	0	0	7809	0	0	0	5	6331	0	1	25
59	8996	0	0	0	9003	1	0	0	0	9003	1	0	0	0	0	0	22	0	0	0	0	0	0
60	8997	0	0	0	8997	0	0	0	0	9000	0	0	0	0	0	0	22	0	0	0	0	0	0
61	9048	0	0	0	8996	0	0	0	0	9003	1	0	0	0	0	0	0	0	0	0	0	0	0
62	9085	0	0	0	8997	0	0	0	0	9000	1	0	0	0	0	0	0	0	0	0	0	0	0
63	9059	0	0	0	9060	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0
64	9218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
65	9256	0	0	0	9257	1	0	0	0	9258	0	0	0	0	0	0	0	0	8	0	0	0	0
67	9276	0	0	0	9257	1	0	0	0	9258	1	0	0	0	9258	1	0	0	8	0	1	4	0
70	9152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
71	9530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
72	9563	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
73	3015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
74	9580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
75	9582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
76	9583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
