field0	field1	field2	field3	field4	field5	field6	field7	
1069	33	-1	0	0	"Baron Ashbury"	34609	0
1070	33	-1	1000	1	"Baron Silverlaine"	3222	0
1071	33	-1	2000	2	"Commander Springvale"	3223	0
1073	33	-1	2500	4	"Lord Walden"	34612	0
1072	33	-1	3000	3	"Lord Godfrey"	33824	0
1144	34	0	1000	3	"Hogger"	501	0
1145	34	0	2000	4	"Lord Overheat"	1204	0
1146	34	0	3000	5	"Randolph Moloch"	35068	0
1064	36	-1	-3000	3	"Glubtok"	32914	0
1065	36	-1	-2500	4	"Helix Gearbreaker"	33002	0
1063	36	-1	-2000	2	"Foe Reaper 5000"	35606	0
1062	36	-1	-1000	1	"Admiral Ripsnarl"	35739	0
1060	36	-1	0	0	"\"Captain\" Cookie"	1305	0
1081	36	1	1000	5	"Vanessa VanCleef"	32806	0
585	43	0	0	0	"Lady Anacondra"	0	0
586	43	0	1000	1	"Lord Cobrahn"	0	0
587	43	0	2000	2	"Kresh"	0	0
588	43	0	3000	3	"Lord Pythas"	0	0
589	43	0	4000	4	"Skum"	0	0
590	43	0	5000	5	"Lord Serpentis"	0	0
591	43	0	6000	6	"Verdan the Everliving"	0	0
592	43	0	7000	7	"Mutanus the Devourer"	0	0
440	47	0	-1000	2	"Death Speaker Jargba"	0	0
438	47	0	0	0	"Roogug"	0	0
439	47	0	1000	1	"Aggem Thorncurse"	0	0
441	47	0	3000	3	"Overlord Ramtusk"	0	0
883	47	0	3500	5	"Agathelos the Raging"	0	0
443	47	0	4000	4	"Charlga Razorflank"	0	0
219	48	0	0	0	"Ghamoo-ra"	0	0
220	48	0	1000	1	"Lady Sarevess"	0	0
221	48	0	2000	2	"Gelihast"	0	0
222	48	0	3000	3	"Lorgus Jett"	0	0
224	48	0	5000	5	"Old Serra\'kis"	0	0
225	48	0	6000	6	"Twilight Lord Kelris"	0	0
226	48	0	7000	7	"Aku\'mai"	0	0
547	70	0	0	0	"Revelosh"	0	0
548	70	0	1000	1	"The Lost Dwarves"	0	0
549	70	0	2000	2	"Ironaya"	0	0
551	70	0	4000	4	"Ancient Stone Keeper"	0	0
552	70	0	5000	5	"Galgann Firehammer"	0	0
553	70	0	6000	6	"Grimlok"	0	0
554	70	0	7000	7	"Archaedas"	0	0
379	90	0	2000	2	"Grubbis"	0	0
378	90	0	2500	1	"Viscous Fallout"	0	0
380	90	0	3000	3	"Electrocutioner 6000"	0	0
381	90	0	4000	4	"Crowd Pummeler 9-60"	0	0
382	90	0	5000	5	"Mekgineer Thermaplugg"	0	0
492	109	0	-500	7	"Avatar of Hakkar"	0	0
488	109	0	500	3	"Jammal\'an the Prophet"	0	0
486	109	0	1000	1	"Dreamscythe"	0	0
487	109	0	2000	2	"Weaver"	0	0
490	109	0	5000	5	"Morphaz"	0	0
491	109	0	6000	6	"Hazzas"	0	0
493	109	0	8000	8	"Shade of Eranikus"	0	0
434	129	0	0	0	"Tuten\'kash"	0	0
435	129	0	1000	1	"Mordresh Fire Eye"	0	0
436	129	0	2000	2	"Glutton"	0	0
437	129	0	3000	3	"Amnennar the Coldbringer"	0	0
444	189	0	0	0	"Interrogator Vishas"	0	0
446	189	0	2000	2	"Houndmaster Loksey"	0	0
447	189	0	3000	3	"Arcanist Doan"	0	0
448	189	0	4000	4	"Herod"	0	0
449	189	0	5000	5	"High Inquisitor Fairbanks"	0	0
450	189	0	6000	6	"High Inquisitor Whitemane"	0	0
593	209	0	0	0	"Hydromancer Velratha"	0	0
594	209	0	1000	1	"Ghaz\'rilla"	0	0
595	209	0	2000	2	"Antu\'sul"	0	0
596	209	0	3000	3	"Theka the Martyr"	0	0
597	209	0	4000	4	"Witch Doctor Zum\'rah"	0	0
598	209	0	5000	5	"Nekrum Gutchewer"	0	0
599	209	0	6000	6	"Shadowpriest Sezz\'ziz"	0	0
600	209	0	7000	7	"Chief Ukorz Sandscalp"	0	0
267	229	0	0	0	"Highlord Omokk"	0	0
268	229	0	1000	1	"Shadow Hunter Vosh\'gajin"	0	0
269	229	0	2000	2	"War Master Voone"	0	0
270	229	0	3000	3	"Mother Smolderweb"	0	0
271	229	0	4000	4	"Urok Doomhowl"	0	0
272	229	0	5000	5	"Quartermaster Zigris"	0	0
274	229	0	5500	7	"Halycon"	0	0
273	229	0	6000	6	"Gizrul the Slavener"	0	0
275	229	0	8000	8	"Overlord Wyrmthalak"	0	0
276	229	0	9000	9	"Pyroguard Emberseer"	2172	0
277	229	0	10000	10	"Solakar Flamewreath"	0	0
