field0	field1	field2	field3	field4	field5	field6	field7
1	574	1	-310.406	256.665	424.175	515.388	491
2	574	2	-238.156	-163.333	242.925	304.387	491
25	576	1	-708.069	640.755	393.212	798.263	486
26	571	2	352.646	5599.85	915.87	5975.34	510
27	571	1	222.495	5513.33	1052.51	6066.67	510
28	43	1	-375.946	-4.101.463	560.529	2.141.703	11
34	595	1	731.06	1891.76	1856.36	2641.96	161
36	604	1	259.887	1465.52	1164.92	2068.87	496
37	600	1	-927.01	-595.86	-307.069	-182.566	496
38	600	2	-1002.01	-595.86	-382.069	-182.566	496
39	575	1	-697.559	186.92	-148.623	552.877	491
40	575	2	-747.558	157.839	862.196	661.958	491
41	574	3	-510.906	-753.335	225.675	415.721	491
42	578	1	787.253	877.071	1301.96	1220.21	486
43	578	2	712.253	927.071	1376.96	1370.21	486
45	578	3	787.253	927.071	1301.96	1270.21	486
46	578	4	897.259	990.406	1191.96	1186.87	486
47	601	1	-30	292.142	722.974	794.125	488
48	601	2	400	450.474	692.974	645.79	488
49	601	3	462.125	395	829.625	640	488
50	619	1	-1205.72	200.405	-233.302	848.684	488
52	608	1	665.347	1813.35	921.576	1984.17	504
53	599	1	206.324	762.444	1126.52	1375.91	495
54	602	1	-282.549	1157.05	283.686	1534.54	495
55	602	2	-538.549	959.72	169.688	1431.88	495
56	533	1	-3734.1	2886.61	-2640.27	3615.83	488
57	533	2	-4234.1	2886.61	-3140.27	3615.83	488
58	533	3	-3787	2336	-2587	3136	488
59	533	4	-4287.35	2336.61	-3087.02	3136.83	488
60	533	5	-4400.09	2311.34	-2330.28	3691.22	488
61	616	1	1036.71	611.128	1466.78	897.841	486
63	624	1	-812.519	-634.08	585.736	298.09	501
69	603	1	-445.235	1392.71	224.216	1839.01	495
70	603	2	-674.74	1679.04	653.721	2564.68	495
71	603	3	-315.75	1612	594.75	2219	495
72	603	4	1684.99	2122.53	3254.45	3168.83	495
73	533	6	-5522.29	3379.25	-4866.35	3816.54	488
94	649	1	-412.552	446.361	328.731	693.019	492
95	649	2	-211.26	433.024	528.736	926.354	492
96	650	1	4.374.236	6.294.479	8.074.098	8.761.059	492
98	603	5	-310.014	1834.77	309.455	2247.75	495
99	650	1	437.424	629.448	807.41	876.106	492
100	649	1	-412.552	446.361	328.731	693.019	492
101	632	1	1686.03	4814.53	3134.13	5779.93	492
102	668	1	1469.99	5126.99	2349.01	5713.01	492
103	631	1	1384.33	-764.84	2739.8	138.807	492
104	631	2	1631	-754.667	2698	-433.333	492
105	631	3	2116.33	-580.313	2311.8	-449.998	492
106	631	4	1993.57	4012.41	2767.28	4528.22	492
107	631	5	2216.06	4002.41	3364.8	4768.23	492
108	631	6	2586.57	4455.75	2960.28	4704.88	492
109	631	7	-2271.55	410.292	-1978.29	605.799	492
110	631	8	-2648.26	414.108	-2400.33	579.396	492
116	645	1	439.932	666.667	1459.44	686.339	29
117	645	2	239.932	666.667	1259.44	686.339	29
118	1	1	-4526.06	1690.88	-4163.97	1932.27	4
119	644	1	-304.781	-1018.17	1226.97	2.997.262	720
120	644	2	-1115.29	-934.835	157.465	-863.316	720
122	657	1	-910.935	-1457.15	1107.79	-111.332	720
123	670	1	-952.78	-880.987	-837.326	-301.622	700
125	725	1	384.121	797.483	1701.25	1675.57	640
126	643	1	308.898	-679.448	1307.07	-14	614
127	643	2	308.898	-329.448	1307.07	336	614
128	671	1	-1.184.771	-899.847	-1.064.355	-180.957	700
129	671	2	-1034.77	-1289.85	-256.427	-770.955	700
131	669	1	-675.585	-567.462	174.109	-0.999634	29
132	669	2	-750.584	-307.462	249.109	359	29
134	671	3	-1267.27	-1402.85	-224.928	-707.955	700
135	644	3	-403.294	-8.848.403	725.475	-1.323.277	720
136	389	1	-285.993	-452.953	452.871	396.232	321
137	189	1	947.986	1.616.859	1567.97	2.030.181	20
140	189	2	-482.464	939.055	-162.273	307.366	20
141	189	3	-562.424	1600.64	502.726	2009.1	20
142	33	1	2003.77	-319.883	2356.2	-849.296	21
143	33	2	2.147.557	-303.215	2.359.983	-161.597	21
144	33	3	2103.77	-193.216	2256.2	-9.159.607	21
145	33	4	2103.77	-193.215	2256.2	-915.903	21
146	33	5	2103.77	-193.215	2256.2	-915.903	21
147	33	6	2080.77	-182.546	2279.2	-5.025.939	21
148	33	7	2023.77	-278.216	2296.2	-9.659.607	21
149	47	1	1322.47	1858.68	2058.92	2349.64	607
150	129	1	570.891	2209.85	1279.94	2682.55	61
151	289	1	-686.389	104.333	251.41	317.698	22
152	289	2	-128.639	443.326	311.41	337.699	22
153	289	3	-113.639	343.212	296.439	307.707	22
154	289	4	-174.122	-663.212	356.92	287.707	22
155	329	1	-3617.68	3338.97	-2911.96	3809.45	23
156	329	2	-3967.68	3498.97	-2961.96	4169.45	23
162	48	1	-381.296	-677.147	502.924	-87.667	43
163	48	2	-581.296	-927.147	302.924	-337.667	43
164	48	3	-281.298	-8.771.483	2.926	-6.876.656	43
165	34	1	-188.331	-314.695	189.822	220.633	301
166	36	1	-796.622	-337.509	-237.358	353.335	39
167	36	2	-1016.62	-267.509	-517.357	653.333	39
168	90	1	-277.772	-694	491.896	-180.888	27
169	90	2	-77.772	-714	691.896	-200.888	27
170	90	3	-127.772	-967.333	741.896	-387.555	27
171	70	1	-248.549	-391.473	645.119	204.306	17
172	90	4	729.993	-937.334	942.669	-357.554	27
