Id	Map	WMO-ID	DungeonMap	minZ	field5	
5243	0	129	581	-10000	48527
5247	0	130	581	-10000	48527
5242	0	131	581	-10000	48527
5244	0	132	581	-10000	48527
5245	0	133	581	-10000	48527
5246	0	134	581	-10000	48527
5249	0	135	581	-10000	48527
5248	0	136	581	-10000	48527
5250	0	137	581	-10000	48527
5240	0	139	581	-10000	48527
5241	0	141	581	-10000	48527
5218	0	1512	578	-10000	71448
5234	0	1512	580	-10000	16632
5215	0	1513	578	-10000	71448
5231	0	1513	580	-10000	16632
5219	0	1514	578	-10000	71448
5235	0	1514	580	-10000	16632
5221	0	1515	578	-10000	71448
5237	0	1515	580	-10000	16632
5216	0	1516	578	-10000	71448
5232	0	1516	580	-10000	16632
5223	0	1517	578	-10000	71448
5239	0	1517	580	-10000	16632
5220	0	1518	578	-10000	71448
5236	0	1518	580	-10000	16632
5217	0	1519	578	-10000	71448
5233	0	1519	580	-10000	16632
5222	0	1520	578	-10000	71448
5238	0	1520	580	-10000	16632
5174	0	1530	567	-10000	210351
5176	0	1533	567	-10000	210351
5204	0	1534	577	-10000	210351
5203	0	1535	577	-10000	210351
5177	0	1536	567	-10000	210351
5207	0	1537	577	-10000	210351
5211	0	1538	567	-10000	210351
5202	0	1539	577	-10000	210351
5201	0	1540	577	-10000	210351
5208	0	1541	577	-10000	210351
5209	0	1542	577	-10000	210351
5205	0	1543	577	-10000	210351
5210	0	1544	577	-10000	210351
5213	0	1545	567	-10000	210351
5212	0	1547	567	-10000	210351
5173	0	1548	567	-10000	210351
5206	0	1549	577	-10000	210351
5200	0	1550	577	-10000	210351
5214	0	1551	567	-10000	210351
5266	0	1583	584	-10000	8515
5267	0	1584	584	-10000	8515
5268	0	1585	584	-10000	8515
5269	0	1586	584	-10000	8515
5270	0	1587	584	-10000	8515
5271	0	1588	584	-10000	8515
5272	0	1589	584	-10000	8515
5273	0	1590	584	-10000	8515
5274	0	1591	584	-10000	8515
5276	0	1593	584	-10000	8515
5275	0	1594	584	-10000	8515
5265	0	1595	584	-10000	8515
5258	0	1596	583	-10000	5791184
5259	0	1597	583	-10000	5791184
5260	0	1598	583	-10000	5791184
5261	0	1599	583	-10000	5791184
5262	0	1600	583	-10000	5791184
5264	0	1601	583	-10000	5791184
5263	0	1602	583	-10000	5791184
5224	0	1629	579	-10000	170486
