Id	emotesText	ChrRaces	Gender	SoundEntries	
35	14	1	1	7951
36	14	1	0	7952
37	14	3	1	7947
38	14	3	0	7948
39	14	4	1	7953
40	14	4	0	7954
41	14	7	1	7949
43	14	7	0	7950
44	14	2	1	7955
45	14	2	0	7956
46	14	5	1	7962
48	14	5	0	7961
49	14	6	1	7957
50	14	6	0	7958
51	14	8	1	7959
52	14	8	0	7960
441	14	10	1	10025
442	14	10	0	10026
443	14	11	1	10027
444	14	11	0	10029
1081	14	9	0	26556
1082	14	9	1	26557
1083	14	22	0	26554
1084	14	22	1	26555
1085	14	23	0	26559
1086	14	23	1	26558
293	19	1	0	6163
294	19	1	1	6135
295	19	2	0	6361
296	19	2	1	6352
297	19	3	0	6108
298	19	3	1	6095
299	19	4	0	6181
300	19	4	1	6172
301	19	5	0	6415
302	19	5	1	6406
303	19	6	0	6379
304	19	6	1	6370
305	19	7	0	6126
306	19	7	1	6117
307	19	8	0	6397
308	19	8	1	6388
445	19	10	1	9636
446	19	10	0	9654
448	19	11	1	9679
449	19	11	0	9704
567	19	23	1	18761
603	19	23	0	19015
626	19	9	0	19133
648	19	9	1	19242
670	19	22	0	19340
689	19	22	1	19431
952	20	3	0	6903
953	20	3	1	6894
954	20	11	0	9702
955	20	11	1	9677
956	20	10	0	9652
957	20	10	1	9648
958	20	1	1	6918
959	20	9	0	23330
960	20	9	1	19248
961	20	7	0	6913
962	20	7	1	6908
963	20	23	1	18770
964	20	23	0	19021
965	20	6	0	6953
966	20	2	0	6943
979	20	2	1	6938
981	20	1	0	6923
982	20	4	0	6933
983	20	4	1	6928
984	20	6	1	6948
985	20	8	0	6963
986	20	8	1	6958
987	20	5	0	6974
988	20	5	1	6969
989	20	22	0	19348
990	20	22	1	23319
233	21	3	0	2725
234	21	3	1	2737
235	21	4	0	2749
236	21	4	1	2761
237	21	5	0	2773
238	21	5	1	2785
239	21	6	0	2797
240	21	6	1	2810
241	21	7	0	2835
242	21	7	1	2847
243	21	8	0	2859
244	21	8	1	2871
437	21	1	0	2677
438	21	1	1	2689
439	21	2	0	2701
440	21	2	1	2713
450	21	10	1	9632
451	21	10	0	9656
452	21	11	1	9681
453	21	11	0	9706
569	21	23	1	18643
611	21	23	0	18972
634	21	9	0	19089
656	21	9	1	19202
677	21	22	0	19296
699	21	22	1	19517
794	22	10	1	9646
795	22	10	0	9650
796	22	11	1	9675
797	22	11	0	9700
798	22	3	1	6896
799	22	3	0	6899
800	22	7	1	6904
801	22	7	0	6909
802	22	1	1	6914
803	22	1	0	6919
804	22	4	1	6924
805	22	4	0	6929
806	22	2	1	6934
807	22	2	0	6939
