field0	field1	field2
1	LOGO_800.AVI	INTERFACE\CINEMATICS\
2	WOW_INTRO_800.AVI	INTERFACE\CINEMATICS\
21	LOGO_1024.AVI	INTERFACE\CINEMATICS\
22	WOW_INTRO_1024.AVI	INTERFACE\CINEMATICS\
130731	TALKTOME.M2	INTERFACE\BUTTONS\
130732	TALKTOMEBLUE.M2	INTERFACE\BUTTONS\
130733	TALKTOMEGREEN.M2	INTERFACE\BUTTONS\
130734	TALKTOMEGREY.M2	INTERFACE\BUTTONS\
130735	TALKTOMEQUESTION_GREY.M2	INTERFACE\BUTTONS\
130736	TALKTOMEQUESTION_LTBLUE.M2	INTERFACE\BUTTONS\
130737	TALKTOMEQUESTION_WHITE.M2	INTERFACE\BUTTONS\
130738	TALKTOMEQUESTIONMARK.M2	INTERFACE\BUTTONS\
131921	UI_BLOODELF.M2	INTERFACE\GLUES\MODELS\UI_BLOODELF\
131934	UI_DRAENEI.M2	INTERFACE\GLUES\MODELS\UI_DRAENEI\
131940	UI_DWARF.M2	INTERFACE\GLUES\MODELS\UI_DWARF\
131948	UI_HUMAN.M2	INTERFACE\GLUES\MODELS\UI_HUMAN\
131993	UI_NIGHTELF.M2	INTERFACE\GLUES\MODELS\UI_NIGHTELF\
132003	UI_ORC.M2	INTERFACE\GLUES\MODELS\UI_ORC\
132035	UI_SCOURGE.M2	INTERFACE\GLUES\MODELS\UI_SCOURGE\
132046	UI_TAUREN.M2	INTERFACE\GLUES\MODELS\UI_TAUREN\
132089	ABILITY_AMBUSH.BLP	INTERFACE\ICONS\
132090	ABILITY_BACKSTAB.BLP	INTERFACE\ICONS\
132091	ABILITY_BULLRUSH.BLP	INTERFACE\ICONS\
132093	ABILITY_CREATURE_CURSED_01.BLP	INTERFACE\ICONS\
132095	ABILITY_CREATURE_CURSED_03.BLP	INTERFACE\ICONS\
132096	ABILITY_CREATURE_CURSED_04.BLP	INTERFACE\ICONS\
132097	ABILITY_CREATURE_CURSED_05.BLP	INTERFACE\ICONS\
132099	ABILITY_CREATURE_DISEASE_02.BLP	INTERFACE\ICONS\
132100	ABILITY_CREATURE_DISEASE_03.BLP	INTERFACE\ICONS\
132101	ABILITY_CREATURE_DISEASE_04.BLP	INTERFACE\ICONS\
132102	ABILITY_CREATURE_DISEASE_05.BLP	INTERFACE\ICONS\
132103	ABILITY_CREATURE_POISON_01.BLP	INTERFACE\ICONS\
132104	ABILITY_CREATURE_POISON_02.BLP	INTERFACE\ICONS\
132105	ABILITY_CREATURE_POISON_03.BLP	INTERFACE\ICONS\
132107	ABILITY_CREATURE_POISON_05.BLP	INTERFACE\ICONS\
132108	ABILITY_CREATURE_POISON_06.BLP	INTERFACE\ICONS\
132109	ABILITY_CRITICALSTRIKE.BLP	INTERFACE\ICONS\
132110	ABILITY_DEFEND.BLP	INTERFACE\ICONS\
132111	ABILITY_DEVOUR.BLP	INTERFACE\ICONS\
132114	ABILITY_DRUID_BASH.BLP	INTERFACE\ICONS\
132117	ABILITY_DRUID_CHALLANGINGROAR.BLP	INTERFACE\ICONS\
132119	ABILITY_DRUID_CYCLONE.BLP	INTERFACE\ICONS\
132120	ABILITY_DRUID_DASH.BLP	INTERFACE\ICONS\
132121	ABILITY_DRUID_DEMORALIZINGROAR.BLP	INTERFACE\ICONS\
132122	ABILITY_DRUID_DISEMBOWEL.BLP	INTERFACE\ICONS\
132123	ABILITY_DRUID_DREAMSTATE.BLP	INTERFACE\ICONS\
132127	ABILITY_DRUID_FEROCIOUSBITE.BLP	INTERFACE\ICONS\
