field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16
80	0	22	-9.979.134	1.007.325	3.275.878	0.100685	-0.025144	0.05229098	0.993225	1	5	1	1	0	0	Old Coast Road
81	0	22	-9978.25	1.006.509	3.175.917	0.009525005	0.05605602	0.9983737	-0.004109946	1	5	1	1	0	0	Sentinel Hill
82	0	22	-9.978.594	1.007.753	322.856	0.08098298	-0.02492596	-0.6514509	0.7539444	1	5	1	1	0	0	Elwynn Forest
83	0	22	-9.977.337	1.009.861	3.146.883	0.2197095	-0.6859214	0.1600134	0.6750077	1	5	1	1	0	0	Jangolode Mine
84	0	22	-10912.04	1.420.347	4.252.587	-0.056856	0.000639	-0.065544	0.996228	1	5	1	1	0	0	Old Coast Road
85	0	22	-10910.86	1.420.137	4.348.199	-0.018991	0.090445	0.993666	0.063928	1	5	1	1	0	0	Duskwood
86	0	22	-10670.27	1.022.064	3.261.037	0.032457	-0.007081	-0.813898	0.580057	1	5	1	1	0	0	Elwynn Forest
87	0	22	-10670.62	1.020.859	3.341.426	-0.003461	0.00463	0.577755	0.81619	1	5	1	1	0	0	Moonbrook
88	0	22	-10670.62	1020.91	3.158.259	0	0	0.580703	0.814115	1	5	1	1	0	0	Duskwood
89	0	26	-9.430.911	6.253.646	5.677.877	0	0	1	-4,37E-02	1	5	1	1	0	0	Northshire Abbey
90	0	26	-9.430.866	6.451.041	5.678.524	0	0	8,74E-02	1	1	5	1	1	0	0	Stormwind City
91	0	26	-9.499.404	6.682.118	5.601.195	0	0	-0.793353	0.6087618	1	5	1	1	0	0	Northshire Abbey
92	0	26	-9.499.422	6.682.986	5.656.776	0	0	-0.793353	0.6087618	1	5	1	1	0	0	Stormwind City
93	0	26	-9.500.087	6.800.347	5.654.922	0	0	-0.1305263	0.9914448	1	5	1	1	0	0	Westbrook Garrison
94	0	26	-9500.08	6.798.264	5.599.302	0	0	-0.1305263	0.9914448	1	5	1	1	0	0	Westfall
95	0	26	-9500.56	6.607.813	5.656.288	0	0	0.9914448	0.1305264	1	5	1	1	0	0	Eastvale Logging Camp
96	0	26	-9.500.545	6.606.944	5.600.724	0	0	0.9914448	0.1305264	1	5	1	1	0	0	Redridge
97	0	26	-9.647.845	-1335.74	4.968.391	0	0	-0.130526	0.991445	1	5	1	1	0	0	Goldshire
98	0	26	-9.647.838	-1335.76	4.913.138	0	0	-0.130526	0.991445	1	5	1	1	0	0	Stormwind City
99	0	26	-9.648.317	-1.337.665	4.967.809	0	0	0.991445	0.130526	1	5	1	1	0	0	Redridge
100	0	26	-9.647.179	-1.336.913	4.967.783	0	0	-0.793353	0.608761	1	5	1	1	0	0	Eastvale Logging Camp
101	0	27	-10542.55	-1.180.265	2.782.653	0	0	0.601815	0.798635	1	5	1	1	0	0	Stranglethorn
102	0	27	-10542.64	-1.180.243	2.649.306	0	0	0.601815	0.798635	1	5	1	1	0	0	Raven Hill
103	0	27	-10541.72	-1.181.685	2.783.502	0	0	0.990268	0.139173	1	5	1	1	0	0	Deadwind Pass
104	0	27	-10540.25	-1.180.842	2.784.214	0	0	-0.798635	0.601815	1	5	1	1	0	0	Redridge
105	0	27	-10812.54	3.044.301	3.143.998	0	0	0.990268	-0.139173	1	5	1	1	0	0	Stranglethorn
106	0	27	-10813.27	3.066.799	3.147.379	0	0	0.139173	0.990268	1	5	1	1	0	0	Westfall
107	0	27	-10812.51	3.043.433	3.005.175	0	0	0.990268	-0.139173	1	5	1	1	0	0	Darkshire
108	0	27	-10811.8	3.058.959	3.143.815	0	0	-0.601815	0.798636	1	5	1	1	0	0	Raven Hill
109	0	27	-10891.93	-3.666.198	3.733.691	0	0	-0.143492	0.989652	1	5	1	1	0	0	Westfall
110	0	27	-10893.37	-3.675.451	3.874.495	0	0	0.598325	0.801254	1	5	1	1	0	0	Stranglethorn
111	0	27	-10891.96	-3.667.083	3.872.852	0	0	-0.143492	0.989652	1	5	1	1	0	0	Raven Hill
112	0	27	-10892.55	-3.689.965	3.873.027	0	0	0.989651	0.143493	1	5	1	1	0	0	Darkshire
113	0	26	-9.590.624	-1.929.101	6.348.758	0	0	0.811574	0.58425	1	5	1	1	0	0	Duskwood
114	0	26	-9.589.399	-1.929.751	6.344.013	0	0	0.986996	-0.160743	1	5	1	1	0	0	Lakeshire
115	0	26	-9.588.763	-1.928.543	6.344.436	0	0	-0.58425	0.811574	1	5	1	1	0	0	Elwynn
116	0	26	-9.589.389	-1.929.774	6.288.715	0	0	0.986996	-0.160743	1	5	1	1	0	0	Stonewatch Keep
117	0	26	-9.635.474	-2.087.186	6.125.315	0	0	-0.836286	0.548293	1	5	1	1	0	0	Lakeshire
118	0	26	-9.637.231	-2.086.354	6.129.399	0	0	0.548293	0.836286	1	5	1	1	0	0	Stonewatch Keep
121	0	22	-10924.16	995.368	3.495.429	0.004356	0.056692	0.998382	0.000247	1	5	1	1	0	0	Duskwood
122	0	22	-10924.99	9.963.403	3.450.686	0	0	-0.707107	0.707107	1	5	1	1	0	0	Sentinel Hill
123	0	22	-10924.77	9.964.549	3.567.675	0.035104	-0.026255	-0.675081	0.73644	1	5	1	1	0	0	Elwynn Forest
124	0	22	-10925	9.949.496	363.558	-0.090912	-0.016617	0.040289	0.994905	1	5	1	1	0	0	Moonbrook
298	0	26	-5.409.051	-2.879.462	3.425.889	0	0	1	0	1	5	1	1	0	0	Thelsamar
299	0	26	-5.409.981	-2.878.566	342.565	0	0	0.707107	0.707107	1	5	1	1	0	0	Searing Gorge
301	0	26	-5.408.024	-2878.55	3.425.521	0	0	-0.707107	0.707107	1	5	1	1	0	0	Wetlands
302	0	26	-5.409.982	-2.878.561	3.420.652	0	0	0.707107	0.707107	1	5	1	1	0	0	Dun Morogh
303	0	26	-4.899.101	-2.720.519	3.299.169	0	0	0.284015	0.95882	1	5	1	1	0	0	Dun Morogh
304	0	26	-4898.03	-2.722.107	3.298.915	0	0	0.95882	-0.284015	1	5	1	1	0	0	Wetlands
305	0	26	-4.899.369	-2.721.826	3.298.641	0	0	0.878817	0.477159	1	5	1	1	0	0	Thelsamar
306	0	26	-5795.8	-2.629.066	3.199.445	0	0	0.942641	-0.333807	1	5	1	1	0	0	Thelsamar
307	0	26	-5797.04	-2.627.592	3.199.208	0	0	0.333807	0.942641	1	5	1	1	0	0	Searing Gorge
308	0	26	-5.795.625	-2.627.747	3.199.333	0	0	-0.430511	0.902585	1	5	1	1	0	0	Dun Morogh
309	0	26	-5.594.031	-4.897.865	3.976.931	0	0	0.707107	0.7071065	1	5	1	1	0	0	Anvilmar
310	0	26	-5.592.128	-4.897.656	3.976.825	0	0	-0.7071069	0.7071066	1	5	1	1	0	0	Ironforge
311	0	26	-5.356.587	-5.296.354	3.917.129	0	0	0.9351352	-0.3542911	1	5	1	1	0	0	Loch Modan
312	0	26	-5.357.908	-5.281.927	3.917.129	0	0	0.3542909	0.9351352	1	5	1	1	0	0	Kharanos
313	0	26	-5.357.878	-5.281.893	3.912.112	0	0	0.3542909	0.9351352	1	5	1	1	0	0	Anvilmar
314	0	26	-5.356.556	-5.283.125	391.688	0	0	-0.410719	0.911762	1	5	1	1	0	0	Ironforge
315	0	26	-5.263.358	-4.843.056	387.127	0	0	0.9862856	-0.1650476	1	5	1	1	0	0	Ironforge
316	0	26	-5.264.514	-4.836.823	3.871.437	0	0	0.8141159	0.5807024	1	5	1	1	0	0	Kharanos
317	0	26	-5.264.556	-483.691	3.865.915	0	0	0.8141159	0.5807024	1	5	1	1	0	0	Anvilmar
318	0	26	-5.264.582	-4.836.962	386.039	0	0	0.8141159	0.5807024	1	5	1	1	0	0	Loch Modan
376	0	22	-3.231.315	-2.453.917	1.550.547	0	0	-0.768842	0.639439	1	5	1	1	0	0	Dun Modr
377	0	22	-3.231.987	-2.454.197	1.349.415	0	0	-0.091501	0.995805	1	5	1	1	0	0	Menethil
378	0	22	-3.231.021	-2.454.868	149.369	0.001724	0.113517	0.989276	0.091894	1	5	1	1	0	0	Loch Modan
379	0	22	-3597.21	-2714.68	196.138	0.029386	0.07754	0.949226	0.30347	1	5	1	1	0	0	Loch Modan
380	0	22	-3597.88	-2713.78	188.364	0	0	-0.329691	0.944089	1	5	1	1	0	0	Menethil
381	0	22	-3600.88	-2714.84	185.583	0.694403	0.11722	0.700398	-0.116217	1	5	1	1	0	0	Grim Batol
382	0	22	-3597.65	-2713.63	182.805	0.038501	-0.022276	-0.320761	0.946115	1	5	1	1	0	0	Dun Modr
387	0	22	-2.620.738	-2.491.646	7.944.158	0	0	0.740218	0.672367	1	5	1	1	0	0	Loch Modan
388	0	22	-2.620.205	-2.490.746	7.877.492	0.04784	-0.096226	-0.665556	0.738571	1	5	1	1	0	0	Arathi Highlands
389	0	22	-2.621.404	-2.491.452	8.021.915	0	0	0.047978	0.998848	1	5	1	1	0	0	Dun Modr
1162	0	22	-2.621.209	-2.491.463	7.799.693	0.089823	0.053697	0.738207	0.666407	1	5	1	1	0	0	Menethil Harbor
1564	0	26	-5.507.557	-2.050.342	3.995.974	0	0	0	1	1	5	1	1	0	0	Ironforge
