field0	field1	field2	field3
161	54810	0	3114
162	54811	0	3113
163	54812	0	3312
164	114338	1	3124
165	114234	0	3129
166	116186	0	3112
167	54821	0	3128
168	114300	0	3123
169	54832	0	3121
170	54733	0	3127
171	116218	0	3098
172	17076	0	3125
173	54825	0	3119
174	114228	0	3120
175	116209	0	3117
176	114333	1	3122
177	54831	0	3118
178	116216	0	3116
179	116203	0	3126
180	48484	0	3110
181	54760	0	3115
183	54922	0	3128
184	54925	0	3121
185	54923	0	3112
186	54924	0	3115
187	54926	0	3117
188	54927	0	3110
189	54928	0	3119
190	89401	1	3118
191	54930	0	3125
192	54931	0	3312
193	54934	0	3122
194	54935	0	3126
195	54936	0	3127
196	54937	0	3129
197	54938	0	3113
198	54939	0	3114
199	54940	0	3124
200	54943	0	3123
211	55436	0	3117
212	55437	0	3118
213	55449	0	3114
214	55454	0	3116
215	55442	0	3124
216	55439	0	3129
217	55455	0	3120
218	55450	0	3113
219	55447	0	3125
220	55451	0	3115
221	55443	0	3122
222	55456	0	3127
223	55440	0	3312
224	55438	0	3112
225	55448	1	3126
226	55453	0	3119
227	55441	0	3121
228	55446	0	3123
229	55444	1	3110
230	55452	0	3098
231	55445	0	3128
251	55675	0	3098
252	55677	0	3112
253	55684	0	3113
254	55678	0	3117
255	14771	0	3115
256	15237	0	3129
257	55686	0	3119
258	55673	0	3312
259	55691	0	3120
260	55688	0	3121
261	119853	0	3128
262	89489	0	3114
263	55672	0	3125
264	119873	0	3123
265	55676	0	3126
266	119872	0	3110
267	55690	0	3118
268	87195	0	3116
269	119864	0	3122
270	55692	0	3127
271	55685	0	3124
272	56248	1	3128
273	56235	0	3121
274	56218	0	3125
275	56241	1	3124
276	56232	1	3098
277	56244	0	3115
278	56246	1	3116
279	56249	0	3114
280	56238	1	3113
281	56224	0	3126
282	56217	2	3123
283	56228	0	3312
284	56242	0	3119
285	56226	0	3127
286	56240	1	3110
287	56229	2	3117
289	56231	0	3112
290	56250	1	3129
291	56233	0	3120
292	56247	1	3122
312	56363	1	3115
313	115718	0	3128
314	56365	0	3119
315	56380	0	3110
316	56368	0	3312
318	56376	0	3125
319	56370	2	3098
320	56384	1	3126
321	115723	0	3112
322	56377	0	3121
323	115705	0	3122
325	56366	0	3123
326	56383	0	3129
328	56382	1	3118
329	56375	0	3116
330	56364	0	3120
331	115713	0	3114
351	122492	1	3125
352	119449	0	3126
353	53243	0	3113
354	56833	0	3115
355	123632	0	3119
356	119410	0	3110
357	56850	0	3122
358	56844	0	3127
359	56845	0	3112
360	56847	0	3117
361	56829	0	3129
362	119403	0	3128
363	20895	0	3114
364	53299	0	3118
365	19560	0	3121
366	119464	1	3123
367	56849	0	3124
368	119463	0	3312
369	19573	0	3098
371	119407	0	3120
391	56808	0	3098
392	56813	0	3128
393	56800	1	3125
394	56818	0	3123
395	56820	0	3114
396	56806	0	3116
397	56799	0	3126
398	56802	0	3113
399	56803	0	3115
400	56804	0	3129
401	56812	0	3119
402	56814	1	3118
403	56809	0	3110
404	56807	1	3124
405	56819	0	3312
406	56801	0	3121
407	56798	0	3122
409	56821	0	3127
410	56810	0	3112
411	56811	0	3117
431	57856	1	3123
432	107059	1	3119
433	57855	1	3113
434	121840	0	3128
435	114295	1	3110
439	57866	1	3119
440	57870	1	3114
441	57903	1	3120
442	57902	1	3120
443	57904	1	3124
445	57924	1	3129
447	57927	1	3115
448	57928	1	3112
449	58136	1	3116
450	52648	1	3117
451	57925	1	3121
452	121183	1	3124
453	57958	1	3122
454	57979	1	3123
455	57955	0	3098
456	57947	1	3312
457	57954	1	3110
458	57985	1	3312
459	108939	0	3123
460	58009	1	3118
461	57986	1	3112
462	33202	0	3129
463	58228	1	3119
464	58032	1	3113
465	58027	1	3127
466	58017	1	3115
467	58033	1	3125
468	58039	1	3129
469	58038	1	3116
470	58058	1	3118
471	58135	1	3126
473	58059	1	3121
474	89646	0	3117
476	58057	1	3122
477	58079	1	3126
478	58070	0	3127
479	58081	1	3114
480	58080	0	3115
481	58107	1	3126
482	58094	1	3118
483	58095	1	3110
484	58096	1	3124
485	58097	0	3125
486	58099	1	3126
487	58098	0	3122
488	58104	1	3117
489	58368	0	3118
490	58369	1	3114
491	58355	0	3125
492	58366	0	3112
493	58388	0	3124
494	58367	0	3117
495	58372	0	3115
496	58357	0	3126
497	58377	0	3312
499	58386	0	3110
500	58385	0	3113
501	58364	0	3122
502	58375	0	3121
504	58387	0	3119
505	58384	0	3129
507	58356	0	3120
508	58382	0	3123
509	58370	0	3128
512	58623	0	3120
513	58616	2	3114
514	58640	1	3114
515	58673	0	3125
516	58620	0	3118
518	58677	1	3312
519	62259	0	3126
520	58629	0	3123
521	58647	0	3113
522	58680	1	3116
524	58631	0	3115
525	58671	0	3124
526	58657	0	3119
527	58686	0	3123
528	58669	2	3116
529	58642	2	3110
530	58618	0	3121
531	58635	0	3122
532	58676	0	3127
551	59219	0	3112
552	59289	0	3098
553	59309	1	3113
554	59307	1	3128
555	60200	1	3127
556	59327	0	3112
557	59332	0	3117
558	59336	2	3128
559	56420	0	3098
560	56414	0	3120
561	56416	0	3116
591	61205	0	3125
611	115700	0	3129
612	62132	1	3128
613	114301	1	3098
631	116172	0	3098
651	62210	0	3126
671	114223	0	3110
672	62970	0	3112
673	116238	0	3098
674	114222	0	3113
675	48514	0	3114
676	63057	0	3115
677	119447	0	3116
691	119384	0	3117
692	119462	1	3118
693	63068	0	3119
694	63069	0	3120
695	83495	0	3122
696	63090	0	3121
697	86209	0	3123
698	63092	1	3124
699	63093	1	3125
700	115710	0	3126
701	63218	0	3127
702	63219	0	3128
703	63220	0	3312
704	63222	0	3129
705	63223	0	3110
706	63224	0	3112
707	63225	0	3098
708	63229	0	3113
709	119850	0	3114
710	119866	0	3115
711	123671	0	3116
712	33371	0	3117
713	63248	0	3118
714	63249	0	3119
715	63252	1	3120
716	63253	0	3122
731	63254	0	3121
732	63256	1	3123
733	63268	1	3124
734	63269	0	3125
735	63270	0	3126
736	63271	0	3127
737	63273	0	3128
751	63279	1	3312
752	63280	0	3129
753	63291	0	3110
754	63298	0	3112
755	63302	0	3098
756	63303	0	3113
757	63304	0	3114
758	63309	0	3115
759	63310	0	3116
760	63320	0	3117
761	63312	1	3118
762	63324	0	3119
763	63325	0	3120
764	63326	0	3122
765	63327	1	3121
766	63328	0	3123
767	63329	0	3124
768	63330	0	3125
769	63331	0	3126
771	63333	0	3128
773	63335	1	3129
831	67598	0	3122
851	68164	1	3118
871	115703	0	3119
911	70947	0	3312
920	57927	1	3116
923	89749	1	0
924	89758	0	3129
926	56805	0	3126
927	89003	0	0
928	89926	0	3312
929	91299	0	3129
930	93466	0	3114
931	94372	0	3126
932	94374	0	3116
933	114237	0	3122
934	94386	0	3122
935	114280	1	3122
936	47180	0	3122
937	114282	1	3098
945	96279	0	3128
948	98397	0	3129
950	101052	0	3119
956	0	2	3113
961	107906	1	3123
967	111546	2	3115
970	112104	1	0
986	115738	1	3124
987	115931	1	3129
988	115933	1	3129
989	115934	1	3129
990	115943	1	3124
991	115946	1	3124
996	119477	0	3112
997	119724	0	3120
998	123401	0	3120
999	120477	0	3120
1000	120479	0	3120
1001	120483	0	3120
1002	120482	0	3120
1003	120585	0	3116
1004	120581	1	3112
1005	120583	0	3118
1006	120584	0	3118
1007	120581	1	3312
1008	122013	0	3112
1009	122028	0	3128
1010	122136	0	3120
1011	123023	0	3120
1012	120479	0	3120
1013	123334	0	3120
1014	123391	0	3120
1015	123394	0	3120
1016	123399	0	3120
1017	123403	1	3118
1018	123405	0	3120
1019	123763	0	3120
1020	123779	1	3118
1021	115543	0	3120
1022	61648	0	3127
1023	109263	0	3127
1024	58136	1	3127
