field0	field1	field2	field3	field4	field5	field6	field7
245	0	0	0	0	0	0	0
246	-65	0	121634944	4	-1297	0	0
247	0	-513	-121635393	-801	0	0	0
248	-65	-545	-577	-801	-785	0	0
249	-4194369	0	128	0	117442624	0	0
265	-4194369	0	0	0	-4095	0	0
285	130027518	130027518	130027518	130027518	130027518	256	0
305	125833150	0	0	2196	117440576	0	0
306	130027454	8390110	12584446	8389854	130026734	0	0
307	130027454	0	12583040	8389660	125831406	0	0
325	125830078	0	0	125830142	64	0	0
345	125833150	64	125832350	132	125831374	0	0
365	0	0	128	0	0	0	0
366	125833150	0	121634944	4	117440512	0	0
367	125833150	0	4194304	8389686	117440512	0	0
368	-1	-545	-513	-513	-513	0	0
369	0	8450526	125891006	117505236	0	0	0
370	0	0	0	0	0	0	-1
371	0	0	0	0	-1	-1	0
372	0	0	0	0	-1	0	0
376	134217662	0	4194944	4	134217726	1024	0
387	-65	-545	-4194881	-801	-16777215	0	0
388	130027454	8390110	8390142	8389854	117440512	0	0
398	134217662	0	4194944	1036	134217726	1024	0
410	125833150	64	125832350	140	125831374	0	0
411	0	0	117440512	0	0	0	0
