id	class	subclass	sound_override_subclassid	material	displayid	inventorytype	sheatheType	
17	4	4	-1	6	5663	4	3
25	2	7	-1	1	1542	21	3
35	2	10	-1	2	472	17	2
36	2	4	-1	2	5194	21	3
37	2	0	-1	1	8483	21	3
38	4	0	-1	7	33310	4	0
39	4	1	-1	7	9892	7	0
40	4	1	-1	7	10141	8	0
41	4	0	-1	7	4553	6	0
42	4	0	-1	7	4562	6	0
43	4	1	-1	7	9938	8	0
44	4	1	-1	7	9937	7	0
45	4	0	-1	7	3265	4	0
46	4	0	-1	7	4528	6	0
47	4	1	-1	7	9915	8	0
48	4	1	-1	7	9913	7	0
49	4	0	-1	7	9906	4	0
50	4	0	-1	7	4535	6	0
51	4	1	-1	7	9946	8	0
52	4	1	-1	7	9945	7	0
53	4	0	-1	7	9944	4	0
54	4	0	-1	7	4541	6	0
55	4	1	-1	7	9929	8	0
56	4	1	-1	7	12647	20	0
57	4	1	-1	7	12645	20	0
58	4	0	-1	7	4499	6	0
59	4	1	-1	7	3261	8	0
60	4	2	-1	8	16891	5	0
61	4	2	-1	8	73729	7	0
77	4	1	-1	7	2645	5	0
79	4	1	-1	7	73553	7	0
80	4	1	-1	7	16854	8	0
85	4	2	-1	8	16883	5	0
86	4	0	-1	7	4520	6	0
87	4	0	-1	7	261	8	0
88	4	1	-1	7	374	7	0
89	4	0	-1	7	7848	4	0
90	4	0	-1	7	4519	6	0
91	4	1	-1	7	368	7	0
92	4	0	-1	7	249	8	0
93	4	0	-1	7	369	4	0
94	4	0	-1	7	4522	6	0
95	4	0	-1	7	242	8	0
97	4	1	-1	7	12662	20	0
98	4	0	-1	7	4524	6	0
99	4	0	-1	7	257	8	0
100	4	1	-1	7	372	7	0
101	4	0	-1	7	373	4	0
102	4	0	-1	7	4523	6	0
103	4	0	-1	7	253	8	0
104	4	1	-1	7	370	7	0
105	4	0	-1	7	371	4	0
113	4	1	-1	7	365	7	0
114	4	0	-1	7	245	8	0
115	4	0	-1	7	4517	6	0
117	0	5	-1	0	1116	0	0
118	0	1	-1	3	15710	0	0
119	4	0	-1	7	5702	4	0
120	4	1	-1	7	10006	7	0
121	4	1	-1	7	10008	8	0
122	4	0	-1	7	4538	6	0
123	4	0	-1	7	383	4	0
124	4	1	-1	7	3268	7	0
125	4	0	-1	7	3269	8	0
126	4	0	-1	7	4543	6	0
127	4	0	-1	7	9996	4	0
128	4	1	-1	7	396	7	0
129	4	1	-1	7	9977	8	0
130	4	0	-1	7	4572	6	0
131	4	0	-1	7	4542	6	0
132	4	0	-1	7	295	8	0
133	4	0	-1	7	7912	4	0
134	4	0	-1	7	387	4	0
135	4	1	-1	7	386	7	0
136	4	0	-1	7	311	8	0
137	4	0	-1	7	4540	6	0
138	4	0	-1	7	9036	4	0
139	4	1	-1	7	9988	7	0
140	4	1	-1	7	65781	8	0
141	4	0	-1	7	4507	6	0
143	4	6	-1	1	2080	14	4
146	4	0	-1	7	4544	6	0
147	4	1	-1	7	9975	7	0
148	4	0	-1	7	9976	4	0
149	4	0	-1	7	4569	6	0
150	4	1	-1	7	392	7	0
151	4	0	-1	7	393	4	0
152	4	0	-1	7	4570	6	0
153	4	2	-1	8	10050	7	0
154	4	0	-1	7	10058	4	0
155	4	0	-1	7	4571	6	0
156	4	1	-1	7	394	7	0
157	4	0	-1	7	395	4	0
159	0	5	-1	0	18084	0	0
182	12	0	-1	0	3918	0	0
184	1	0	-1	8	362	18	0
192	2	14	-1	6	5279	21	3
193	4	1	-1	7	16579	5	0
194	4	1	-1	7	16580	7	0
195	4	1	-1	7	16582	8	0
200	4	1	-1	7	16777	5	0
201	4	1	-1	7	16778	7	0
202	4	1	-1	7	16780	8	0
203	4	1	-1	7	16779	10	0
209	4	2	-1	8	17140	7	0
210	4	2	-1	8	14444	8	0
236	4	2	-1	8	11580	5	0
237	4	2	-1	8	14476	7	0
238	4	2	-1	8	14474	8	0
239	4	2	-1	8	14475	10	0
285	4	3	-1	5	16101	5	0
286	4	3	-1	5	3409	7	0
287	4	3	-1	5	7002	8	0
414	0	5	-1	0	21904	0	0
422	0	5	-1	0	6352	0	0
527	12	0	-1	2	7090	0	0
537	15	0	-1	2	2874	0	0
555	15	0	-1	7	11205	0	0
556	15	0	-1	2	6625	0	0
647	2	8	-1	1	20190	17	1
710	4	1	-1	7	16936	9	0
711	4	1	-1	7	16581	10	0
714	4	2	-1	8	14445	10	0
718	4	3	-1	5	6986	10	0
719	4	1	-1	7	73547	10	0
720	4	2	-1	8	2368	10	0
723	7	8	-1	8	5287	0	0
724	0	5	-1	0	6342	0	0
725	12	0	-1	8	1769	0	0
727	2	7	-1	1	26577	13	3
728	9	5	-1	2	811	0	0
729	7	8	-1	4	1116	0	0
730	7	8	-1	4	1504	0	0
731	7	8	-1	4	8802	0	0
732	7	0	-1	4	18087	0	0
733	0	5	-1	7	6347	0	0
734	12	0	-1	0	4841	0	0
735	12	0	-1	0	4841	0	0
737	12	0	-1	0	926	0	0
738	12	0	-1	0	1297	0	0
739	12	0	-1	0	1443	0	0
740	12	0	-1	0	1443	0	0
741	7	7	-1	1	7391	0	0
742	12	0	-1	2	928	0	0
743	12	0	-1	2	929	0	0
744	4	0	-1	4	18059	12	0
745	12	0	-1	0	811	0	0
746	4	1	-1	1	3865	5	0
748	12	0	-1	0	811	0	0
750	12	0	-1	0	1116	0	0
751	2	4	-1	2	1515	21	3
752	12	0	-1	7	1272	0	0
753	2	7	-1	1	20094	13	3
754	2	7	-1	1	20218	13	3
755	15	0	-1	4	6498	0	0
756	2	1	-1	1	1379	17	1
761	0	8	-1	8	1208	0	0
763	4	2	-1	8	17007	9	0
765	7	9	-1	2	18088	0	0
766	2	4	-1	2	19621	21	3
767	2	10	-1	2	20443	17	2
768	2	0	-1	1	1383	21	3
769	7	8	-1	4	2599	0	0
770	15	0	-1	4	6002	0	0
771	15	0	-1	4	1225	0	0
772	12	0	-1	0	6498	0	0
773	12	0	-1	0	7127	0	0
774	3	7	-1	3	6663	0	0
776	2	15	-1	1	2743	13	3
777	15	0	-1	4	959	0	0
778	2	0	-1	1	2684	21	1
779	15	0	-1	4	7177	0	0
780	12	0	-1	0	2874	0	0
781	2	4	-1	2	19644	21	3
782	12	0	-1	7	1329	0	0
783	7	6	-1	8	6687	0	0
784	7	11	-1	0	1438	0	0
785	7	9	-1	2	6507	0	0
786	7	7	-1	1	7391	0	0
787	0	5	-1	8	24697	0	0
788	2	7	-1	1	4801	21	5
789	2	4	-1	2	19699	21	3
790	2	0	-1	1	19401	21	3
791	2	10	-1	2	20334	17	2
792	4	1	-1	7	16855	8	0
