field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	field23	field24
224	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
233	0	0	0	0	21	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	34	52	0	0
242	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	70	0	0
245	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	94	118	0	0
249	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	142	166	0	0
253	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	190	214	0	0
257	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	238	262	0	0
261	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	286	310	0	0
292	0	0	0	0	334	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
295	0	0	0	0	348	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	361	0	0
302	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	385	409	0	0
310	0	0	0	0	433	0	0	0	0	0	0	7	0	0	0	0	0	0	0	445	0	0	0	0
311	0	0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	469	493	0	0
362	0	0	0	0	517	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
365	0	0	0	0	533	0	0	1	0	0	0	7	0	0	0	0	0	0	0	546	571	0	0	0
368	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	598	623	0	0	0
369	0	0	0	0	648	0	0	0	0	0	0	7	0	0	661	0	0	687	712	0	0	0	0	0
370	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	737	762	0	0	0
371	0	0	0	0	648	0	0	0	0	0	0	7	0	0	786	0	0	812	837	0	0	0	0	0
372	0	0	0	0	533	0	0	1	0	0	0	7	0	0	0	0	0	0	0	862	887	0	0	0
373	0	0	0	0	648	0	0	0	0	0	0	7	0	0	912	0	0	938	963	0	0	0	0	0
374	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	988	1013	0	0	0
383	0	0	0	0	648	0	0	0	0	0	0	7	0	0	0	0	0	1038	1063	0	0	0	0	0
386	0	0	0	0	533	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1088	1113	0	0	0
387	0	0	0	0	648	0	0	0	0	0	0	7	0	0	1138	0	0	1164	1189	0	0	0	0	0
392	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1214	1239	0	0	0
393	0	0	0	0	648	0	0	0	0	0	0	7	0	0	1264	0	0	1290	1315	0	0	0	0	0
394	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1340	1365	0	0	0
395	0	0	0	0	648	0	0	0	0	0	0	7	0	0	1390	0	0	1416	1441	0	0	0	0	0
396	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1466	1491	0	0	0
453	1516	0	1538	0	1561	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
472	1572	0	1595	0	1618	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
510	0	0	0	0	1631	0	1	0	0	0	0	11	0	0	0	1648	1667	0	0	0	0	0	0	0
557	0	0	0	0	1686	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
568	0	0	0	0	1703	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
634	0	0	0	0	1729	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
679	1743	0	1767	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
683	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1804	1825	0	0	0
684	0	0	0	0	1846	0	0	0	0	0	0	7	0	0	0	0	0	1861	1883	0	0	0	0	0
685	0	0	0	0	1905	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1918	1936	0	0	0
687	0	0	0	0	1905	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1954	1972	0	0	0
691	0	0	0	0	533	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1990	2011	0	0	0
697	0	0	0	0	1905	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2032	2050	0	0	0
703	0	0	0	0	2068	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	2083	2104	0	0
704	0	0	0	0	2125	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2140	2161	0	0	0
782	2182	0	2205	0	2224	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
811	0	0	0	0	2235	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
845	0	0	0	0	2249	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2262	2281	0	0
859	2300	0	2326	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
918	0	0	0	0	2352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
920	0	0	0	0	2369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
924	0	0	0	0	2235	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
925	0	0	0	0	517	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
926	0	0	0	0	2385	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
928	0	0	0	0	2399	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
929	0	0	0	0	2418	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
942	0	0	0	0	2440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
945	0	0	0	0	2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2464	2485	0	0
954	0	0	0	0	2506	0	0	0	0	0	0	11	0	0	0	0	0	2522	2541	0	0	0	0	0
959	0	0	0	0	2560	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
961	0	0	0	0	2584	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
963	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
972	0	0	0	0	2600	0	0	0	0	0	0	7	0	0	0	2617	2639	0	0	0	0	0	0	0
976	0	0	0	0	1631	0	0	0	0	0	0	11	0	0	0	2661	2680	0	0	0	0	0	0	0
977	0	0	0	0	2506	0	0	0	0	0	0	10	0	0	0	0	0	2699	2718	0	0	0	0	0
981	0	0	0	0	2737	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
983	0	0	0	0	2753	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
989	0	0	0	0	1846	0	0	0	0	0	0	7	0	0	0	0	0	2767	2789	0	0	0	0	0
992	0	0	0	0	2811	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1007	0	0	0	0	2825	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
1013	0	0	0	0	2841	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1017	0	0	0	0	2600	0	1	0	0	0	0	7	0	0	0	2855	2878	0	0	0	0	0	0	0
1019	0	0	0	0	2506	0	0	0	0	0	0	10	0	0	2900	0	0	2920	2939	0	0	0	0	0
1020	0	0	0	0	21	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	2958	2976	0	0
1022	2994	0	3017	0	3040	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1025	0	0	0	0	3054	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
1026	0	0	0	0	2753	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
1028	0	0	0	0	3070	0	0	0	0	0	0	0	0	0	0	3090	0	0	0	0	0	0	0	0
1037	0	0	0	0	3113	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1041	0	0	0	0	3127	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1046	0	0	0	0	3144	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1057	3164	3191	3218	3218	3245	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1058	3164	3191	3261	3261	3245	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1060	3286	0	3311	0	3331	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1068	3347	3371	3395	3395	3331	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1069	0	0	0	0	2811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1080	0	0	0	0	3420	0	0	0	0	0	0	7	0	0	3438	0	0	3467	3495	0	0	0	0	0
1087	0	0	0	0	3523	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1093	0	0	0	0	3540	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1095	0	0	0	0	3554	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
1096	0	0	0	0	1729	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1097	0	0	0	0	3572	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1102	0	0	0	0	2235	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1103	0	0	0	0	3586	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1107	0	0	0	0	433	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3603	0	0	0	0
1115	3624	0	3648	0	3672	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1116	0	0	0	0	3684	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
1118	0	0	0	0	3684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121	3701	0	3727	0	1791	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
1123	3753	0	3775	0	3798	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1124	3812	0	3834	0	3798	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1126	3858	0	3877	0	3896	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1127	3910	0	3929	0	3896	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1128	3949	0	3969	0	3896	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1129	3991	0	4011	0	3896	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1131	4033	0	4052	0	3896	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
1134	0	0	0	0	4073	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1136	4090	0	4116	0	4144	0	0	0	0	0	224	8	0	0	0	0	0	0	0	0	0	0	0	0
1137	4158	0	4184	0	4144	0	0	0	0	0	224	8	0	0	0	0	0	0	0	0	0	0	0	0
1139	0	0	0	0	4212	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
1143	0	0	0	0	2352	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
1150	0	0	0	0	334	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
