field0	field1	field2
1092	80773	257
1097	80774	62
1098	80774	63
1099	80774	64
1100	80774	265
1101	80774	266
1102	80774	267
1103	80775	103
1104	80775	104
1105	80775	253
1106	80775	254
1107	80775	255
1108	80775	259
1109	80775	260
1110	80775	261
1111	80775	263
1112	80775	268
1113	80775	269
1126	80778	257
1131	80779	62
1132	80779	63
1133	80779	64
1134	80779	265
1135	80779	266
1136	80779	267
1137	80780	103
1138	80780	104
1139	80780	253
1140	80780	254
1141	80780	255
1142	80780	259
1143	80780	260
1144	80780	261
1145	80780	263
1146	80780	268
1147	80780	269
1430	80695	256
1431	80695	257
1432	80695	258
1433	80686	256
1434	80686	257
1435	80686	258
1436	80687	102
1437	80687	105
1438	80687	270
1439	80688	262
1440	80688	264
1443	80690	62
1444	80690	63
1445	80690	64
1446	80690	265
1447	80690	266
1448	80690	267
1449	80691	103
1450	80691	104
1451	80691	259
1452	80691	260
1453	80691	261
1454	80691	268
1455	80691	269
1456	80692	253
1457	80692	254
1458	80692	255
1459	80692	263
1464	80696	102
1465	80696	105
1466	80696	270
1467	80697	262
1468	80697	264
1471	80699	62
1472	80699	63
1473	80699	64
1474	80699	265
1475	80699	266
1476	80699	267
1477	80700	103
1478	80700	104
1479	80700	259
1480	80700	260
1481	80700	261
1482	80700	268
1483	80700	269
1484	80701	253
1485	80701	254
1486	80701	255
1487	80701	263
1492	80704	256
1493	80704	257
1494	80704	258
1495	80705	102
1496	80705	105
1497	80705	270
1498	80706	262
1499	80706	264
1502	80708	62
1503	80708	63
1504	80708	64
1505	80708	265
1506	80708	266
1507	80708	267
1508	80709	103
1509	80709	104
1510	80709	259
1511	80709	260
1512	80709	261
1513	80709	268
1514	80709	269
1515	80710	253
1516	80710	254
1517	80710	255
1518	80710	263
1523	80713	256
1524	80713	257
1525	80713	258
1526	80714	102
1527	80714	105
1528	80714	270
1529	80715	262
1530	80715	264
1533	80717	62
1534	80717	63
1535	80717	64
1536	80717	265
1537	80717	266
1538	80717	267
1539	80718	103
1540	80718	104
1541	80718	259
1542	80718	260
1543	80718	261
1544	80718	268
1545	80718	269
1546	80719	253
1547	80719	254
1548	80719	255
1549	80719	263
1558	80722	256
1559	80722	257
1560	80722	258
1561	80723	102
1562	80723	105
1563	80723	270
1564	80724	262
1565	80724	264
1568	80726	62
1569	80726	63
1570	80726	64
1571	80726	265
1572	80726	266
1573	80726	267
1574	80727	103
1575	80727	104
1576	80727	259
1577	80727	260
1578	80727	261
1579	80727	268
1580	80727	269
1581	80728	253
1582	80728	254
1583	80728	255
1584	80728	263
1589	80731	256
1590	80731	257
1591	80731	258
1592	80732	102
1593	80732	105
1594	80732	270
1595	80733	262
1596	80733	264
1597	80735	62
1598	80735	63
1599	80735	64
1600	80735	265
1601	80735	266
1602	80735	267
1603	80736	103
1604	80736	104
1605	80736	259
1606	80736	260
1607	80736	261
1608	80736	268
1609	80736	269
1610	80737	253
1611	80737	254
1612	80737	255
1613	80737	263
1618	80740	256
1619	80740	257
1620	80740	258
1621	80741	102
1622	80741	105
1623	80741	270
1624	80742	262
1625	80742	264
1628	80744	62
1629	80744	63
1630	80744	64
1631	80744	265
1632	80744	266
1633	80744	267
1634	80745	103
1635	80745	104
1636	80745	259
1637	80745	260
1638	80745	261
1639	80745	268
1640	80745	269
1641	80746	253
1642	80746	254
1643	80746	255
1644	80746	263
1649	80749	256
1650	80749	257
1651	80749	258
1652	80750	102
1653	80750	105
1654	80750	270
1655	80751	262
1656	80751	264
1659	80753	62
1660	80753	63
1661	80753	64
1662	80753	265
1663	80753	266
1664	80753	267
1665	80754	103
1666	80754	104
1667	80754	259
1668	80754	260
1669	80754	261
1670	80754	268
1671	80754	269
1672	80755	253
1673	80755	254
1674	80755	255
1675	80755	263
1681	80758	257
1682	80759	62
1683	80759	63
1684	80759	64
1687	80759	265
1688	80759	266
1689	80759	267
1690	80760	103
1691	80760	104
1692	80760	253
1693	80760	254
1694	80760	255
1695	80760	259
1696	80760	260
1697	80760	261
1698	80760	263
1699	80760	268
1700	80760	269
1705	80762	70
1706	80762	71
1707	80762	72
1711	80762	251
1712	80762	252
1715	80763	257
1716	80764	62
1717	80764	63
1718	80764	64
1721	80764	265
1722	80764	266
1723	80764	267
1724	80765	103
1725	80765	104
1726	80765	253
1727	80765	254
1728	80765	255
1729	80765	259
1730	80765	260
1731	80765	261
1732	80765	263
1733	80765	268
1734	80765	269
1740	80768	257
1741	80769	62
1742	80769	63
1743	80769	64
1746	80769	265
1747	80769	266
1748	80769	267
1749	80770	103
1750	80770	104
1751	80770	253
1752	80770	254
1753	80770	255
1754	80770	259
1755	80770	260
1756	80770	261
1757	80770	263
1758	80770	268
1759	80770	269
1781	80783	257
1782	80784	62
1783	80784	63
1784	80784	64
1787	80784	265
1788	80784	266
1789	80784	267
1790	80785	103
1791	80785	104
1792	80785	253
1793	80785	254
1794	80785	255
1795	80785	259
1796	80785	260
1797	80785	261
1798	80785	263
1799	80785	268
1800	80785	269
1805	80788	102
1806	80788	105
1807	80788	256
1808	80788	257
1809	80788	258
1810	80788	270
1811	80789	62
1812	80789	63
1813	80789	64
1815	80789	265
1816	80789	266
1817	80789	267
1818	80790	103
1819	80790	104
1820	80790	268
1821	80790	269
1824	80791	70
1827	80791	251
1841	80793	253
1842	80793	254
1843	80793	255
1848	80796	259
1849	80796	260
1850	80796	261
1851	80797	259
1852	80797	260
1853	80797	261
1854	80797	263
1856	80798	72
1872	80801	262
1873	80801	264
1876	80802	259
1877	80802	260
1878	80802	261
1879	80803	259
1880	80803	260
1881	80803	261
1882	80803	263
1883	80803	269
1884	80689	65
1885	80693	66
1886	80693	73
1887	80693	250
1888	80694	70
1889	80694	71
1890	80694	72
1891	80694	251
1892	80694	252
1893	80698	65
1894	80702	66
1895	80702	73
1896	80702	250
1897	80703	70
1898	80703	71
1899	80703	72
1900	80703	251
1901	80703	252
1902	80707	65
1903	80711	66
1904	80711	73
1905	80711	250
1906	80712	70
1907	80712	71
1908	80712	72
1909	80712	251
1910	80712	252
1911	80716	65
1912	80720	66
1913	80720	73
1914	80720	250
1915	80721	70
1916	80721	71
1917	80721	72
1918	80721	251
1919	80721	252
1920	80725	65
1921	80729	66
1922	80729	73
1923	80729	250
1924	80730	70
1925	80730	71
1926	80730	72
1927	80730	251
1928	80730	252
1929	80734	65
1930	80738	66
1931	80738	73
1932	80738	250
1933	80739	70
1934	80739	71
1935	80739	72
1936	80739	251
1937	80739	252
1938	80743	65
1939	80747	66
1940	80747	73
1941	80747	250
1942	80748	70
1943	80748	71
1944	80748	72
1945	80748	251
1946	80748	252
1947	80752	65
1948	80756	66
1949	80756	73
1950	80756	250
1951	80757	70
1952	80757	71
1953	80757	72
1954	80757	251
1955	80757	252
1956	80758	65
1957	80758	102
1958	80758	105
1959	80758	256
1960	80758	258
1961	80758	262
1962	80758	264
1963	80758	270
1964	80761	66
1965	80761	73
1966	80761	250
1967	80763	65
1968	80763	102
1969	80763	105
1970	80763	256
1971	80763	258
1972	80763	262
1973	80763	264
1974	80763	270
1975	80766	66
1976	80766	73
1977	80766	250
1978	80767	70
1979	80767	71
1980	80767	72
1981	80767	251
1982	80767	252
1983	80768	65
1984	80768	102
1985	80768	105
1986	80768	256
1987	80768	258
1988	80768	262
1989	80768	264
1990	80768	270
1991	80771	66
1992	80771	73
1993	80771	250
1994	80772	70
1995	80772	71
1996	80772	72
1997	80772	251
1998	80772	252
1999	80773	65
2000	80773	102
2001	80773	105
2002	80773	256
2003	80773	258
2004	80773	262
2005	80773	264
2006	80773	270
2007	80776	66
2008	80776	73
2009	80776	250
2010	80777	70
2011	80777	71
2012	80777	72
2013	80777	251
2014	80777	252
2015	80778	65
2016	80778	102
2017	80778	105
2018	80778	256
2019	80778	258
2020	80778	262
2021	80778	264
2022	80778	270
2023	80781	66
2024	80781	73
2025	80781	250
2026	80782	70
2027	80782	71
2028	80782	72
2029	80782	251
2030	80782	252
2031	80783	65
2032	80783	102
2033	80783	105
2034	80783	256
2035	80783	258
2036	80783	262
2037	80783	264
2038	80783	270
2039	80786	66
2040	80786	73
2041	80786	250
2042	80787	70
2043	80787	71
2044	80787	72
2045	80787	251
2046	80787	252
2047	80791	71
2048	80791	72
2049	80791	250
2050	80791	252
2052	80792	72
2054	80792	251
2055	80794	66
2056	80794	73
2057	80795	65
2062	80795	262
2063	80795	264
2065	80798	70
2066	80798	71
2067	80798	250
2068	80798	251
2069	80798	252
2071	80799	72
2073	80799	251
2074	80800	66
2075	80800	73
2076	80801	65
2119	80946	103
2120	80946	104
2121	80946	259
2122	80946	260
2123	80946	261
2124	80946	268
2125	80946	269
2126	80947	253
2127	80947	254
2128	80947	255
2129	80947	263
2130	80948	62
2131	80948	63
2132	80948	64
2133	80948	265
2134	80948	266
2135	80948	267
2136	80949	256
2137	80949	257
2138	80949	258
2139	80950	102
2140	80950	105
2141	80950	270
2142	80951	262
2143	80951	264
2144	80952	65
2145	80953	70
2146	80953	71
2147	80953	72
2148	80953	251
2149	80953	252
2150	80954	66
2151	80954	73
2152	80954	250
2153	80955	103
2154	80955	104
2155	80955	253
2156	80955	254
2157	80955	255
2158	80955	259
2159	80955	260
2160	80955	261
2161	80955	263
2162	80955	268
2163	80955	269
2164	80956	62
2165	80956	63
2166	80956	64
2169	80956	265
2170	80956	266
2171	80956	267
2172	80957	65
2173	80957	102
2174	80957	105
2175	80957	256
2176	80957	257
2177	80957	258
2178	80957	262
2179	80957	264
2180	80957	270
2181	80958	70
2182	80958	71
2183	80958	72
2184	80958	251
2185	80958	252
2186	80959	66
2187	80959	73
2188	80959	250
2189	80965	103
2190	80965	104
2191	80965	253
2192	80965	254
2193	80965	255
2194	80965	259
2195	80965	260
2196	80965	261
2197	80965	263
2198	80965	268
2199	80965	269
2200	80966	62
2201	80966	63
2202	80966	64
2205	80966	265
2206	80966	266
2207	80966	267
2208	80967	65
2209	80967	102
2210	80967	105
2211	80967	256
2212	80967	257
2213	80967	258
2214	80967	262
2215	80967	264
2216	80967	270
2217	80968	70
2218	80968	71
2219	80968	72
2220	80968	251
2221	80968	252
2222	80969	66
2223	80969	73
2224	80969	250
2263	80980	259
2264	80980	260
2265	80980	261
2266	80980	269
2268	80986	103
2269	80986	104
2270	80986	259
2271	80986	260
2272	80986	261
2273	80986	268
2274	80986	269
2275	80987	253
2276	80987	254
2277	80987	255
2278	80987	263
2279	80988	62
2280	80988	63
2281	80988	64
2282	80988	265
2283	80988	266
2284	80988	267
2285	80989	256
2286	80989	257
2287	80989	258
2288	80990	102
2289	80990	105
2290	80990	270
2291	80991	262
2292	80991	264
2293	80992	65
2294	80993	70
2295	80993	71
2296	80993	72
2297	80993	251
2298	80993	252
2299	80994	66
2300	80994	73
2301	80994	250
2302	80995	103
2303	80995	104
2304	80995	259
2305	80995	260
2306	80995	261
2307	80995	268
2308	80995	269
2309	80996	253
2310	80996	254
2311	80996	255
2312	80996	263
2313	80997	62
2314	80997	63
2315	80997	64
2316	80997	265
2317	80997	266
2318	80997	267
2319	80998	256
2320	80998	257
2321	80998	258
2322	80999	102
2323	80999	105
2324	80999	270
2325	81000	262
2326	81000	264
2327	81001	65
2328	81002	70
2329	81002	71
2330	81002	72
2331	81002	251
2332	81002	252
2333	81003	66
2334	81003	73
2335	81003	250
2336	81004	103
2337	81004	104
2338	81004	259
2339	81004	260
2340	81004	261
2341	81004	268
2342	81004	269
2343	81005	253
2344	81005	254
2345	81005	255
2346	81005	263
2347	81006	62
2348	81006	63
2349	81006	64
2350	81006	265
2351	81006	266
2352	81006	267
2353	81007	256
2354	81007	257
2355	81007	258
2356	81008	102
2357	81008	105
2358	81008	270
2359	81009	262
2360	81009	264
2361	81010	65
2362	81011	70
2363	81011	71
2364	81011	72
2365	81011	251
2366	81011	252
2367	81012	66
2368	81012	73
2369	81012	250
2370	81013	103
2371	81013	104
2372	81013	259
2373	81013	260
2374	81013	261
2375	81013	268
2376	81013	269
2377	81014	253
2378	81014	254
2379	81014	255
2380	81014	263
2381	81015	62
2382	81015	63
2383	81015	64
2384	81015	265
2385	81015	266
2386	81015	267
2387	81016	256
2388	81016	257
2389	81016	258
2390	81017	102
2391	81017	105
2392	81017	270
2393	81018	262
2394	81018	264
2395	81019	65
