field0	field1	field2	field3	field4	field5
1	207	207	207	207	207
2	62	62	62	62	62
24	1	1	1	1	1
25	45	45	45	45	45
26	0	0	0	0	46
27	3	3	3	3	3
28	0	0	0	0	47
29	48	48	48	48	48
30	49	48	48	48	48
31	50	50	50	50	50
32	0	0	0	51	0
33	0	0	0	52	0
42	2	2	2	2	2
61	0	0	0	81	0
81	0	0	0	101	0
101	0	121	121	121	121
102	122	122	122	122	122
103	123	123	123	123	123
104	124	124	124	124	124
105	141	141	141	141	141
106	126	126	126	126	126
107	127	127	127	127	127
123	142	142	142	142	142
124	143	143	143	143	143
125	125	125	125	125	125
126	144	144	144	144	144
127	0	0	0	145	145
128	146	146	146	146	0
129	0	147	147	147	147
130	148	148	148	148	148
131	0	0	0	149	0
132	0	0	0	150	0
133	0	0	0	151	0
134	0	0	0	152	0
135	0	0	0	0	212
137	0	0	153	0	0
138	157	157	157	157	157
139	158	158	158	158	158
140	159	159	159	159	159
141	0	0	160	0	0
142	161	161	161	161	161
143	0	0	0	158	158
144	0	0	0	0	0
145	168	168	168	168	168
146	169	169	169	169	169
147	170	170	170	170	170
148	0	0	0	172	172
149	0	0	176	176	176
150	0	0	175	175	175
151	0	0	0	177	0
152	0	0	0	0	178
153	0	0	179	179	179
154	0	0	156	0	156
155	182	182	182	182	182
156	50	50	183	50	183
157	184	184	184	184	184
158	185	185	185	185	185
159	186	186	186	186	186
160	187	187	187	187	187
161	0	0	0	0	42
162	0	194	194	0	0
164	193	193	193	193	193
165	194	194	194	194	194
166	124	124	195	124	195
167	204	203	0	0	0
168	0	0	157	0	0
169	145	145	145	145	145
170	0	0	0	0	205
171	0	0	0	0	206
172	0	0	0	0	158
173	0	0	0	0	0
174	0	153	0	153	0
175	0	0	0	159	0
176	0	0	0	194	194
178	121	121	183	121	183
179	0	0	0	210	0
180	0	3	0	1	0
181	211	211	211	211	211
183	212	212	212	212	212
184	127	3	125	48	123
185	177	0	177	0	177
186	182	3	2	3	2
187	0	0	0	0	0
188	0	0	0	0	0
189	218	218	218	218	218
191	0	0	0	0	219
192	224	224	224	224	224
193	225	141	225	141	225
194	226	226	226	226	226
195	185	227	147	227	147
196	223	223	223	223	223
197	182	3	3	3	3
198	227	225	223	224	226
199	224	123	123	123	123
200	3	186	3	186	3
201	226	126	145	126	145
213	147	147	147	147	147
219	236	236	236	236	236
220	237	237	237	237	237
221	239	239	239	239	239
222	239	0	239	0	239
229	0	0	151	0	0
235	187	3	187	3	187
236	185	45	45	127	141
237	3	183	3	183	3
238	145	186	145	186	145
239	3	182	3	182	3
242	0	0	185	185	185
243	215	215	215	215	215
244	0	0	0	279	0
245	0	0	0	239	0
