m_id	m_dungeonMapId	newField1	m_unkFloat1	m_unkFloat2	m_sectionId	m_instanceId	m_index	newField2	m_name	m_description
89	166	756	0.3652697	0.6122755	2010	63	1	-1	Glubtok	In a fit of rage, Glubtok unleashed his potent magical abilities and reduced his ogre mound to ash. Upon hearing of his destructive talents, the Defias hired the massive ogre mage to supervise their laborers as head foreman of the Deadmines.
90	166	756	0.501996	0.8682636	2020	63	2	-1	Helix Gearbreaker	Formerly a craftsman in the Bilgewater Cartel, Helix was offered a sum eclipsing anything he would ever make as a nameless Horde engineer to ply his trade for the Defias Brotherhood. He was quick to accept the job and renounce his former loyalties... just as any resourceful goblin would.
91	167	756	0.1247507	0.7589821	3448	63	3	-1	Foe Reaper 5000	Defias engineers have spent many long days perfecting a new harvester model based on the Foe Reaper 4000 unit. Once it is completed, the brotherhood believes this mechanized terror will be able to slice through Stormwind\'s armored soldiers like a scythe through wheat.
92	167	756	0.6047909	0.3877245	2044	63	4	-1	Admiral Ripsnarl	When James Harrington became afflicted by the worgen curse, he destroyed his loving family and maritime career in one chilling night of bloodlust. Taking on the name Ripsnarl, he fled into Westfall and later agreed to command the Defias Brotherhood\'s fearsome juggernaut.
93	167	756	0.6047909	0.4550898	2055	63	5	-1	"\Captain\"" Cookie"""	Cookie proclaimed himself captain of the Defias Brotherhood\'s juggernaut following its previous commander\'s death. Although he still performs his official duties as chief cook, anyone who questions the validity of his captain title has been known to come down with a severe case of food poisoning.
95	167	756	0.6546913	0.4026946	2060	63	6	-2	Vanessa VanCleef	As a young girl, Vanessa witnessed the gruesome death of her father and former Defias Brotherhood leader, Edwin VanCleef. She has since taken up his mantle of leadership, plotting to exact vengeance on Stormwind from the dark corridors of the Defias\'s stronghold in the Deadmines.
96	142	764	0.6646714	0.732036	2107	64	1	-1	Baron Ashbury	Slain by worgen and raised into undeath by the Forsaken, the traitor Baron Ashbury toys with his foes, keeping them alive so he can inflict maximum pain and suffering.
97	143	764	0.3043916	0.7739521	2118	64	2	-1	Baron Silverlaine	Baron Silverlaine was master of the keep before it fell to Arugal\'s worgen. Now his cursed spirit calls upon the very wolf-beasts that slaughtered him to punish further trespassers into his home.
98	142	764	0.2804395	0.5973054	2137	64	3	-1	Commander Springvale	A loyal soldier, the ghost of Commander Springvale haunts the council room, using unholy strikes to avenge his lord, Baron Silverlaine.
99	145	764	0.5449104	0.5374252	2156	64	4	-1	Lord Walden	Godfrey\'s right-hand man, the arrogant Lord Walden vowed to pay any price, including death, to serve his compatriot. Now among the undead, Walden intends to keep his word, attacking adversaries with ice and venom.
100	147	764	0.6846315	0.3353293	2164	64	5	-1	Lord Godfrey	Drawing from his past as a Gilnean noble and Forsaken agent, the cunning and resourceful Lord Godfrey wields dual pistols and commands relentless flesh-eating ghouls.
101	127	767	0.50499	0.2155688	2179	65	1	-1	Lady Naz\'jar	Lady Naz\'jar played a pivotal role in retaking Vashj\'ir from the brutal Kvaldir, earning her Queen Azshara\'s favor. Recently Naz\'jar spearheaded an assault against Neptulon and succeeded in cornering the powerful elemental lord within his throne room.
102	127	767	0.50499	0.4251497	2189	65	2	-1	Commander Ulthok, the Festering Prince	Ulthok is an incredibly ancient being sent by his Old God masters to aid Lady Naz\'jar with invading the Throne of Tides. Bristling with sinister powers, Ulthok commands legions of his fellow faceless ones in the deepest trenches surrounding Vashj\'ir.
103	126	767	0.6746514	0.1931137	2194	65	3	-1	Mindbender Ghur\'sha	After his valiant efforts at the Abyssal Breach, Earthen Ring shaman Erunak Stonespeaker was abducted by naga forces and enslaved by Mindbender Ghur\'sha. It is feared that this parasitic aberration has taken full control over Erunak\'s mind, body, and devastating shamanic abilities.
104	126	767	0.3253496	0.1931137	2204	65	4	-1	Ozumat	Tales of the monstrous kraken that terrorize Azeroth\'s high seas were once relegated to myth... but no longer. By some ill means, the naga have bent Ozumat-the patriarch of all kraken-to their will and unleashed him against Neptulon and his followers.
105	116	753	0.5	0.7020959	2356	66	1	-1	Rom\'ogg Bonecrusher	"One of the rare \missing link\"" ogres on Outland, Rom\'ogg Bonecrusher piqued the Twilight\'s Hammer Cult\'s interest with his merciless treatment of the ogres. He now lords over the Chamber of Incineration, sating his hunger for inflicting torment on others."""
106	117	753	0.2704595	0.1631736	2361	66	2	-1	Corla, Herald of Twilight	Formerly an accomplished Kirin Tor mage, Corla now serves the Twilight\'s Hammer with unwavering devotion. She blesses fellow zealots by harnessing nether dragon essences to transform these believers into menacing twilight drakonid.
107	117	753	0.4700599	0.6646707	2371	66	3	-1	Karsh Steelbender	The enormous drakonid Karsh Steelbender toils in the Twilight Forge, shaping weapons of war out of rare quicksilver. Although Karsh\'s works are nearly unbreakable under normal circumstances, at high temperatures they become as brittle as rusted iron.
108	117	753	0.6646714	0.8443115	2378	66	4	-1	Beauty	Beauty\'s past is a tale as old as time, a song as old as rhyme. After Beauty\'s mate, Beast, was slain by heroes in Blackrock Spire, the hound and its four remaining pups joined forces with the Twilight\'s Hammer, intent on punishing the creatures who killed its mate.
109	117	753	0.6896216	0.507485	2385	66	5	-1	Ascendant Lord Obsidius	For his unyielding devotion and penchant for cruelty, the powerful shaman Dessirik the Depraved was gifted with ascension: a dark ritual that infused him with elemental powers, transforming him into a monstrosity known as Ascendant Lord Obsidius.
110	125	768	0.6297411	0.5973054	2394	67	1	-1	Corborus	Deathwing enslaved the massive gyreworm Corborus and drove it to unearth the vast amounts of elementium required to forge the Dragon Aspect\'s new plating. With Deathwing\'s departure, however, Corborus has broken loose and now rampages through the Stonecore in blind fury.
