m_id	m_encounterId	m_itemId	m_difficulty	newField1
9111	89	2169	1	-1
9112	89	5195	1	-1
9113	89	65163	2	-1
9114	89	63467	2	-1
9115	89	5444	1	-1
9116	89	63468	2	-1
9117	89	63470	2	-1
9118	89	63471	2	-1
9119	90	5200	1	-1
9120	90	63473	2	-1
9121	90	63474	2	-1
9122	90	5443	1	-1
9123	90	63475	2	-1
9124	90	63476	2	-1
9125	90	5191	1	-1
9126	90	65164	2	-1
9127	90	5199	1	-1
9128	91	5201	1	-1
9129	91	1937	1	-1
9130	91	5187	1	-1
9131	91	65165	2	-1
9132	91	65166	2	-1
9133	91	65167	2	-1
9134	92	872	1	-1
9135	92	65168	2	-1
9136	92	65169	2	-1
9137	92	65170	2	-1
9138	92	1156	1	-1
9139	92	5196	1	-1
9140	93	5202	1	-1
9141	93	65171	2	-1
9142	93	65172	2	-1
9143	93	65173	2	-1
9144	93	65174	2	-1
9145	93	5192	1	-1
9146	93	5193	1	-1
9147	93	65177	2	-1
9148	93	5197	1	-1
9149	93	5198	1	-1
9150	95	63478	2	-1
9151	95	63479	2	-1
9152	95	63480	2	-1
9153	95	65178	2	-1
9154	95	63482	2	-1
9155	95	63483	2	-1
9156	95	63484	2	-1
9157	95	63485	2	-1
9158	95	63486	2	-1
9159	95	63487	2	-1
9160	96	63433	2	-1
9161	96	6314	1	-1
9162	96	63434	2	-1
9163	96	6323	1	-1
9164	96	63435	2	-1
9165	96	6324	1	-1
9166	96	63436	2	-1
9167	96	63437	2	-1
9168	97	63440	2	-1
9169	97	6321	1	-1
9170	97	63441	2	-1
9171	97	63444	2	-1
9172	97	5254	1	-1
9173	97	5943	1	-1
9174	97	63438	2	-1
9175	97	6319	1	-1
9176	97	63439	2	-1
9177	98	6320	1	-1
9178	98	63448	2	-1
9179	98	63449	2	-1
9180	98	63445	2	-1
9181	98	63446	2	-1
9182	98	3191	1	-1
9183	98	63447	2	-1
9184	99	6642	1	-1
9185	99	6341	1	-1
9186	99	63450	2	-1
9187	99	1292	1	-1
9188	99	63452	2	-1
9189	99	63453	2	-1
9190	99	3230	1	-1
9191	99	63454	2	-1
9192	99	63455	2	-1
9193	100	63456	2	-1
9194	100	6641	1	-1
9195	100	63457	2	-1
9196	100	63458	2	-1
9197	100	63459	2	-1
9198	100	3748	1	-1
9199	100	63460	2	-1
9200	100	63461	2	-1
9201	100	63462	2	-1
9202	100	63463	2	-1
9203	100	63464	2	-1
9204	100	63465	2	-1
9205	100	6220	1	-1
9206	100	6318	1	-1
9207	101	55201	1	-1
9208	101	55202	1	-1
9209	101	55203	1	-1
9210	101	56266	2	-1
9211	101	56267	2	-1
9212	101	55195	1	-1
