field0	field1	field2
345	51	66
346	51	63
348	51	70
349	51	69
350	51	64
351	51	67
352	51	68
353	51	65
354	51	77
355	51	76
361	51	71
429	51	184
430	51	185
431	51	186
439	68	227
440	68	228
441	68	229
442	68	230
443	68	231
444	68	232
445	68	226
446	68	233
447	68	234
449	68	236
450	68	237
451	68	238
452	68	239
453	68	240
454	68	241
460	70	247
461	70	248
462	70	249
463	70	250
464	70	251
465	70	252
466	70	253
467	70	254
468	70	255
469	70	256
470	70	257
471	70	258
472	70	259
473	70	260
474	70	261
475	70	262
484	72	271
485	72	272
486	72	273
487	72	274
488	72	275
489	72	276
490	72	277
491	72	278
492	72	279
493	72	280
494	72	281
495	72	282
496	72	283
497	72	284
498	72	285
499	72	286
510	74	246
513	74	302
528	74	313
531	74	321
533	51	75
534	51	72
535	51	73
536	51	187
537	51	78
538	51	74
539	74	317
541	74	322
543	74	316
544	74	303
545	74	324
546	74	330
547	74	320
548	74	311
549	74	312
557	68	63
560	68	64
561	68	311
562	68	316
563	68	246
