field0	field1	field2	field3	field4	field5	field6	field7
36	30	0	258	47	60	49	52
46	32	0	258	55	60	57	60
57	137	1	259	59	70	61	63
61	172	1	259	67	70	69	70
65	170	1	259	64	70	66	68
66	147	1	259	67	70	69	70
76	171	1	259	68	70	70	70
87	198	1	259	68	70	70	70
88	138	1	259	67	70	69	70
92	151	1	259	67	70	69	70
95	136	1	259	58	70	59	62
97	173	1	259	67	70	69	70
98	174	1	259	68	70	70	70
107	148	1	259	62	70	64	66
108	149	1	259	63	70	65	67
109	150	1	259	65	70	67	68
110	140	1	259	60	70	62	64
199	258	2	0	15	58	15	58
200	258	1	0	15	58	15	58
201	258	0	0	15	60	15	60
202	259	1	0	59	70	59	70
203	259	2	0	59	68	59	68
220	276	0	258	51	60	53	56
240	202	2	261	68	80	69	72
241	225	2	261	69	80	71	73
242	204	2	261	70	80	72	74
243	218	2	261	71	80	73	75
244	214	2	261	72	80	74	76
245	220	2	261	73	80	75	77
246	216	2	261	74	80	76	78
247	208	2	261	75	80	77	79
248	209	2	261	77	80	79	80
249	206	2	261	77	80	79	80
250	207	2	261	77	80	79	80
251	203	2	261	77	80	79	80
252	245	2	261	78	80	80	80
253	251	2	261	80	80	79	80
254	253	2	261	80	80	79	80
255	255	2	261	80	80	79	80
256	261	2	0	69	80	69	80
257	330	0	258	55	60	58	60
307	178	1	260	70	70	70	70
308	179	1	260	70	70	70	70
309	180	1	260	70	70	70	70
310	181	1	260	70	70	70	70
311	182	1	260	70	70	70	70
312	183	1	260	70	70	70	70
313	184	1	260	70	70	70	70
314	185	1	260	70	70	70	70
315	186	1	260	70	70	70	70
316	187	1	260	70	70	70	70
317	188	1	260	70	70	70	70
318	189	1	260	70	70	70	70
319	190	1	260	70	70	70	70
320	191	1	260	70	70	70	70
321	192	1	260	70	70	70	70
322	201	1	260	70	70	70	70
323	205	2	262	80	80	80	80
324	210	2	262	80	80	80	80
325	211	2	262	80	80	80	80
326	212	2	262	80	80	80	80
327	213	2	262	80	80	80	80
328	215	2	262	80	80	80	80
329	217	2	262	80	80	80	80
330	219	2	262	80	80	80	80
331	221	2	262	80	80	80	80
332	226	2	262	80	80	80	80
333	241	2	262	80	80	80	80
334	242	2	262	80	80	80	80
335	249	2	262	80	80	80	80
336	252	2	262	80	80	80	80
337	254	2	262	80	80	80	80
338	256	2	262	80	80	80	80
339	302	3	300	80	85	80	82
340	303	3	300	80	85	80	82
341	304	3	300	84	85	85	85
342	305	3	300	84	85	85	85
343	307	3	300	81	85	82	84
344	311	3	300	81	85	82	84
345	312	3	300	84	85	85	85
346	319	3	301	85	85	85	85
347	320	3	301	85	87	85	85
348	321	3	301	85	85	85	85
349	322	3	301	85	85	85	85
350	323	3	301	85	85	85	85
351	324	3	301	85	85	85	85
352	325	3	301	85	85	85	85
353	326	3	301	85	85	85	85
354	327	3	301	85	85	85	85
355	334	3	301	85	85	85	85
356	340	3	301	85	85	85	85
357	435	3	301	85	85	85	85
358	436	3	434	85	85	85	85
359	437	3	301	85	85	85	85
360	438	3	434	85	85	85	85
361	439	3	301	85	85	85	85
362	440	3	434	85	85	85	85
