m_Id	field1	field2	field3	field4	field5	field6	m_mapId	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	
1	"Wailing Caverns"	15	25	19	17	20	43	0	3	1	-1	"WAILINGCAVERNS"	0	0	1	0	258
2	"Scholomance"	38	48	42	40	43	289	0	3	1	-1	"SCHOLOMANCE"	0	0	1	0	258
4	"Ragefire Chasm"	15	21	16	15	16	389	0	3	1	-1	"RAGEFIRECHASM"	0	0	1	0	258
6	"Deadmines"	15	21	16	15	16	36	0	3	1	-1	"DEADMINES"	0	0	1	0	258
8	"Shadowfang Keep"	16	26	20	18	21	33	0	3	1	-1	"SHADOWFANGKEEP"	0	0	1	0	258
10	"Blackfathom Deeps"	20	30	24	22	25	48	0	3	1	-1	"BLACKFATHOMDEEPS"	0	0	1	0	258
12	"Stormwind Stockade"	20	30	24	22	25	34	0	3	1	-1	"STORMWINDSTOCKADES"	0	0	1	0	258
14	"Gnomeregan"	24	34	28	26	29	90	0	3	1	-1	"GNOMEREGAN"	0	0	1	0	258
16	"Razorfen Kraul"	30	40	34	32	35	47	0	3	1	-1	"RAZORFENKRAUL"	0	0	1	0	258
20	"Razorfen Downs"	40	50	44	42	45	129	0	3	1	-1	"RAZORFENDOWNS"	0	0	1	0	258
22	"Uldaman"	35	45	39	37	40	70	0	3	1	-1	"ULDAMAN"	0	0	1	0	258
24	"Zul\'Farrak"	44	54	48	46	49	209	0	3	1	-1	"ZULFARAK"	0	0	1	0	258
26	"Maraudon - Foulspore Cavern"	32	42	36	34	37	349	0	3	1	-1	"MARAUDON"	0	0	1	0	258
28	"Sunken Temple"	50	60	54	52	55	109	0	3	1	-1	"SUNKENTEMPLE"	0	0	1	0	258
30	"Blackrock Depths - Detention Block"	47	57	51	49	52	230	0	3	1	-1	"BLACKROCKDEPTHS"	0	0	1	0	258
32	"Lower Blackrock Spire"	55	65	58	57	58	229	0	3	1	-1	"BLACKROCKSPIRE"	0	0	1	0	258
34	"Dire Maul - Warpwood Quarter"	36	46	40	38	41	429	0	3	1	-1	"DIREMAUL"	0	0	1	0	258
36	"Dire Maul - Capital Gardens"	39	49	43	41	44	429	0	3	1	-1	"DIREMAUL"	0	0	1	0	258
38	"Dire Maul - Gordok Commons"	42	52	46	44	47	429	0	3	1	-1	"DIREMAUL"	0	0	1	0	258
40	"Stratholme - Main Gate"	42	52	46	44	47	329	0	3	1	-1	"STRATHOLME"	0	0	1	0	258
136	"Hellfire Ramparts"	57	67	63	59	62	543	0	3	1	-1	"HELLFIRECITADEL"	1	0	2	0	259
137	"Blood Furnace"	59	68	64	61	63	542	0	3	1	-1	"HELLFIRECITADEL"	1	0	2	0	259
138	"Shattered Halls"	67	75	70	0	0	540	0	3	1	-1	"HELLFIRECITADEL"	1	0	2	0	0
140	"Slave Pens"	60	69	65	62	64	547	0	3	1	-1	"COILFANG"	1	0	2	0	259
146	"Underbog"	61	70	66	63	65	546	0	3	1	-1	"COILFANG"	1	0	2	0	259
147	"The Steamvault"	67	75	70	0	0	545	0	3	1	-1	"COILFANG"	1	0	2	0	0
148	"Mana-Tombs"	62	71	67	64	66	557	0	3	1	-1	"AUCHINDOUN"	1	0	2	0	259
149	"Auchenai Crypts"	63	72	68	65	67	558	0	3	1	-1	"AUCHINDOUN"	1	0	2	0	259
150	"Sethekk Halls"	65	73	69	67	68	556	0	3	1	-1	"AUCHINDOUN"	1	0	2	0	259
151	"Shadow Labyrinth"	67	75	70	0	0	555	0	3	1	-1	"AUCHINDOUN"	1	0	2	0	0
163	"Scarlet Halls"	26	36	30	28	31	1001	0	3	1	-1	"SCARLETMONASTERY"	0	0	1	0	258
164	"Scarlet Monastery"	28	33	32	30	33	1004	0	3	1	-1	"SCARLETMONASTERY"	0	0	1	0	258
170	"The Escape From Durnholde"	64	73	69	66	68	560	0	3	1	-1	"CAVERNSOFTIME"	1	0	2	0	259
171	"Opening of the Dark Portal"	68	75	70	0	0	269	0	3	1	-1	"CAVERNSOFTIME"	1	0	2	0	0
172	"The Mechanar"	67	75	70	0	0	554	0	3	1	-1	"TEMPESTKEEP"	1	0	2	0	0
173	"The Botanica"	67	75	70	0	0	553	0	3	1	-1	"TEMPESTKEEP"	1	0	2	0	0
174	"The Arcatraz"	68	75	70	0	0	552	0	3	1	-1	"TEMPESTKEEP"	1	0	2	0	0
178	"Auchenai Crypts"	70	75	70	70	73	558	1	3	1	-1	"AUCHINDOUN"	1	0	3	0	260
179	"Mana-Tombs"	70	75	70	70	73	557	1	3	1	-1	"AUCHINDOUN"	1	0	3	0	260
180	"Sethekk Halls"	70	75	70	70	73	556	1	3	1	-1	"AUCHINDOUN"	1	0	3	0	260
181	"Shadow Labyrinth"	70	75	70	70	73	555	1	3	1	-1	"AUCHINDOUN"	1	0	3	0	260
182	"Opening of the Dark Portal"	70	75	70	70	73	269	1	3	1	-1	"CAVERNSOFTIME"	1	0	3	0	260
183	"The Escape From Durnholde"	70	75	70	70	73	560	1	3	1	-1	"CAVERNSOFTIME"	1	0	3	0	260
184	"Slave Pens"	70	75	70	70	73	547	1	3	1	-1	"COILFANG"	1	0	3	0	260
185	"The Steamvault"	70	75	70	70	73	545	1	3	1	-1	"COILFANG"	1	0	3	0	260
186	"Underbog"	70	75	70	70	73	546	1	3	1	-1	"COILFANG"	1	0	3	0	260
187	"Blood Furnace"	70	75	70	70	73	542	1	3	1	-1	"HELLFIRECITADEL"	1	0	3	0	260
188	"Hellfire Ramparts"	70	75	70	70	73	543	1	3	1	-1	"HELLFIRECITADEL"	1	0	3	0	260
189	"Shattered Halls"	70	75	70	70	73	540	1	3	1	-1	"HELLFIRECITADEL"	1	0	3	0	260
190	"The Arcatraz"	70	75	70	70	73	552	1	3	1	-1	"TEMPESTKEEP"	1	0	3	0	260
191	"The Botanica"	70	75	70	70	73	553	1	3	1	-1	"TEMPESTKEEP"	1	0	3	0	260
192	"The Mechanar"	70	75	70	70	73	554	1	3	1	-1	"TEMPESTKEEP"	1	0	3	0	260
198	"Magisters\' Terrace"	68	75	70	0	0	585	0	3	1	-1	"MAGISTERSTERRACE"	1	0	2	0	0
201	"Magisters\' Terrace"	70	75	70	70	73	585	1	3	1	-1	"MAGISTERSTERRACE"	1	0	3	0	260
202	"Utgarde Keep"	68	78	72	69	72	574	0	3	1	-1	"UTGARDE"	2	0	4	0	261
203	"Utgarde Pinnacle"	77	80	80	79	79	575	0	3	1	-1	"UTGARDEPINNACLE"	2	0	4	0	261
204	"Azjol-Nerub"	70	80	74	72	74	601	0	3	1	-1	"AZJOLNERUB"	2	0	4	0	261
205	"Utgarde Pinnacle"	80	80	80	80	80	575	1	3	1	-1	"UTGARDEPINNACLE"	2	0	5	0	262
206	"The Oculus"	77	80	80	79	79	578	0	3	1	-1	"THEOCULUS"	2	0	4	0	261
207	"Halls of Lightning"	77	80	80	79	79	602	0	3	1	-1	"HALLSOFLIGHTNING"	2	0	4	0	261
208	"Halls of Stone"	75	80	78	77	78	599	0	3	1	-1	"HALLSOFSTONE"	2	0	4	0	261
209	"The Culling of Stratholme"	77	80	80	79	79	595	0	3	1	-1	"CAVERNSOFTIME"	2	0	4	0	261
210	"The Culling of Stratholme"	80	80	80	80	80	595	1	3	1	-1	"CAVERNSOFTIME"	2	0	5	0	262
211	"The Oculus"	80	80	80	80	80	578	1	3	1	-1	"THEOCULUS"	2	0	5	0	262
212	"Halls of Lightning"	80	80	80	80	80	602	1	3	1	-1	"HALLSOFLIGHTNING"	2	0	5	0	262
213	"Halls of Stone"	80	80	80	80	80	599	1	3	1	-1	"HALLSOFSTONE"	2	0	5	0	262
214	"Drak\'Tharon Keep"	72	80	75	74	76	600	0	3	1	-1	"DRAKTHARON"	2	0	4	0	261
215	"Drak\'Tharon Keep"	80	80	80	80	80	600	1	3	1	-1	"DRAKTHARON"	2	0	5	0	262
216	"Gundrak"	74	80	78	76	78	604	0	3	1	-1	"GUNDRAK"	2	0	4	0	261
217	"Gundrak"	80	80	80	80	80	604	1	3	1	-1	"GUNDRAK"	2	0	5	0	262
218	"Ahn\'kahet: The Old Kingdom"	71	80	75	73	75	619	0	3	1	-1	"AHNKALET"	2	0	4	0	261
219	"Ahn\'kahet: The Old Kingdom"	80	80	80	80	80	619	1	3	1	-1	"AHNKALET"	2	0	5	0	262
220	"Violet Hold"	73	80	76	75	77	608	0	3	1	-1	"THEVIOLETHOLD"	2	0	4	0	261
221	"Violet Hold"	80	80	80	80	80	608	1	3	1	-1	"THEVIOLETHOLD"	2	0	5	0	262
225	"The Nexus"	69	79	73	71	73	576	0	3	1	-1	"THENEXUS"	2	0	4	0	261
226	"The Nexus"	80	80	80	80	80	576	1	3	1	-1	"THENEXUS"	2	0	5	0	262
241	"Azjol-Nerub"	80	80	80	80	80	601	1	3	1	-1	"AZJOLNERUB"	2	0	5	0	262
242	"Utgarde Keep"	80	80	80	80	80	574	1	3	1	-1	"UTGARDE"	2	0	5	0	262
245	"Trial of the Champion"	78	80	80	0	0	650	0	3	1	-1	"ARGENTDUNGEON"	2	0	4	0	0
249	"Trial of the Champion"	80	80	80	80	80	650	1	3	1	-1	"ARGENTDUNGEON"	2	0	5	0	262
251	"The Forge of Souls"	80	80	80	0	0	632	0	3	1	-1	"THEFORGEOFSOULS"	2	0	4	0	0
252	"The Forge of Souls"	80	80	80	80	80	632	1	3	1	-1	"THEFORGEOFSOULS"	2	0	5	0	262
253	"Pit of Saron"	80	80	80	0	0	658	0	3	1	-1	"PITOFSARON"	2	0	4	0	0
254	"Pit of Saron"	80	80	80	80	80	658	1	3	1	-1	"PITOFSARON"	2	0	5	0	262
255	"Halls of Reflection"	80	80	80	0	0	668	0	3	1	-1	"HALLSOFREFLECTION"	2	0	4	0	0
256	"Halls of Reflection"	80	80	80	80	80	668	1	3	1	-1	"HALLSOFREFLECTION"	2	0	5	0	262
272	"Maraudon - The Wicked Grotto"	30	40	34	32	35	349	0	3	1	-1	"MARAUDON"	0	0	1	0	258
273	"Maraudon - Earth Song Falls"	34	44	38	36	39	349	0	3	1	-1	"MARAUDON"	0	0	1	0	258
