field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14
1	0	0	0	0	0	0	12	13	10	13	4	0	0	0
2	0	612096	0	998400.1	19200	25861	14	15	494	15	4	0	0	0
3	0	714810.1	0	987301	13924	19298	16	15	496	15	4	0	0	0
4	0	557760	0	966720.2	23040	28800	17	18	497	18	4	0	0	0
5	0	685440	-177	989760.1	11167	16362	19	20	463	20	4	0	0	0
6	0	725045	0	1021195	13922	20298	21	22	454	22	4	0	0	0
7	0	653065.1	0	897438.1	23773	29291	23	24	456	24	4	0	0	0
8	0	561600	0	1002240	25920	31680	17	25	497	25	4	0	0	0
9	0	614400	0	1094400	63744	72192	26	27	409	27	4	0	0	0
12	0	724087	8.410.365	670289.3	1.271.618	2.161.166	30	31	10	31	4	0	0	0
13	0	640816.1	16737.6	618216	896.212	896.212	32	33	10	33	4	0	0	0
14	0	759016.8	8.180.854	987938.6	26782	30720	16	15	496	15	4	0	0	0
15	0	652489.7	9.020.949	999862.1	24000	31658	14	15	494	15	4	0	0	0
16	0	666312.5	15687.89	800207.8	35975.21	43712.83	34	35	406	35	2	0	0	0
17	0	687233.1	2345	1011162	11068	14613	19	20	463	20	4	0	0	0
18	0	664320	0	982080	6720	7680	14	15	494	15	4	0	0	0
19	0	702610.1	0	1047894	16217.53	19057	916	37	36	37	4	0	0	0
20	0	706944.1	0	901632.1	25344	29952	23	24	456	24	4	0	0	0
21	0	748800	11618.3	856704.1	1055.09	1112.65	28	24	493	24	4	0	0	0
22	0	613629	8480	804810.1	26524	31670	34	35	406	35	2	0	0	0
23	0	597504	6912	841728	19200	20736	34	35	406	35	2	0	0	0
24	0	622848.1	5376	823296.1	20736	24576	34	35	406	35	2	0	0	0
26	0	737280	15536.4	807168.1	744.444	744.444	38	39	470	39	4	0	0	0
27	0	612864	0	516864	35446	51722	40	39	407	39	4	0	0	0
28	0	564790	13697.8	604416.1	537.327	537.327	41	42	472	42	4	0	0	0
