field0	field1	field2	field3	field4	field5	field6	field7	field8	field9
1	0	83	0	0.2	0.5	1	0.75	1	0
2	0	82	0	0.4	0.5	1	0.75	1	0
3	0	81	0	0.6	0.5	1	0.75	1	0
4	0	90	0	0.8	0.5	1	0.75	1	0
5	0	91	0	1	0.5	1	0.75	1	0
6	0	0	0	0.65	0.5	1	0.75	1	0
7	0	0	0	0.65	0.5	1	0.75	1	0
8	1	105	0	0.5	0.5	1	0.75	1	0
9	1	0	0	0.8	0.2	0.1	0	1	0
10	0	0	0	0.1	0.5	1	0.75	1	0
11	1	0	0	0.5	0.5	1	0.75	1	0
12	1	0	0	0.4	0.5	1	0.65	1	0
13	0	0	0	1	0.5	1	0.75	1	0
14	0	0	0	0.85	0.5	1	0.75	1	0
15	0	0	0	1	0.5	1	0.75	1	0
16	0	0	0	0.85	0.5	1	0.5	1	0
17	1	0	0	0.5	0.5	1	0.75	1	0
18	0	0	0	0.5	0.5	1	0.75	1	0
19	0	0	0	0.6	0.5	1	0.75	1	0
20	0	0	0	1	0.5	1	0.75	1	0
21	0	0	0	0.4	0.5	1	0.75	1	0
22	0	0	0	1	0.5	1	0.75	1	0
23	0	0	0	0.9	0.5	1	0.75	1	0
24	0	0	0	1	0.5	1	0.75	1	0
25	0	0	0	1	0.5	1	0.75	1	0
26	1	0	0	0.65	0.85	1	0.75	1	0
27	0	0	0	1	0.5	1	0.75	1	0
28	0	0	0	0.1	0.5	1	0.75	1	0
29	0	0	0	0.85	0.5	1	0.75	1	0
30	1	0	0	0.4	0.5	1	0.75	1	0
31	0	0	0	1	0.5	1	0.75	1	0
32	1	0	0	0.5	0.5	1	0.75	1	0
33	0	0	0	1	0.5	1	0.75	1	0
34	1	0	0	0	0.5	1	0.75	1	0
35	0	0	0	1	0.5	1	0.75	1	0
36	0	0	0	0.6	0.5	1	0.75	1	0
37	0	0	0	1	0.5	1	0.75	1	0
38	0	0	0	0.75	0.5	1	0.75	1	0
39	0	0	0	1	0.5	1	0.75	1	0
40	0	0	0	0.65	0.5	1	0.75	1	0
41	1	0	0	0.6	0.5	1	0.75	1	0
42	0	0	0	1	0.5	1	0.75	1	0
43	0	0	0	1	0.5	1	0.75	1	0
44	0	0	0	0.6	0.5	1	0.75	1	0
45	0	0	0	1	0.5	1	0.75	1	0
46	0	0	0	0.6	0.5	1	0.75	1	0
47	0	0	0	0.6	0.5	1	0.75	1	0
48	0	0	0	0.6	0.5	1	0.75	1	0
49	0	0	0	0.6	0.5	1	0.75	1	0
50	0	0	0	0.6	0.5	1	0.75	1	0
51	0	0	0	0.5	0.5	1	0.75	1	0
52	0	0	0	1	0.5	1	0.75	1	0
53	0	0	0	1	0.5	1	0.75	1	0
54	0	0	0	0.85	0.5	1	0.75	1	0
