field0	field1	X	field3	field4	field5	field6	field7	field8	field9	Y	field11	field12	field13	field14	field15	field16	field17	field18	field19
101	241	0.534392	0.652557	0	0	0	0	0	0	0.376238	0.19604	0	0	0	0	0	0	0	0
102	241	0.617284	0.497355	0.400353	0	0	0	0	0	0.180198	0.283168	0.336634	0	0	0	0	0	1,40E-39	0
123	285	0.571429	0.439153	0	0	0	0	0	0	0.384158	0.423762	0	0	0	0	0	0	0	0
124	285	0.439153	0.574956	0	0	0	0	0	0	0.417822	0.362376	0	0	0	0	0	0	1,40E-39	0
143	301	0.751323	0.75485	0.78836	0.777778	0.805996	0	0	0	0.219802	0.312871	0.407921	0.506931	0.556436	0	0	0	0	0
144	301	0.783069	0.763668	0.772487	0.740741	0	0	0	0	0.508911	0.409901	0.30099	0.233663	0	0	0	0	1,40E-39	0
145	292	0.708995	0.627866	0.514991	0.380952	0	0	0	0	0.419802	0.485149	0.59604	0.481188	0	0	0	0	0	0
146	292	0.349206	0.419753	0.506173	0.640212	0.680776	0	0	0	0.352475	0.520792	0.605941	0.508911	0.419802	0	0	0	1,40E-39	0
147	295	0.698413	0.61552	0.529101	0.380952	0.266314	0.178131	0	0	0.417822	0.467327	0.635644	0.629703	0.746535	0.673267	0	0	0	0
148	295	0.213404	0.342152	0.432099	0.578483	0.643739	0	0	0	0.724752	0.706931	0.623762	0.594059	0.435644	0	0	0	1,40E-39	0
163	302	0.393298	0.493827	0.622575	0	0	0	0	0	0.49703	0.621782	0.576238	0	0	0	0	0	0	0
164	302	0.664903	0.559083	0.38448	0	0	0	0	0	0.607921	0.362376	0.463366	0	0	0	0	0	1,40E-39	0
165	967	0.444444	0.382716	0.356261	0.294533	0.21164	0.176367	0	0	0.386139	0.526733	0.665347	0.736634	0.726733	0.677228	0	0	0	0
166	967	0.19224	0.275132	0.356261	0.409171	0.534392	0	0	0	0.70099	0.730693	0.683168	0.514852	0.362376	0	0	0	1,40E-39	0
167	965	0.650794	0.608466	0.507937	0	0	0	0	0	0.338614	0.522772	0.663366	0	0	0	0	0	0	0
168	965	0.446208	0.414462	0.5097	0.636684	0	0	0	0	0.671287	0.526733	0.350495	0.291089	0	0	0	0	1,40E-39	0
170	737	0.717813	0	0	0	0	0	0	0	0.683168	0	0	0	0	0	0	0	0	0
171	964	0.675485	0	0	0	0	0	0	0	0.435644	0	0	0	0	0	0	0	0	0
172	964	0.62963	0.68254	0	0	0	0	0	0	0.576238	0.433663	0	0	0	0	0	0	1,40E-39	0
173	712	0.398589	0.356261	0.319224	0	0	0	0	0	0.657426	0.506931	0.463366	0	0	0	0	0	0	0
174	712	0.262787	0.312169	0	0	0	0	0	0	0.558416	0.70495	0	0	0	0	0	0	1,40E-39	0
175	737	0.700176	0.756614	0	0	0	0	0	0	0.714851	0.671287	0	0	0	0	0	0	0	0
176	737	0.703704	0.659612	0	0	0	0	0	0	0.6	0.659406	0	0	0	0	0	0	1,40E-39	0
178	810	0.435626	0.363316	0.342152	0	0	0	0	0	0.665347	0.548515	0.382178	0	0	0	0	0	0	0
179	810	0.377425	0.45679	0	0	0	0	0	0	0.413861	0.639604	0	0	0	0	0	0	1,40E-39	0
180	964	0.744268	0.650794	0.656085	0	0	0	0	0	0.421782	0.473267	0.605941	0	0	0	0	0	0	0
181	964	0.64903	0.671958	0.663139	0	0	0	0	0	0.629703	0.578218	0.433663	0	0	0	0	0	1,40E-39	0
208	2265	0.365079	0.410935	0.432099	0.463845	0.546737	0.610229	0.657848	0.705467	0.532673	0.506931	0.465347	0.413861	0.392079	0.425743	0.463366	0.487129	0	0
209	2204	0.398589	0.447972	0.518519	0.59612	0.671958	0	0	0	0.435644	0.366337	0.318812	0.275248	0.259406	0	0	0	1,40E-39	0
215	3262	0.4021164	0.5943562	0.680776	0.5996473	0	0	0	0	0.3553055	0.381029	0.5144694	0.6157556	0	0	0	0	0	0
