field0	field1	field2	field3	field4	field5	field6
21590	1158536704	1147165999	1139807224	0	0	1117782016
21591	1158688924	1147799323	1139842548	0	0	1128464384
21592	1158669390	1148009464	1139843170	0	0	1093664768
21593	1158688924	1147799323	1139842548	0	0	1128464384
21594	1158536704	1147165999	1139807224	0	0	1117782016
21595	1158669390	1148009464	1139843170	0	0	1129512960
21616	1158639821	1148264956	1139930563	0	0	0
21617	1158679142	1147824669	1139930333	0	0	0
21618	1158696632	1147321287	1140191789	0	0	0
21619	1158716375	1147294941	1140563968	0	0	0
21620	1158532833	1147041628	1140456194	0	0	0
21621	1158750945	1147247477	1139896975	0	0	0
21622	1158682952	1147682341	1139839861	0	0	0
21623	1158423716	1147769635	1139839664	0	0	0
21624	1158438789	1147465646	1139839697	0	0	0
21625	1158572687	1147230175	1140131922	0	0	0
21626	1158740623	1147824931	1139930563	0	0	0
21627	1158726042	1147667087	1139859685	0	0	0
21628	1158530294	1147125760	1139844907	0	0	0
21629	1158662840	1147992343	1139841466	0	0	0
21630	1158514934	1148105392	1139840221	0	0	0
21631	1158400451	1147455685	1139858506	0	0	1115749148
21632	1158458614	1147908145	1139973521	0	0	0
21633	1158421012	1147243610	1140098597	0	0	0
21634	1158725673	1147456963	1139855032	0	0	0
21635	1158507684	1147434189	1139839795	0	0	0
21636	1158688440	1147214938	1139850641	0	0	0
21637	1158652314	1147881243	1117973250	0	0	0
21638	1158693437	1148230877	1139977421	0	0	0
21639	1158514934	1148105392	1139840221	0	0	0
21640	1158578340	1148542796	1139898483	0	0	1132817285
21641	1158620736	1147929771	1139876715	0	0	1133009430
21643	1158632121	1148028928	1139869691	0	0	1129164376
21644	1158564046	1148360989	1139887789	0	0	1120567296
21645	1158604516	1148470813	1139917221	0	0	1133119570
21646	1158655019	1147568299	1139864601	0	0	1134703226
21647	1158665991	1147648171	1139863501	0	0	1114011496
21648	1158537337	1148038912	1139870421	0	0	1103512944
21649	1158548437	1148673422	1139943547	0	0	1134015807
21650	1158637817	1147318727	1139854434	0	0	1135420736
21651	1158603243	1147271566	1139851309	0	0	1129060172
21653	1158571459	1148724429	1139952419	0	0	1133931495
21654	1158639165	1148390081	1139934429	0	0	1132670779
21655	1158642360	1148323676	1139939607	0	0	1132523323
21657	1158536768	1148632946	1139935262	0	0	1134571815
21658	1158576740	1148186624	1139872244	0	0	1133488013
21659	1158535168	1147582350	1139873565	0	0	1133038273
21660	1158530496	1147444708	1139861872	0	0	1129485696
21661	1158350151	1148399758	1140135703	0	0	1133142573
21662	1158440469	1147815225	1139865815	0	0	1133975667
21663	1158480775	1147381561	1139866862	0	0	1134801420
