id	iname	type	flags	unk4	isPvp	name	linkedZone	hordeIntro	allianceIntro	multimap_id (10)	BattlefieldMapIconScale	ghost_entrance_map	ghost_entrance_x	ghost_entrance_y	timeOfDayOverride	addon	unkTime	maxPlayers	unk400	
0	"Azeroth"	0	15965	1	0	"Eastern Kingdoms"	0	""	""	4	1	NaN	0	0	-1	0	0	0	-1
1	"Kalimdor"	0	15965	1	0	"Kalimdor"	0	""	""	3	1	NaN	0	0	-1	0	0	0	-1
13	"test"	0	1555	2	0	"Testing"	3817	""	""	0	1	NaN	0	0	-1	0	0	0	-1
25	"ScottTest"	0	1555	2	0	"Scott Test"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
30	"PVPZone01"	3	1553	1	1	"Alterac Valley"	0	"Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other\'s tower fortifications and slay the enemy General (Vanndar Stormpike or Drek\'Thar)."	"Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other\'s tower fortifications and slay the enemy General (Vanndar Stormpike or Drek\'Thar)."	104	1	NaN	0	0	-1	0	0	0	-1
33	"Shadowfang"	1	1565	1	0	"Shadowfang Keep"	0	""	""	204	1	0	-230.989	1571.57	-1	0	0	10	-1
34	"StormwindJail"	1	1553	2	0	"Stormwind Stockade"	717	""	""	194	1	0	-8762.379	848.0103	-1	0	0	10	-1
35	"StormwindPrison"	0	1555	2	0	"<unused>StormwindPrison"	717	""	""	23	1	0	-8762.477	848.0491	-1	0	0	0	-1
36	"DeadminesInstance"	1	1553	1	0	"Deadmines"	0	""	""	142	1	0	-11207.8	1681.15	-1	0	0	10	-1
37	"PVPZone02"	0	1555	1	1	"Azshara Crater"	0	"Crush the Alliance!"	"Defend yourself from the onslaught of the Horde!"	25	1	NaN	0	0	-1	0	0	0	-1
42	"Collin"	0	1555	2	0	"Collin\'s Test"	0	""	""	0	1	NaN	0	0	-1	0	0	0	-1
43	"WailingCaverns"	1	1553	2	0	"Wailing Caverns"	718	""	""	143	1	1.401298E-45	-751.1312	-2209.24	-1	0	0	10	-1
44	"Monastery"	1	1555	2	0	"<unused> Monastery"	0	""	""	42	1	0	2892.413	-811.2413	-1	0	0	10	-1
47	"RazorfenKraulInstance"	1	1553	1	0	"Razorfen Kraul"	0	""	""	188	1	1.401298E-45	-4459.449	-1660.212	-1	0	0	10	-1
48	"Blackfathom"	1	1553	2	0	"Blackfathom Deeps"	719	""	""	196	1	1.401298E-45	4249.121	748.3871	-1	0	0	10	-1
70	"Uldaman"	1	1553	2	0	"Uldaman"	1337	""	""	144	1	0	-6060.182	-2954.997	-1	0	0	10	-1
90	"GnomeragonInstance"	1	1553	2	0	"Gnomeregan"	721	""	""	193	1	0	-5162.662	931.5988	-1	0	0	10	-1
109	"SunkenTemple"	1	1553	2	0	"Sunken Temple"	1477	""	""	191	1	0	-10291.7	-3987.63	-1	0	0	10	-1
129	"RazorfenDowns"	1	1553	1	0	"Razorfen Downs"	0	""	""	145	1	1.401298E-45	-4662.883	-2535.872	-1	0	0	10	-1
169	"EmeraldDream"	2	1553	1	0	"Emerald Dream"	0	""	""	0	1	NaN	0	0	-1	0	0	40	-1
189	"MonasteryInstances"	1	1553	1	0	"Scarlet Monastery - OLD"	0	""	""	190	1	0	2892.235	-811.2637	-1	0	0	10	-1
209	"TanarisInstance"	1	1553	1	0	"Zul\'Farrak"	0	""	""	146	1	1.401298E-45	-6790.577	-2891.278	-1	0	0	10	-1
229	"BlackRockSpire"	1	1537	2	0	"Blackrock Spire"	1583	""	""	189	1	0	-7522.527	-1233.042	-1	0	0	10	-1
230	"BlackrockDepths"	1	1553	2	0	"Blackrock Depths"	1584	""	""	103	1	0	-7178.095	-928.6395	-1	0	0	5	-1
249	"OnyxiaLairInstance"	2	34305	2	0	"Onyxia\'s Lair"	2159	""	""	61	1	1.401298E-45	-4753.313	-3752.421	-1	0	0	40	-1
269	"CavernsOfTime"	1	1553	1	0	"Opening of the Dark Portal"	0	""	""	212	1	1.401298E-45	-8750.827	-4193.513	-1	1	0	5	-1
289	"SchoolofNecromancy"	1	1553	1	0	"Scholomance OLD"	0	""	""	102	1	0	1274.781	-2552.564	-1	0	0	5	-1
309	"Zul\'gurub"	1	525841	1	0	"Ancient Zul\'Gurub"	1977	""	""	161	1	0	-11916.06	-1224.577	-1	0	0	20	-1
329	"Stratholme"	1	1553	1	0	"Stratholme"	0	""	""	101	1	0	3392.317	-3378.483	-1	0	0	5	-1
349	"Mauradon"	1	1553	2	0	"Maraudon"	2100	""	""	81	1	1.401298E-45	-1432.697	2924.978	-1	0	0	10	-1
369	"DeeprunTram"	0	1553	2	0	"Deeprun Tram"	2257	""	""	205	1	0	-8349.224	517.348	-1	0	0	0	-1
