m_id	m_mapId	m_difficulty	m_requirement	m_resetTime	m_maxPlayers	m_difficultyString
2	1	0		0	0	
3	13	0		0	0	
4	25	0		0	0	
6	30	0		0	0	
7	33	1	You must be at least level 11 to enter.	0	5	DUNGEON_DIFFICULTY1
8	34	1	You must be at least level 15 to enter.	0	5	
9	35	0		0	0	
10	36	1	You must be at least level 10 to enter.	0	5	DUNGEON_DIFFICULTY1
11	37	0		0	0	
12	42	0		0	0	
13	43	1	You must be at least level 10 to enter.	0	5	
14	44	1		0	10	
15	47	1	You must be at least level 25 to enter.	0	5	
16	48	1	You must be at least level 15 to enter.	0	5	
17	70	1	You must be at least level 30 to enter.	0	5	
18	90	1	You must be at least level 19 to enter.	0	5	
19	109	1	You must be at least level 45 to enter.	0	5	
20	129	1	You must be at least level 35 to enter.	0	5	
21	169	9		0	40	RAID_DIFFICULTY_40PLAYER
22	189	1	You must be at least level 20 to enter.	0	5	
23	209	1	You must be at least level 39 to enter.	0	5	
24	229	1	You must be at least level 48 to enter.	0	5	DUNGEON_DIFFICULTY1
25	230	1	You must be at least level 42 to enter.	0	5	
26	249	3	You must be level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
27	269	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
28	289	1	You must be at least level 33 to enter.	0	5	
29	309	1		0	0	
30	329	1	You must be at least level 37 to enter.	0	5	
31	349	1	You must be at least level 25 to enter.	0	5	
32	369	0		0	0	
33	389	1	You must be at least level 10 to enter.	0	5	
34	409	9		604800	40	RAID_DIFFICULTY_40PLAYER
35	429	1	You must be at least level 31 to enter.	0	5	
36	449	0		0	0	
37	450	0		0	0	
38	451	0		0	0	
39	469	9		604800	40	RAID_DIFFICULTY_40PLAYER
40	489	0		0	0	
41	509	3		259200	10	RAID_DIFFICULTY_10PLAYER
42	529	0		0	0	
43	530	0		0	0	
44	531	9		604800	40	RAID_DIFFICULTY_40PLAYER
45	532	3		604800	10	RAID_DIFFICULTY_10PLAYER
46	533	3	You must be level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
47	534	4		604800	25	RAID_DIFFICULTY_25PLAYER
48	540	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
49	542	1	You must be at least level 58 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
50	543	1	You must be at least level 57 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
51	544	4		604800	25	RAID_DIFFICULTY_25PLAYER
52	545	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
53	546	1	You must be at least level 60 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
54	547	1	You must be at least level 59 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
55	548	4		604800	25	RAID_DIFFICULTY_25PLAYER
56	550	4		604800	25	RAID_DIFFICULTY_25PLAYER
57	552	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
58	553	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
59	554	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
60	555	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
61	556	1	You must be at least level 63 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
62	557	1	You must be at least level 61 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
63	558	1	You must be at least level 62 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
64	559	0		0	0	
65	560	1	You must be at least level 63 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
66	562	0		0	0	
67	564	4		604800	25	RAID_DIFFICULTY_25PLAYER
68	565	4		604800	25	RAID_DIFFICULTY_25PLAYER
69	566	0		0	0	
70	568	1	Zul\'Aman is only available as a Heroic Difficulty level 85 Cataclysm dungeon.	0	5	DUNGEON_DIFFICULTY_5PLAYER
71	571	0		0	0	
72	572	0		0	0	
73	573	0		0	0	
74	574	1	You must be at least level 67 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
75	575	1		0	5	DUNGEON_DIFFICULTY_5PLAYER
76	576	1	You must be at least level 68 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
77	578	1	You must be at least level 75 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
78	580	4		604800	25	RAID_DIFFICULTY_25PLAYER
79	582	0		0	0	
80	584	0		0	0	
81	585	1	You must be at least level 65 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
82	586	0		0	0	
83	587	0		0	0	
84	588	0		0	0	
85	589	0		0	0	
86	590	0		0	0	
87	591	0		0	0	
88	592	0		0	0	
89	593	0		0	0	
90	594	0		0	0	
91	595	1	You must be at least level 75 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
92	596	0		0	0	
93	597	0		0	0	
94	598	1		0	5	
95	599	1	You must be at least level 74 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
96	600	1	You must be at least level 71 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
97	601	1	You must be at least level 69 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
98	602	1	You must be at least level 75 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
99	603	3	You must be level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
100	604	1	You must be at least level 73 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
101	605	0		0	0	
102	606	0		0	0	
103	607	0		0	0	
104	608	1	You must be at least level 72 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
105	609	0		0	0	
106	610	0		0	0	
107	612	0		0	0	
108	613	0		0	0	
109	614	0		0	0	
110	615	3	You must be level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
111	616	3	You must be at least level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
112	617	0		0	0	
113	618	0		0	0	
114	619	1	You must be at least level 70 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
115	620	0		0	0	
116	621	0		0	0	
117	622	0		0	0	
118	623	0		0	0	
119	624	3	You must be at least level 80, in control of Wintergrasp and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
120	628	0		0	0	
121	641	0		0	0	
122	642	0		0	0	
123	647	0		0	0	
124	649	3	You must be at least level 80 and in a raid group to enter.	604800	10	RAID_DIFFICULTY_10PLAYER
125	650	1	You must be at least level 75 to enter.	0	5	DUNGEON_DIFFICULTY_5PLAYER
127	269	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
128	533	4	You must be level 80 and in a raid group to enter.	604800	25	RAID_DIFFICULTY_25PLAYER
129	540	2	You must be at least level 65 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
130	542	2	You must be at least level 58 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
131	543	2	You must be at least level 57 to enter on Heroic Difficulty.	86400	5	DUNGEON_DIFFICULTY_5PLAYER_HEROIC
