field0	field1
12	vr_elevator_lift
61	Flying Machine Mount
81	Wintergrasp Catapult
101	Rocket Mount
102	SiegeVehicle
122	Wintergrasp Demolisher
141	FlyingMachineCreature_Vehicle
161	MotorCycle
181	ND_AllianceGunship
182	HordeGunShip
201	TeleportTestPackage
221	Flame Leviathan (Siege Tank)
241	MimironHeadMount
261	Orc_Fortress_Elevator01
281	vr_elevator_gate
301	UlduarRaid_GnomeWing_TransportWMO
321	Org_Arena_Gear
341	Org_Arena_Pulley
342	OrgrimmarArena_FireFX
361	UL_train_turnaround
381	UL_SigilDoor01
401	Vrykul Transport
421	hf_elevator_lift
442	Cyclone Loop
461	ND_AllianceGunship (Ice Crown)
462	HordeGunShip (IceCrown)
481	HordeGunShip (Small)
482	IceCrown_Elevator02
488	DeepRunTram
491	FlyingCarpetMount
492	Goblinhotrod
493	zzz Russell Test
494	Turtle Ship
495	Gilneas_Stagecoach
496	HordeCaravan_IDLE
497	HordeCaravan_DRIVE
498	Orgrimmar_Elevator_02
499	GoblinhotairBalloon
501	GoblinRiverBoat
502	zzz GoblinRiverBoat_TEMP
503	zzz Submarine Test
504	Rowboat
505	Submarine_Alliance
506	Uldum_Elevator_01
509	GoblinTrike_Drive
514	GnomeElevatorCar01_Package
515	GnomeHutElevator
533	Curtain of Frost
537	RidingNetherRay
596	Pandaren_Cart
628	Hozen_Jungle_Movement
629	Verming_Movement
630	zz_Sha_Tendril
631	Gorilla_Pet
