field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12
1	40430	59351	31262	61721	642	0	0	0	0	0	5	534044
61	62634	62479	62473	62471	0	62428	0	0	0	0	0	534044
81	65912	65984	65798	0	0	0	0	0	0	0	7	534044
101	65307	0	0	0	0	0	0	0	0	0	7	534044
121	66905	0	0	0	0	0	0	0	0	0	1	534044
122	66909	66910	66911	66912	66913	0	0	0	0	0	0	534044
141	0	0	0	0	0	0	0	0	0	0	0	0
181	68172	68173	0	68182	0	68177	0	0	0	0	5	534044
201	69354	0	0	0	0	0	0	0	0	69310	0	534040
221	69667	69668	69671	69669	0	0	0	0	0	0	0	534044
241	70946	0	0	0	0	0	0	0	0	0	0	534044
261	6603	72226	72477	11922	0	72165	0	0	0	0	2	534044
262	6603	72177	0	0	0	72165	0	0	0	0	2	534044
263	6603	0	0	0	0	72165	0	0	0	0	2	534044
264	6603	72188	72210	0	0	72165	0	0	0	0	2	534044
265	72375	0	0	0	0	0	0	0	0	0	4	534044
266	73491	73492	73499	0	0	0	0	0	0	0	0	534044
267	73982	73983	0	76643	0	0	0	0	0	0	0	534044
268	73982	73983	0	73995	0	0	0	0	0	0	4	534044
269	74922	74974	0	0	0	0	0	0	0	0	4	534046
270	74934	74935	74937	0	74947	0	0	0	0	0	0	534044
271	33912	31289	24331	0	0	0	0	0	0	0	0	534044
272	75557	75563	0	0	0	0	0	0	0	0	0	534044
273	69727	0	69724	69726	0	0	0	0	0	0	0	534044
274	69696	69697	69698	69699	0	0	0	0	0	0	0	534044
275	76869	76871	76899	76891	0	0	0	0	0	0	0	534044
276	79323	79319	0	0	0	0	0	0	0	0	0	534044
277	81342	0	0	0	0	0	0	0	0	0	0	0
278	82577	82578	82579	0	0	0	0	0	0	0	5	534044
279	82577	82578	82579	82585	0	0	0	0	0	0	5	534044
283	87997	0	88027	0	0	0	0	0	0	0	0	534044
284	91113	0	0	0	0	0	0	0	0	0	0	534044
292	96145	96146	0	0	0	0	0	0	0	0	0	534044
295	93604	93593	0	0	0	0	0	0	0	0	0	534045
296	98448	98460	98459	0	0	0	0	0	0	0	3	0
297	97844	98460	0	0	98448	0	0	0	0	0	3	0
298	98454	97861	98441	0	98448	0	0	0	0	0	3	0
299	98459	98438	0	0	98448	0	0	0	0	0	3	0
301	101369	101370	101371	101372	101374	101375	0	0	0	0	7	534046
302	101604	0	0	0	0	0	0	0	0	0	0	533447
303	101872	0	0	0	0	0	0	0	0	0	0	533447
305	101695	0	0	0	0	0	0	0	0	0	0	533447
306	102120	0	0	0	0	0	0	0	0	0	0	533447
307	102292	0	102297	0	0	0	0	0	0	0	0	533447
308	102576	0	0	0	0	0	0	0	0	0	0	533447
309	102647	102648	102649	0	0	102669	0	0	0	0	0	534044
310	103061	103062	103063	0	0	0	0	0	0	0	0	533447
311	0	0	0	103064	0	103065	0	0	0	0	0	533447
312	100138	0	0	0	0	0	0	0	0	0	8	0
313	106108	0	0	0	0	0	0	0	0	0	8	0
314	0	0	0	0	0	0	0	0	0	0	15	534038
315	106466	0	0	0	0	0	0	0	0	0	8	0
316	107200	0	0	0	0	0	0	0	0	0	8	534044
317	108229	0	0	0	0	0	0	0	0	0	15	534037
318	108800	0	0	0	0	0	0	0	0	0	8	534046
329	109935	0	0	0	0	0	0	0	0	0	8	0
336	108129	0	0	0	0	0	0	0	0	0	15	0
341	111666	0	0	0	0	0	0	0	0	0	8	534041
342	106108	0	0	0	0	0	0	0	0	0	8	0
347	114576	0	0	0	0	0	0	0	0	0	15	0
348	114667	0	0	0	0	0	0	0	0	0	15	0
349	114669	0	0	0	0	0	0	0	0	0	15	0
350	114671	0	0	0	0	0	0	0	0	0	15	0
351	114676	0	0	0	0	0	0	0	0	0	15	0
354	115075	0	0	0	0	0	0	0	0	0	15	0
355	115817	0	0	0	0	0	0	0	0	0	15	534043
356	115911	0	0	0	0	0	0	0	0	0	15	534043
357	116506	0	0	0	0	0	0	0	0	0	0	534037
358	116685	0	0	0	0	0	0	0	0	0	15	534037
359	116809	0	0	0	0	0	0	0	0	0	8	534041
360	116936	0	0	0	0	0	0	0	0	0	15	534043
361	115730	0	0	0	0	0	0	0	0	0	15	534043
362	118194	0	0	0	0	0	0	0	0	0	15	534043
363	116938	0	0	0	0	0	0	0	0	0	15	534043
364	116922	0	0	0	0	0	0	0	0	0	15	534043
365	118197	0	0	0	0	0	0	0	0	0	15	534043
366	118400	0	0	0	0	0	0	0	0	0	15	-1
367	118386	0	0	0	0	0	0	0	0	0	15	534043
368	118984	0	0	0	0	0	0	0	0	0	15	-1
369	119090	0	0	0	0	0	0	0	0	0	8	-1
370	119920	0	0	0	0	0	0	0	0	0	8	-1
371	120080	0	0	0	0	0	0	0	0	0	8	-1
372	120106	0	0	0	0	0	0	0	0	0	8	-1
373	120285	0	0	0	0	0	0	0	0	0	15	534039
374	120963	0	0	0	0	0	0	0	0	0	8	-1
375	120546	0	0	0	0	0	0	0	0	0	15	-1
376	120715	0	0	0	0	0	0	0	0	0	8	533447
377	121903	0	0	0	0	0	0	0	0	0	15	-1
378	122158	0	0	0	0	0	0	0	0	0	15	534045
379	122224	0	0	0	0	0	0	0	0	0	8	-1
380	122389	122395	123156	123060	0	0	0	0	0	0	2	-1
381	123155	0	0	0	0	0	0	0	0	0	15	534045
382	124828	0	0	0	0	0	0	0	0	0	8	534037
