field0	field1	field2
50	Gilneas Lev 6	0
51	Gilneas Lev 7	0
52	Gilneas Lev 8	4
53	Gilneas Lev 9	0
54	Gilneas Lev 10	4
101	Gilneas City Unphased Terrain Swap	4
102	Gilneas City Phase 1 Terrain Swap	4
103	Gilneas City Phase 2 Terrain Swap	4
104	Gilneas City Phase 3 Terrain Swap	4
105	Gilneas City Phase 4 Terrain Swap	4
106	Gilneas City Phase 5 Terrain Swap	0
122	Gilneas Phase 11 Terrain Swap	4
123		0
124		0
125	Test Phase	0
126		0
127		0
141	The Lost Isles Phase 5 Terrain Swap	4
142	The Lost Isles Phase 6 Terrain Swap	4
161	The Lost Isles Phase 7 Terrain Swap	4
162	The Lost Isles Phase 8 Terrain Swap	4
163	The Lost Isles Phase 9 Terrain Swap	4
164	The Lost Isles Phase 10 Terrain Swap	4
165	Hyjal A	4
166	Hyjal B	0
167	Hyjal C	0
168	Hyjal D	0
169	Normal	8
170	Quest Zone-Specific 01	0
171	Quest Zone-Specific 02	0
172	Quest Zone-Specific 03	0
173	Dungeon Encounter 1	0
174	Dungeon Encounter 2	0
175	Custom Event 1	0
176	Custom Event 2	0
177	Custom Event 3	0
178	Barber Shop	0
179	Quest Zone-Specific 04	0
180	Quest Zone-Specific 05	0
181	Quest Zone-Specific 06	0
182	Quest Zone-Specific 07	0
183	Quest Zone-Specific 08	0
184	Quest Zone-Specific 09	0
185	Quest Zone-Specific 10	0
186	Quest Zone-Specific 11	0
187	Quest Zone-Specific 12	0
188	Quest Zone-Specific 13	0
189	Quest Zone-Specific 14	0
190	Quest Zone-Specific 15	0
191	Quest Zone-Specific 16	0
192	Quest Zone-Specific 17	0
193	Quest Zone-Specific 18	0
194	Quest Zone-Specific 19	0
195	Quest Zone-Specific 20	0
196	Quest Zone-Specific 21	0
197	Quest Zone-Specific 22	0
198	Quest Zone-Specific 23	0
199	Quest Zone-Specific 24	0
200	Quest Zone-Specific 25	0
201	Stonetalon Bomb	4
209	test!!!	0
223	Stonetalon Bomb 2	0
224	Stonetalon 4.x - Cliffwalker Finale (Final)	4
225	PattyMack<test>	4
226	Westfall Act II	4
228	Cavern Submarine	4
229	Dragonmaw Story Chapter I	4
230	CC Pro - EA - TB	0
231	Vision of the Past	0
232	Rise of the Brotherhood	4
233	CC Pro - EA - IF	0
234	Zul\'Gurub Mind Vision	0
235	Zul\'Gurub Mind Control	0
236	Twilight Highlands Horde Zeppelin Event	4
237	Therazane Siege	4
238	Dragonmaw Story Chapter II	4
239	Attack on Booty Bay	4
240	Render\'s Valley Camera	0
241	Render\'s Valley Post Explosion	4
242	Bravo Company Siege Tank	4
243	Showdown	4
244	Showdown	4
245	Stitches Attacks	4
246	Triumphant Return	4
247	Dragonmaw Story Chapter III	4
251	Rescue the Stonefather... and Flint	4
252	The Stone March	4
253	Temple of Earth Finale, Stage 1	4
254	Temple of Earth Finale, Stage 2	4
255	Temple of Earth Finale, Stage 3	4
256	Temple of Earth Finale, Stage 4	4
257	Temple of Earth Finale Complete 	4
259	Andorhal 01 - Horde/Alliance vs. Scourge	4
260	Andorhal 02 - Horde/Alliance Prep	4
261	Andorhal 03 - Horde vs. Alliance	4
262	Felstone Field - Alliance-Held	4
263	Felstone Field - Val\'kyr Practice	4
264	Forsaken High Command Introduction	4
265	Lord Darius Crowley & Packleader Bloodfang	0
266	Sophia\'s Choice	4
267	For Lordaeron!	4
268	Andorhal 04H - Val\'kyr Attack (H)	4
269	Andorhal 05 - Andorhal Event	0
270	Crypt Ambush	4
271	Writhing Haunt Training	4
272	Andorhal 04A - Val\'kyr Attack (A)	4
273	The Waters Run Red...	0
274	Gilneas Act I	4
275	Gilneas Act II	4
276	Gilneas Act III	4
277	The Forsaken Front	4
278	The Forsaken Front	4
279	Amber Mill	4
280	Amber Mill	4
281	Amber Mill	4
282	[UNUSED] Redridge 4.x - Bridge	4
283	The Twilight Gate - Pre-Invasion	4
284	The Forsaken Front	4
285	The Twilight Gate - Invasion	4
287	Battle for Tyr\'s Hand 1	4
288	Battle for Tyr\'s Hand 2	4
289	The Forsaken Front	4
290	Twilight Zone	0
293	The Day that Deathwing Came 1	4
294	Quel\'Danil Battle	4
295	The Day that Deathwing Came 2	0
297	Uldum - Phased Oasis	4
298	Entrance to Uldum	4
299	Dunwald Market Row Ambush	4
300	Dunwald Town Square Fight	4
301	Nyxondra Vision	4
302	The Bloodmire - Phase II	4
303	Uldum - Caravan Event	0
304	The Bloodmire - Phase III - Stonard	4
305	Skullcrusher the Mountain Fight - Alliance	4
306	Skullcrusher the Mountain Fight - Horde	4
307	Rheastrasza\'s Gift	0
308	Tailgunner!	0
309	"\Put It On\"" Quest Phase"""	4
310	The Day that Deathwing Came 3	0
311	Firebeard\'s Attack	4
312	Gobbles Completion Event	0
313	Schnottz\'s Landing - Chapter 1	4
314	Class Phase 1	0
315	Schnottz\'s Landing - Chapter 2	4
316	Jadefire Nether Pocket	4
317	Welcome to the Machine	0
318	Twilight Caravan Ambush, Horde	4
319	Grim Batol Attack, Horde	4
320	Twilight Caravan Ambush, Alliance	4
321	Grim Batol Attack, Alliance	4
322	Thundermar Attack - Horde	4
323	Twilight Highlands - Gullet - Torth Attack	4
324	Schnottz\'s Landing - Chapter 3	4
325	Schnottz\'s Landing - Chapter 4	4
326	The Sludge Fields	0
327	Isorath Nightmare	4
328	Isorath Awakened	4
