field0	field1
9414	
12161	
12163	
12212	
12380	
12515	
13099	
13112	
13180	
13873	Must complete quest \'Bounty on Murlocs\'
14827	Must complete quest \'Bounty on Murlocs\'
14828	Must complete quest \'Bounty on Murlocs\'
14829	Must complete quest \'Bounty on Murlocs\'
14830	Must complete quest \'Bounty on Murlocs\'
14831	Must complete quest \'Bounty on Murlocs\'
14832	Must complete quest \'Bounty on Murlocs\'
14833	Must complete quest \'Bounty on Murlocs\'
14834	Must complete quest \'Bounty on Murlocs\'
14835	Must complete quest \'Bounty on Murlocs\'
14836	Must complete quest \'Bounty on Murlocs\'
14837	Must complete quest \'Bounty on Murlocs\'
14838	Must complete quest \'Bounty on Murlocs\'
14839	Must complete quest \'Bounty on Murlocs\'
14840	Must complete quest \'Bounty on Murlocs\'
14841	Must complete quest \'Bounty on Murlocs\'
14842	Must complete quest \'Bounty on Murlocs\'
14843	Must complete quest \'Bounty on Murlocs\'
14844	Must complete quest \'Bounty on Murlocs\'
14845	Must complete quest \'Bounty on Murlocs\'
14846	Must complete quest \'Bounty on Murlocs\'
14847	Must complete quest \'Bounty on Murlocs\'
14848	Must complete quest \'Bounty on Murlocs\'
14849	Must complete quest \'Bounty on Murlocs\'
14850	Must complete quest \'Bounty on Murlocs\'
14851	Must complete quest \'Bounty on Murlocs\'
14852	Must complete quest \'Bounty on Murlocs\'
14853	Must complete quest \'Bounty on Murlocs\'
14854	Must complete quest \'Bounty on Murlocs\'
14855	Must complete quest \'Bounty on Murlocs\'
14856	Must complete quest \'Bounty on Murlocs\'
14857	Must complete quest \'Bounty on Murlocs\'
14858	Must complete quest \'Bounty on Murlocs\'
14859	Must complete quest \'Bounty on Murlocs\'
14860	Must complete quest \'Bounty on Murlocs\'
14861	Must complete quest \'Bounty on Murlocs\'
14862	Must complete quest \'Bounty on Murlocs\'
14863	Must complete quest \'Bounty on Murlocs\'
14864	Must complete quest \'Bounty on Murlocs\'
14865	Must complete quest \'Bounty on Murlocs\'
14866	Must complete quest \'Bounty on Murlocs\'
14867	Must complete quest \'Bounty on Murlocs\'
14868	Must complete quest \'Bounty on Murlocs\'
14869	Must complete quest \'Bounty on Murlocs\'
14870	Must complete quest \'Bounty on Murlocs\'
14871	Must complete quest \'Bounty on Murlocs\'
14872	Must complete quest \'Bounty on Murlocs\'
14873	Must complete quest \'Bounty on Murlocs\'
14874	Must complete quest \'Bounty on Murlocs\'
14875	Must complete quest \'Bounty on Murlocs\'
14876	Must complete quest \'Bounty on Murlocs\'
14877	Must complete quest \'Bounty on Murlocs\'
14878	Must complete quest \'Bounty on Murlocs\'
14879	Must complete quest \'Bounty on Murlocs\'
14880	Must complete quest \'Bounty on Murlocs\'
14881	Must complete quest \'Bounty on Murlocs\'
14882	Must complete quest \'Bounty on Murlocs\'
14883	Must complete quest \'Bounty on Murlocs\'
14884	Must complete quest \'Bounty on Murlocs\'
14885	Must complete quest \'Bounty on Murlocs\'
14886	Must complete quest \'Bounty on Murlocs\'
14887	Must complete quest \'Bounty on Murlocs\'
14888	Must complete quest \'Bounty on Murlocs\'
14889	Must complete quest \'Bounty on Murlocs\'
14890	Must complete quest \'Bounty on Murlocs\'
14891	Must complete quest \'Bounty on Murlocs\'
14892	Must complete quest \'Bounty on Murlocs\'
14893	Must complete quest \'Bounty on Murlocs\'
14894	Must complete quest \'Bounty on Murlocs\'
14895	Must complete quest \'Bounty on Murlocs\'
14896	Must complete quest \'Bounty on Murlocs\'
14897	Must complete quest \'Bounty on Murlocs\'
14898	Must complete quest \'Bounty on Murlocs\'
14899	Must complete quest \'Bounty on Murlocs\'
14900	Must complete quest \'Bounty on Murlocs\'
14901	Must complete quest \'Bounty on Murlocs\'
14902	Must complete quest \'Bounty on Murlocs\'
14903	Must complete quest \'Bounty on Murlocs\'
14904	Must complete quest \'Bounty on Murlocs\'
14905	Must complete quest \'Bounty on Murlocs\'
14906	Must complete quest \'Bounty on Murlocs\'
14907	Must complete quest \'Bounty on Murlocs\'
14908	Must complete quest \'Bounty on Murlocs\'
14909	Must complete quest \'Bounty on Murlocs\'
14910	Must complete quest \'Bounty on Murlocs\'
14911	Must complete quest \'Bounty on Murlocs\'
14912	Must complete quest \'Bounty on Murlocs\'
14913	Must complete quest \'Bounty on Murlocs\'
14914	Must complete quest \'Bounty on Murlocs\'
14915	Must complete quest \'Bounty on Murlocs\'
14916	Must complete quest \'Bounty on Murlocs\'
14917	Must complete quest \'Bounty on Murlocs\'
14918	Must complete quest \'Bounty on Murlocs\'
14919	Must complete quest \'Bounty on Murlocs\'
14920	Must complete quest \'Bounty on Murlocs\'
14921	Must complete quest \'Bounty on Murlocs\'
14922	Must complete quest \'Bounty on Murlocs\'
14923	Must complete quest \'Bounty on Murlocs\'
14924	Must complete quest \'Bounty on Murlocs\'
14925	Must complete quest \'Bounty on Murlocs\'
14926	Must complete quest \'Bounty on Murlocs\'
14927	Must complete quest \'Bounty on Murlocs\'
14928	Must complete quest \'Bounty on Murlocs\'
14929	Must complete quest \'Bounty on Murlocs\'
14930	Must complete quest \'Bounty on Murlocs\'
14931	Must complete quest \'Bounty on Murlocs\'
14932	Must complete quest \'Bounty on Murlocs\'
14933	Must complete quest \'Bounty on Murlocs\'
14934	Must complete quest \'Bounty on Murlocs\'
14935	Must complete quest \'Bounty on Murlocs\'
14936	Must complete quest \'Bounty on Murlocs\'
14937	Must complete quest \'Bounty on Murlocs\'
14938	Must complete quest \'Bounty on Murlocs\'
14939	Must complete quest \'Bounty on Murlocs\'
14940	Must complete quest \'Bounty on Murlocs\'
14941	Must complete quest \'Bounty on Murlocs\'
14942	Must complete quest \'Bounty on Murlocs\'
14943	Must complete quest \'Bounty on Murlocs\'
14944	Must complete quest \'Bounty on Murlocs\'
14945	Must complete quest \'Bounty on Murlocs\'
14946	Must complete quest \'Bounty on Murlocs\'
14947	Must complete quest \'Bounty on Murlocs\'
14948	Must complete quest \'Bounty on Murlocs\'
14949	Must complete quest \'Bounty on Murlocs\'
14950	Must complete quest \'Bounty on Murlocs\'
14951	Must complete quest \'Bounty on Murlocs\'
14952	Must complete quest \'Bounty on Murlocs\'
14953	Must complete quest \'Bounty on Murlocs\'
14954	Must complete quest \'Bounty on Murlocs\'
14955	Must complete quest \'Bounty on Murlocs\'
14956	Must complete quest \'Bounty on Murlocs\'
14957	Must complete quest \'Bounty on Murlocs\'
14958	Must complete quest \'Bounty on Murlocs\'
14959	Must complete quest \'Bounty on Murlocs\'
14960	Must complete quest \'Bounty on Murlocs\'
14961	Must complete quest \'Bounty on Murlocs\'
14962	Must complete quest \'Bounty on Murlocs\'
14963	Must complete quest \'Bounty on Murlocs\'
14964	Must complete quest \'Bounty on Murlocs\'
14965	Must complete quest \'Bounty on Murlocs\'
14966	Must complete quest \'Bounty on Murlocs\'
14967	Must complete quest \'Bounty on Murlocs\'
14968	Must complete quest \'Bounty on Murlocs\'
14969	Must complete quest \'Bounty on Murlocs\'
14970	Must complete quest \'Bounty on Murlocs\'
14971	Must complete quest \'Bounty on Murlocs\'
14972	Must complete quest \'Bounty on Murlocs\'
14973	Must complete quest \'Bounty on Murlocs\'
14974	Must complete quest \'Bounty on Murlocs\'
14975	Must complete quest \'Bounty on Murlocs\'
14976	Must complete quest \'Bounty on Murlocs\'
14977	Must complete quest \'Bounty on Murlocs\'
14978	Must complete quest \'Bounty on Murlocs\'
14979	Must complete quest \'Bounty on Murlocs\'
14980	Must complete quest \'Bounty on Murlocs\'
14981	Must complete quest \'Bounty on Murlocs\'
14982	Must complete quest \'Bounty on Murlocs\'
14983	Must complete quest \'Bounty on Murlocs\'
14984	Must complete quest \'Bounty on Murlocs\'
14985	Must complete quest \'Bounty on Murlocs\'
14986	Must complete quest \'Bounty on Murlocs\'
14987	Must complete quest \'Bounty on Murlocs\'
14988	Must complete quest \'Bounty on Murlocs\'
14989	Must complete quest \'Bounty on Murlocs\'
14990	Must complete quest \'Bounty on Murlocs\'
14991	Must complete quest \'Bounty on Murlocs\'
14992	Must complete quest \'Bounty on Murlocs\'
14993	Must complete quest \'Bounty on Murlocs\'
14994	Must complete quest \'Bounty on Murlocs\'
14995	Must complete quest \'Bounty on Murlocs\'
14996	Must complete quest \'Bounty on Murlocs\'
14997	Must complete quest \'Bounty on Murlocs\'
14998	Must complete quest \'Bounty on Murlocs\'
14999	Must complete quest \'Bounty on Murlocs\'
15000	Must complete quest \'Bounty on Murlocs\'
15001	Must complete quest \'Bounty on Murlocs\'
15002	Must complete quest \'Bounty on Murlocs\'
15003	Must complete quest \'Bounty on Murlocs\'
15004	Must complete quest \'Bounty on Murlocs\'
15005	Must complete quest \'Bounty on Murlocs\'
15006	Must complete quest \'Bounty on Murlocs\'
15007	Must complete quest \'Bounty on Murlocs\'
15008	Must complete quest \'Bounty on Murlocs\'
15009	Must complete quest \'Bounty on Murlocs\'
15010	Must complete quest \'Bounty on Murlocs\'
15011	Must complete quest \'Bounty on Murlocs\'
15012	Must complete quest \'Bounty on Murlocs\'
15013	Must complete quest \'Bounty on Murlocs\'
15014	Must complete quest \'Bounty on Murlocs\'
15015	Must complete quest \'Bounty on Murlocs\'
15016	Must complete quest \'Bounty on Murlocs\'
15017	Must complete quest \'Bounty on Murlocs\'
15018	Must complete quest \'Bounty on Murlocs\'
15019	Must complete quest \'Bounty on Murlocs\'
15020	Must complete quest \'Bounty on Murlocs\'
15021	Must complete quest \'Bounty on Murlocs\'
15022	Must complete quest \'Bounty on Murlocs\'
15023	Must complete quest \'Bounty on Murlocs\'
15024	Must complete quest \'Bounty on Murlocs\'
15025	Must complete quest \'Bounty on Murlocs\'
15026	Must complete quest \'Bounty on Murlocs\'
15027	Must complete quest \'Bounty on Murlocs\'
15028	Must complete quest \'Bounty on Murlocs\'
15029	Must complete quest \'Bounty on Murlocs\'
15030	Must complete quest \'Bounty on Murlocs\'
15031	Must complete quest \'Bounty on Murlocs\'
15032	Must complete quest \'Bounty on Murlocs\'
15033	Must complete quest \'Bounty on Murlocs\'
15034	Must complete quest \'Bounty on Murlocs\'
15035	Must complete quest \'Bounty on Murlocs\'
15036	Must complete quest \'Bounty on Murlocs\'
15037	Must complete quest \'Bounty on Murlocs\'
15038	Must complete quest \'Bounty on Murlocs\'
15039	Must complete quest \'Bounty on Murlocs\'
15040	Must complete quest \'Bounty on Murlocs\'
15041	Must complete quest \'Bounty on Murlocs\'
15042	Must complete quest \'Bounty on Murlocs\'
15043	Must complete quest \'Bounty on Murlocs\'
15044	Must complete quest \'Bounty on Murlocs\'
15045	Must complete quest \'Bounty on Murlocs\'
15046	Must complete quest \'Bounty on Murlocs\'
15047	Must complete quest \'Bounty on Murlocs\'
15048	Must complete quest \'Bounty on Murlocs\'
15049	Must complete quest \'Bounty on Murlocs\'
15050	Must complete quest \'Bounty on Murlocs\'
15051	Must complete quest \'Bounty on Murlocs\'
15052	Must complete quest \'Bounty on Murlocs\'
15053	Must complete quest \'Bounty on Murlocs\'
15054	Must complete quest \'Bounty on Murlocs\'
15055	Must complete quest \'Bounty on Murlocs\'
15056	Must complete quest \'Bounty on Murlocs\'
15057	Must complete quest \'Bounty on Murlocs\'
15058	Must complete quest \'Bounty on Murlocs\'
15059	Must complete quest \'Bounty on Murlocs\'
15060	Must complete quest \'Bounty on Murlocs\'
15061	Must complete quest \'Bounty on Murlocs\'
15062	Must complete quest \'Bounty on Murlocs\'
15063	Must complete quest \'Bounty on Murlocs\'
15064	Must complete quest \'Bounty on Murlocs\'
15065	Must complete quest \'Bounty on Murlocs\'
15066	Must complete quest \'Bounty on Murlocs\'
15067	Must complete quest \'Bounty on Murlocs\'
15068	Must complete quest \'Bounty on Murlocs\'
15069	Must complete quest \'Bounty on Murlocs\'
15070	Must complete quest \'Bounty on Murlocs\'
15071	Must complete quest \'Bounty on Murlocs\'
15072	Must complete quest \'Bounty on Murlocs\'
15073	Must complete quest \'Bounty on Murlocs\'
15074	Must complete quest \'Bounty on Murlocs\'
15075	Must complete quest \'Bounty on Murlocs\'
15076	Must complete quest \'Bounty on Murlocs\'
15077	Must complete quest \'Bounty on Murlocs\'
15078	Must complete quest \'Bounty on Murlocs\'
15079	Must complete quest \'Bounty on Murlocs\'
15080	Must complete quest \'Bounty on Murlocs\'
15081	Must complete quest \'Bounty on Murlocs\'
15082	Must complete quest \'Bounty on Murlocs\'
15083	Must complete quest \'Bounty on Murlocs\'
15084	Must complete quest \'Bounty on Murlocs\'
15085	Must complete quest \'Bounty on Murlocs\'
15086	Must complete quest \'Bounty on Murlocs\'
15087	Must complete quest \'Bounty on Murlocs\'
15088	Must complete quest \'Bounty on Murlocs\'
15089	Must complete quest \'Bounty on Murlocs\'
15090	Must complete quest \'Bounty on Murlocs\'
15091	Must complete quest \'Bounty on Murlocs\'
15092	Must complete quest \'Bounty on Murlocs\'
15093	Must complete quest \'Bounty on Murlocs\'
15094	Must complete quest \'Bounty on Murlocs\'
15095	Must complete quest \'Bounty on Murlocs\'
15096	Must complete quest \'Bounty on Murlocs\'
15097	Must complete quest \'Bounty on Murlocs\'
15098	Must complete quest \'Bounty on Murlocs\'
