field0	field1	field2	field3	field4	field5
1	30	1	50	54	0
2	30	2	55	59	0
3	30	3	60	64	0
4	30	4	65	69	0
5	489	0	10	14	0
6	489	1	15	19	0
7	489	2	20	24	0
8	489	3	25	29	0
9	489	4	30	34	0
10	489	5	35	39	0
11	489	6	40	44	0
12	489	7	45	49	0
13	529	0	10	14	0
14	529	1	15	19	0
15	529	2	20	24	0
16	529	3	25	29	0
17	529	4	30	34	0
18	529	5	35	39	0
19	529	6	40	44	0
20	559	0	10	14	0
21	559	1	15	19	0
22	559	2	20	24	0
23	559	3	25	29	0
24	559	4	30	34	0
25	559	5	35	39	0
26	559	6	40	44	0
27	559	7	45	49	0
28	559	8	50	54	0
29	559	9	55	59	0
30	559	10	60	64	0
31	559	11	65	69	0
32	559	12	70	74	0
33	559	13	75	79	0
34	559	14	80	84	0
35	559	15	85	89	0
36	562	0	10	14	0
37	562	1	15	19	0
38	562	2	20	24	0
39	562	3	25	29	0
40	562	4	30	34	0
41	562	5	35	39	0
42	562	6	40	44	0
43	562	7	45	49	0
44	562	8	50	54	0
45	562	9	55	59	0
46	562	10	60	64	0
47	562	11	65	69	0
48	562	12	70	74	0
49	562	13	75	79	0
50	562	14	80	84	0
51	562	15	85	89	0
52	566	0	35	39	0
53	566	1	40	44	0
54	566	2	45	49	0
55	572	0	10	14	0
56	572	1	15	19	0
57	572	2	20	24	0
58	572	3	25	29	0
59	572	4	30	34	0
60	572	5	35	39	0
61	572	6	40	44	0
62	572	7	45	49	0
63	572	8	50	54	0
64	572	9	55	59	0
65	572	10	60	64	0
66	572	11	65	69	0
67	572	12	70	74	0
68	572	13	75	79	0
69	572	14	80	84	0
70	572	15	85	89	0
71	607	0	65	69	0
72	607	1	70	74	0
73	607	2	75	79	0
74	617	0	10	14	0
75	617	1	15	19	0
76	617	2	20	24	0
77	617	3	25	29	0
78	617	4	30	34	0
79	617	5	35	39	0
80	617	6	40	44	0
81	617	7	45	49	0
82	617	8	50	54	0
83	617	9	55	59	0
84	617	10	60	64	0
85	617	11	65	69	0
86	617	12	70	74	0
87	617	13	75	79	0
88	617	14	80	84	0
89	617	15	85	89	0
90	618	0	10	14	0
91	618	1	15	19	0
92	618	2	20	24	0
93	618	3	25	29	0
94	618	4	30	34	0
95	618	5	35	39	0
96	618	6	40	44	0
97	618	7	45	49	0
98	618	8	50	54	0
99	618	9	55	59	0
100	618	10	60	64	0
101	618	11	65	69	0
102	618	12	70	74	0
103	618	13	75	79	0
104	618	14	80	84	0
105	618	15	85	89	0
106	628	0	75	79	0
107	628	1	80	84	0
108	628	2	85	89	0
128	726	0	85	89	0
144	761	0	85	89	0
148	489	8	50	54	0
149	489	9	55	59	0
150	489	10	60	64	0
151	489	11	65	69	0
152	489	12	70	74	0
153	489	13	75	79	0
154	489	14	80	84	0
155	489	15	85	89	0
156	566	3	50	54	0
157	566	4	55	59	0
158	566	5	60	64	0
159	566	6	65	69	0
160	566	7	70	74	0
161	566	8	75	79	0
162	566	9	80	84	0
163	566	10	85	89	0
164	529	7	45	49	0
165	529	8	50	54	0
166	529	9	55	59	0
167	529	10	60	64	0
168	529	11	65	69	0
169	529	12	70	74	0
170	529	13	75	79	0
171	529	14	80	84	0
172	529	15	85	89	0
173	30	0	45	49	0
177	607	3	80	84	0
178	607	4	85	89	0
179	30	5	70	74	0
180	30	6	75	79	0
181	30	7	80	84	0
182	30	8	85	89	0
594	968	0	35	39	0
595	968	1	40	44	0
596	968	2	45	49	0
597	968	3	50	54	0
598	968	4	55	59	0
599	968	5	60	64	0
600	968	6	65	69	0
601	968	7	70	74	0
602	968	8	75	79	0
603	968	9	80	84	0
604	968	10	85	89	0
631	998	0	90	90	0
637	1010	0	150	150	0
650	727	0	90	90	0
664	489	16	90	90	0
665	726	1	90	90	0
666	566	11	90	90	0
667	761	1	90	90	0
668	529	16	90	90	0
669	968	11	90	90	0
670	30	9	90	90	0
671	607	5	90	90	0
672	628	3	90	90	0
673	980	0	90	90	1
688	559	16	90	90	0
689	562	16	90	90	0
690	617	16	90	90	0
691	618	16	90	90	0
702	572	16	90	90	0
