field0	field1	field2	field3
54097	12	0	35
54124	12	0	40
54126	12	0	40
54127	12	0	40
54129	12	0	16
54132	12	0	16
54133	12	0	40
54134	12	0	24
54135	12	0	24
54136	12	0	26
54137	12	0	26
54138	12	0	26
54139	12	0	26
54140	12	0	26
54141	12	0	26
54828	0	0	16
54830	0	0	16
54832	12	0	17
54834	12	0	17
54838	12	0	17
54862	12	0	38
54864	12	0	38
55348	0	0	16
55350	12	0	34
55352	12	0	34
55354	12	1	42
55356	12	1	43
55398	12	1	43
55400	12	1	43
55402	12	1	43
55404	12	1	81
55406	12	1	81
55408	12	1	81
55410	12	1	607
55412	12	1	181
55414	12	1	181
55416	12	0	36
55418	12	1	101
55420	12	1	101
55422	12	1	101
55424	12	1	101
55426	12	1	101
55428	12	1	101
55434	12	0	19
55436	12	0	19
55438	12	0	28
55440	12	0	28
55442	12	0	29
55444	12	0	29
55446	12	0	29
55448	12	0	23
55450	12	0	23
55452	12	0	23
55454	12	0	37
55456	12	0	37
55458	12	0	37
55460	12	0	37
55462	12	0	37
55464	12	0	37
55466	12	0	37
55468	12	0	37
55470	12	0	673
55472	12	0	673
55474	12	0	673
55476	12	0	673
55478	12	0	22
55480	12	0	22
55482	12	0	22
55755	12	1	141
55757	12	1	141
56327	12	1	121
56329	12	1	121
56331	12	1	121
56333	12	1	121
56335	12	1	121
56337	12	1	121
56339	12	1	121
56341	12	1	121
56343	12	1	182
56345	12	1	182
56347	12	1	182
56349	12	1	182
56351	12	1	281
56354	12	1	281
56356	12	1	281
56358	12	1	607
56360	0	1	281
56362	12	1	607
56364	12	1	161
56367	12	1	161
56369	12	1	161
56371	12	1	161
56373	12	1	161
56375	12	1	161
56380	12	1	201
56382	12	1	201
56384	12	1	201
56386	12	1	201
56388	12	1	201
56390	12	1	261
56392	12	530	465
56394	12	530	465
56396	12	530	465
56398	12	530	465
56400	12	530	465
56402	12	530	467
56404	12	530	467
56406	12	530	479
56408	12	530	479
56410	12	530	479
56412	12	530	477
56414	0	530	477
56416	12	530	477
56418	12	530	477
56420	12	530	477
56422	12	530	477
56424	12	530	478
56426	12	530	478
56428	12	530	478
56430	12	530	478
56432	12	530	478
56434	12	530	478
56437	12	530	478
56439	12	530	473
56441	12	530	473
56446	12	530	473
56448	12	530	473
56450	12	530	473
56453	0	530	473
56455	12	530	473
56504	12	571	491
56506	12	571	491
56508	12	571	491
56510	12	571	491
56512	12	571	491
56514	12	571	491
56516	12	571	491
56518	12	571	488
56520	12	571	488
56522	12	571	486
56524	12	571	496
56526	12	571	486
56528	12	571	510
56530	12	571	510
56533	12	571	496
56535	12	571	496
56537	12	571	496
56539	12	571	496
56541	12	571	486
56543	12	571	490
56547	12	571	490
56549	12	571	495
56551	12	571	495
56553	12	571	495
56555	12	571	492
56557	0	571	492
56560	12	571	492
56562	12	571	492
56564	12	571	492
56566	12	1	606
56568	12	1	606
56570	12	1	606
56572	12	1	606
56574	12	1	606
56576	12	0	615
56578	12	0	615
56580	12	0	615
56583	12	0	700
56585	12	0	700
56587	12	0	700
56591	12	1	720
56593	12	1	720
56595	12	1	720
56597	12	1	720
56599	12	1	720
56601	12	1	720
56603	12	1	720
56605	12	1	720
56607	12	1	720
60350	12	1	720
60352	12	1	720
60354	12	1	720
60356	12	1	720
60358	12	1	720
60361	12	1	720
60363	12	1	720
60367	12	571	492
60369	12	571	486
60442	12	0	23
60444	12	0	23
66767	12	870	806
66784	12	870	806
66789	12	870	806
66795	12	870	806
66817	12	870	806
66854	12	870	806
66890	12	870	806
66892	0	870	806
66911	0	870	809
66913	0	870	806
66917	12	870	807
66919	12	870	807
66923	12	870	807
66925	12	870	807
66929	12	870	873
66933	12	870	807
66935	12	870	807
66939	12	870	807
66941	12	870	807
66943	12	870	857
66945	12	870	857
66949	12	870	857
66951	12	870	857
66953	12	870	857
66955	12	870	857
66957	12	870	857
66961	12	870	857
66965	12	870	809
66967	12	870	809
66969	12	870	809
66971	12	870	809
66973	12	870	809
66979	12	870	809
66983	12	870	809
66985	12	870	809
66987	12	870	809
66989	12	870	809
66991	12	870	809
67005	12	870	809
67021	12	870	806
67023	12	870	806
67025	12	870	806
67027	12	870	806
67031	12	870	806
67033	12	870	806
67035	12	870	806
67037	12	870	806
67039	12	870	806
81647	1	1024	880
81648	1	1024	880
81649	1	1024	880
81650	1	1024	880
81651	1	1024	880
81652	1	1024	880
81653	1	1024	880
81654	12	1024	880
81655	12	1024	880
81656	12	1024	880
81657	1	1024	880
81658	1	1024	880
81659	1	1024	880
81660	1	1024	880
