field0	field1	field2	field3
72756	2148	-5252	22280
72757	2172	-1169	22281
72759	-10499	-1158	22283
72760	-9056	-461	22284
72761	-8934	-137	22285
72762	-8797	-259	22286
72763	-8766	-253	22286
72764	-8754	-193	22286
72765	-8751	-160	22286
72766	-8750	-115	22286
72767	-8766	-93	22286
72768	-8795	-117	22286
72769	-8811	-217	22286
72770	-8809	-234	22286
72771	-8806	-244	22286
72772	-8903	-163	22287
72773	2270	245	22288
72774	-9934	1166	22289
72775	-9867	1233	22289
72776	-9899	1267	22289
72777	-9932	1266	22289
72778	-9981	1219	22289
72779	-10184	1083	22290
72780	-10118	1116	22290
72781	-10120	1150	22290
72782	-10152	1181	22290
72783	-10184	1150	22290
72784	-10217	1117	22290
72785	-10617	1582	22291
72786	-10517	1682	22291
72787	-10550	1716	22291
72788	-10585	1750	22291
72789	-10651	1684	22291
72790	-10683	1651	22291
72791	-10217	1383	22292
72792	-10184	1417	22292
72793	-10183	1449	22292
72794	-10234	1511	22292
72795	-10285	1451	22292
72796	-10251	1417	22292
72797	-10129	1055	22293
72798	-9149	-4080	22294
72799	-7139	-3683	22295
72800	-9983	549	22296
72801	-9820	554	22296
72802	-9784	583	22296
72803	-9817	615	22296
72804	-10117	716	22296
72805	-10143	621	22296
72806	-10119	584	22296
72807	-10082	550	22296
72808	-8848	-988	22297
72809	-8819	-851	22297
72810	-8854	-751	22297
72811	-8917	-752	22297
72812	-9115	-827	22297
72813	-9663	694	22298
72814	-10179	1878	22299
72815	-10161	1922	22299
72816	-10171	1936	22299
72817	-10206	1906	22299
72818	-10206	1891	22299
72819	-9861	1274	22300
72820	-9816	1295	22300
72821	-9821	1421	22300
72822	-9851	1455	22300
72823	-9945	1474	22300
72824	-9988	1479	22300
72825	-10029	1483	22300
72826	-10042	1387	22300
72827	-9882	1286	22300
72828	-10345	1551	22301
72829	-10323	1587	22301
72830	-10352	1589	22301
72831	-10377	1578	22301
72832	-10278	1345	22302
72833	-10253	1355	22302
72834	-10261	1392	22302
72835	-10291	1407	22302
72836	-10323	1420	22302
72837	-10326	1389	22302
72838	-10313	1353	22302
72839	-10491	1215	22303
72840	-10456	1315	22303
72841	-10470	1345	22303
72842	-10486	1379	22303
72843	-10511	1351	22303
72844	-10516	1315	22303
72845	-10503	1245	22303
72846	-10278	1345	22304
72847	-10253	1355	22304
72848	-10261	1392	22304
72849	-10291	1407	22304
72850	-10323	1420	22304
72851	-10326	1389	22304
72852	-10313	1353	22304
72853	-9861	1274	22305
72854	-9816	1295	22305
72855	-9821	1421	22305
72856	-9851	1455	22305
72857	-9945	1474	22305
72858	-9988	1479	22305
72859	-10029	1483	22305
72860	-10042	1387	22305
72861	-9882	1286	22305
72862	-10345	1551	22306
72863	-10323	1587	22306
72864	-10352	1589	22306
72865	-10377	1578	22306
72866	-10491	1215	22307
72867	-10456	1315	22307
72868	-10470	1345	22307
72869	-10486	1379	22307
72870	-10511	1351	22307
72871	-10516	1315	22307
72872	-10503	1245	22307
72873	-10509	1045	22308
72874	-10727	1659	22309
72875	-10660	1731	22309
72876	-10639	1755	22309
72877	-10640	1761	22309
72878	-10655	1792	22309
72879	-10752	1712	22309
72880	-10756	1664	22309
72881	-10959	1406	22310
72882	-10933	1458	22310
72883	-10961	1495	22310
72884	-11030	1564	22310
72885	-11046	1538	22310
72886	-11065	1409	22310
72887	-10730	1832	22311
72888	-10716	1854	22311
72889	-10749	1895	22311
72890	-10767	1854	22311
72891	-10429	1898	22312
72892	-10405	1907	22312
72893	-10403	1938	22312
72894	-10556	2007	22312
72895	-10592	1995	22312
72896	-10563	1974	22312
72897	-10753	1658	22313
72898	-10747	1658	22313
72899	-10726	1663	22313
72900	-10672	1715	22313
72901	-10655	1733	22313
72902	-10639	1755	22313
72903	-10640	1761	22313
72904	-10655	1792	22313
72905	-10752	1712	22313
72906	-10959	1406	22314
72907	-10933	1458	22314
72908	-10950	1486	22314
72909	-11030	1564	22314
72910	-11046	1538	22314
72911	-11065	1409	22314
72912	-10730	1832	22315
72913	-10716	1854	22315
72914	-10749	1895	22315
72915	-10767	1854	22315
72916	-10429	1898	22316
72917	-10405	1907	22316
72918	-10466	1971	22316
72919	-10570	2004	22316
72920	-10565	1981	22316
72921	-10530	1940	22316
72922	-10509	1045	22317
72923	-11258	1506	22318
72924	-11252	1582	22318
72925	-11253	1650	22318
72926	-11278	1719	22318
72927	-11340	1737	22318
72928	-11282	1545	22318
72929	-11243	1152	22319
72930	-11123	1178	22319
72931	-11102	1193	22319
72932	-11223	1393	22319
72933	-11300	1384	22319
72934	-11246	1157	22319
72935	-11114	1664	22320
72936	-11150	1794	22320
72937	-11197	1757	22320
72938	-11166	1709	22320
72939	-11243	1152	22321
72940	-11152	1237	22321
72941	-11242	1294	22321
72942	-11246	1157	22321
72943	-11114	1664	22322
72944	-11150	1794	22322
72945	-11197	1757	22322
72946	-11166	1709	22322
72947	-11292	1375	22323
72948	-11223	1393	22323
72949	-11300	1384	22323
72950	-10509	1045	22324
72951	-8782	-274	22325
72952	-8767	-270	22325
72953	-8706	-202	22325
72954	-8667	-117	22325
72955	-8684	-72	22325
72956	-8696	-69	22325
72957	-8791	-105	22325
72958	-8824	-238	22325
72959	-8818	-255	22325
72960	-8903	-163	22326
72961	-9983	549	22327
72962	-9820	554	22327
72963	-9784	583	22327
72964	-9817	615	22327
72965	-10117	716	22327
72966	-10143	621	22327
72967	-10119	584	22327
72968	-10082	550	22327
72969	-9518	-486	22328
72970	-9449	-486	22328
72971	-9383	-453	22328
72972	-9322	-383	22328
72973	-9467	-226	22328
72974	-9473	-220	22328
72975	-9487	-207	22328
72976	-9506	-205	22328
72977	-9547	-250	22328
72978	-9550	-385	22328
72979	-9549	-449	22328
72980	-9866	-223	22329
72981	-9860	-221	22329
72982	-9816	-184	22329
72983	-9818	-119	22329
72984	-9860	-90	22329
72985	-9917	-83	22329
72986	-9974	-139	22329
72987	-9977	-148	22329
72988	-9977	-151	22329
72989	-9974	-155	22329
72990	-9061	-463	22330
72991	-8888	-447	22330
72992	-8878	-412	22330
72993	-8869	-374	22330
72994	-9082	-234	22330
72995	-9115	-247	22330
72996	-9131	-264	22330
72997	-9142	-291	22330
72998	-9148	-340	22330
72999	-9143	-368	22330
73000	-8986	-1251	22331
73001	-8951	-1219	22331
73002	-8917	-1185	22331
73003	-8867	-1133	22331
73004	-8950	-1146	22331
73005	-9115	-1223	22331
73006	-9014	-1247	22331
73007	-9241	-720	22332
73008	-9086	-592	22332
73009	-9080	-587	22332
73010	-9077	-584	22332
73011	-9088	-557	22332
73012	-9283	-554	22332
73013	-9318	-584	22332
73014	-9351	-685	22332
73015	-9317	-717	22332
73016	-8782	-274	22333
73017	-8561	-218	22333
73018	-8530	-200	22333
73019	-8538	-183	22333
73020	-8556	-148	22333
73021	-8684	-72	22333
73022	-8696	-69	22333
73023	-8766	-93	22333
73024	-8791	-105	22333
73025	-8795	-117	22333
73026	-8824	-238	22333
73027	-8818	-255	22333
73028	-9469	418	22334
73029	-9287	445	22334
73030	-9268	457	22334
73031	-9279	513	22334
73032	-9289	525	22334
73033	-9321	552	22334
73034	-9475	517	22334
73035	-9516	486	22334
73036	-9844	-1650	22335
73037	-9749	-1587	22335
73038	-9748	-1551	22335
73039	-9788	-1548	22335
73040	-9875	-1547	22335
73041	-9823	83	22336
73042	-9784	85	22336
73043	-9746	88	22336
73044	-9732	118	22336
73045	-9733	137	22336
73046	-9745	189	22336
73047	-9778	281	22336
73048	-9850	283	22336
73049	-9884	267	22336
73050	-9954	221	22336
73051	-9250	-1250	22337
73052	-9183	-1250	22337
73053	-9067	-1132	22337
73054	-9041	-1105	22337
73055	-9019	-1041	22337
73056	-9015	-982	22337
73057	-9090	-951	22337
73058	-9147	-952	22337
73059	-9252	-981	22337
73060	-9316	-1118	22337
73061	-9317	-1183	22337
73062	-9284	-1217	22337
73063	-9251	-14	22338
73064	-9116	16	22338
73065	-9123	46	22338
73066	-9187	179	22338
73067	-9218	149	22338
73068	-9250	118	22338
73069	-9953	-1412	22339
73070	-9780	-1117	22339
73071	-9712	-943	22339
73072	-9714	-849	22339
73073	-9847	-517	22339
73074	-9916	-848	22339
73075	-9943	-1087	22339
73076	-9951	-1282	22339
73077	-9953	-1351	22339
73078	-8848	-988	22340
73079	-8819	-851	22340
73080	-8854	-751	22340
73081	-8894	-718	22340
73082	-9115	-827	22340
73083	-9919	39	22341
73084	-6172	-3030	22342
73085	-6062	-3020	22342
73086	-6097	-2980	22342
73087	-5396	-3016	22343
73088	-9052	-458	22344
73089	-8888	-447	22344
73090	-8878	-412	22344
73091	-8869	-374	22344
73092	-9082	-234	22344
73093	-9115	-247	22344
73094	-9131	-264	22344
73095	-9142	-291	22344
73096	-9148	-340	22344
73097	-9143	-368	22344
73098	-9093	-421	22344
73099	-8934	-137	22345
73100	-9435	-3079	22346
73101	-9284	-2298	22347
73102	-9816	-3260	22348
73103	-9740	-3228	22348
73104	-9729	-3214	22348
73105	-9709	-3174	22348
73106	-9712	-3166	22348
73107	-9734	-3142	22348
73108	-9757	-3140	22348
73109	-9822	-3255	22348
73110	-9234	-2932	22349
73111	-9175	-2931	22349
73112	-9174	-2926	22349
73113	-9182	-2869	22349
73114	-9186	-2865	22349
73115	-9208	-2852	22349
73116	-9217	-2861	22349
73117	-9236	-2929	22349
73123	-8790	-2422	22351
73124	-8709	-2367	22351
73125	-8689	-2351	22351
73126	-8686	-2346	22351
73127	-8672	-2317	22351
73128	-8657	-2254	22351
73129	-8694	-2148	22351
73130	-8789	-2135	22351
73131	-8813	-2162	22351
73132	-8829	-2188	22351
73133	-9295	-2995	22352
73134	-9281	-2990	22352
73135	-9280	-2941	22352
73136	-9280	-2940	22352
73137	-9285	-2935	22352
73138	-9296	-2937	22352
73139	-9300	-2941	22352
73140	-9316	-2973	22352
73141	-9576	-3281	22353
73142	-9551	-3265	22353
73143	-9545	-3261	22353
73144	-9536	-3247	22353
73145	-9538	-3245	22353
73146	-9576	-3223	22353
73147	-9580	-3258	22353
73148	-9407	-3091	22354
73149	-9362	-3083	22354
73150	-9356	-3081	22354
73151	-9340	-3048	22354
73152	-9358	-3000	22354
73153	-9368	-2992	22354
73154	-9437	-2963	22354
73155	-9467	-2968	22354
73156	-9440	-3073	22354
73157	-9284	-2298	22355
73158	-8561	-218	22356
73159	-8530	-200	22356
73160	-8538	-183	22356
73161	-8556	-148	22356
73162	-8635	-111	22356
73163	-8672	-124	22356
73164	-8903	-163	22357
73171	-10448	872	22359
73172	-10421	897	22359
73173	-10397	927	22359
73174	-10418	950	22359
73175	-10484	922	22359
73176	-10512	890	22359
73177	-10488	877	22359
73178	-10816	1215	22360
73179	-10750	1217	22360
73180	-10421	1282	22360
73181	-10349	1351	22360
73182	-10520	1516	22360
73183	-10884	1550	22360
73184	-10852	1386	22360
73185	-10216	1750	22361
73186	-10120	1817	22361
73187	-10184	1849	22361
73188	-10284	1848	22361
73189	-10251	1784	22361
73190	-10917	1618	22362
73191	-10820	1649	22362
73192	-10819	1718	22362
73193	-10885	1715	22362
73194	-10918	1682	22362
73195	-10386	1051	22363
73196	-10315	1053	22363
73197	-10317	1183	22363
73198	-10384	1188	22363
73199	-10449	1186	22363
73200	-10484	1154	22363
73201	-10452	1118	22363
73202	-10421	1086	22363
73203	-10251	881	22364
73204	-10051	886	22364
73205	-10149	983	22364
73206	-10218	916	22364
73213	-10112	1042	22366
73214	2075	-1191	22367
73216	3026	-491	22369
73218	1932	-1336	22371
73219	2090	-1272	22371
73220	2056	-973	22371
73221	2016	-942	22371
73222	1968	-915	22371
73223	1931	-961	22371
73224	1905	-1000	22371
73225	1883	-1087	22371
73226	1841	-1255	22371
73227	1992	-1081	22372
73228	2075	-1191	22373
73235	8020	-2679	22374
73236	8020	-2679	22375
73237	7708	-2733	22376
73238	7775	-2642	22376
73239	7715	-2505	22376
73240	7775	-2642	22377
73241	7708	-2733	22378
73242	7775	-2642	22378
73243	7749	-2501	22378
73244	7874	-2224	22379
73245	8020	-2679	22380
73246	-1039	-282	22381
73258	-9289	-1919	22384
73259	-9246	-2045	22385
73260	-9610	-1032	22386
73261	-10112	1042	22387
73262	-9336	-986	22388
73421	-9974	1081	22417
73422	-9867	1233	22417
73423	-9899	1267	22417
73424	-9932	1266	22417
73425	-9981	1219	22417
73426	-9997	1150	22417
73427	-9993	1112	22417
73428	-9982	1094	22417
73435	-10193	1016	22419
73436	-10118	1116	22419
73437	-10120	1150	22419
73438	-10152	1181	22419
73439	-10184	1150	22419
73440	-10217	1117	22419
73441	-10239	1072	22419
73442	-10243	1019	22419
73443	-10827	714	22420
73444	-10807	738	22420
73445	-10755	822	22420
73446	-10784	850	22420
73447	-10819	880	22420
73448	-10851	850	22420
73449	-10850	784	22420
73450	-10847	725	22420
73451	-10205	1272	22421
73452	-10168	1282	22421
73453	-10154	1313	22421
73454	-10183	1449	22421
73455	-10234	1511	22421
73456	-10285	1451	22421
73457	-10617	1582	22422
73458	-10517	1682	22422
73459	-10471	1763	22422
73460	-10474	1808	22422
73461	-10488	1839	22422
73462	-10585	1750	22422
73463	-10651	1684	22422
73464	-10683	1651	22422
73465	-10112	1042	22423
73466	-9466	74	22424
73467	-9466	74	22425
73468	-9224	-1234	22426
73469	-8986	-1251	22427
73470	-8951	-1219	22427
73471	-8917	-1185	22427
73472	-8950	-1146	22427
73473	-9115	-1223	22427
73474	-9014	-1247	22427
73475	-9250	-1250	22428
73476	-9183	-1250	22428
73477	-9191	-1218	22428
73478	-9242	-1161	22428
73479	-9316	-1118	22428
73480	-9317	-1183	22428
73481	-9284	-1217	22428
73482	-9953	-1412	22429
73483	-9780	-1117	22429
73484	-9816	-617	22429
73485	-9847	-517	22429
73486	-9916	-848	22429
73487	-9943	-1087	22429
73488	-9951	-1282	22429
73489	-9953	-1351	22429
73490	-9610	-1032	22430
73491	-9317	-717	22431
73492	-9240	-714	22431
73493	-9080	-587	22431
73494	-9077	-584	22431
73495	-9088	-557	22431
73496	-9283	-554	22431
73497	-9318	-584	22431
73498	-9351	-685	22431
73499	-9823	83	22432
73500	-9784	85	22432
73501	-9746	88	22432
73502	-9732	118	22432
73503	-9745	189	22432
73504	-9778	281	22432
73505	-9850	283	22432
73506	-9884	267	22432
73507	-9954	221	22432
73508	-9496	73	22433
73509	-13803	373	22434
73510	-11273	1455	22435
73511	-9974	-3658	22436
73512	-11273	1455	22437
73513	-5834	1505	22438
73540	-6851	-1539	22443
73541	-11273	1455	22444
73542	-9466	74	22445
73543	-10318	377	22446
73544	-10954	-1376	22447
73545	-10919	-1343	22447
73546	-10917	-1280	22447
73547	-10978	-1245	22447
73548	-11016	-1243	22447
73549	-11038	-1258	22447
73550	-11047	-1347	22447
73551	-11015	-1382	22448
73552	-10981	-1381	22448
73553	-10907	-1319	22448
73554	-10941	-1249	22448
73555	-11076	-1275	22448
73556	-11054	-1316	22448
73557	-10560	-1152	22449
73558	-10509	191	22450
73559	-10483	203	22450
73560	-10444	222	22450
73561	-10495	256	22450
73562	-10565	355	22451
73563	-10472	398	22451
73564	-10476	423	22451
73565	-10550	423	22451
73566	-10566	400	22451
73567	-10558	213	22452
73568	-10569	271	22452
73569	-10585	277	22452
73570	-10584	251	22452
73571	-10581	226	22452
73572	-10565	355	22453
73573	-10472	398	22453
73574	-10481	451	22453
73575	-10548	444	22453
73576	-10576	435	22453
73577	-10586	394	22453
73578	-10582	362	22453
73579	-10741	-1381	22454
73580	-10733	-1355	22454
73581	-10753	-1305	22454
73582	-10790	-1307	22454
73583	-10830	-1315	22454
73584	-10825	-1357	22454
73585	-10810	-1370	22454
73586	-10497	175	22455
73587	-10467	177	22455
73588	-10444	222	22455
73589	-10495	256	22455
73590	-10498	212	22455
73591	-10560	-1152	22456
73592	-10333	121	22457
73593	-10207	150	22457
73594	-10212	183	22457
73595	-10234	290	22457
73596	-10362	204	22457
73597	-10374	194	22457
73598	-10350	135	22457
73599	-10306	339	22458
73600	-10307	379	22458
73601	-10341	407	22458
73602	-10345	369	22458
73603	-10332	349	22458
73604	-10560	-1152	22459
73605	-9532	-1222	22460
73606	-9317	-717	22461
73607	-9240	-714	22461
73608	-9080	-587	22461
73609	-9077	-584	22461
73610	-9088	-557	22461
73611	-9283	-554	22461
73612	-9318	-584	22461
73613	-9351	-685	22461
73614	-9823	83	22462
73615	-9784	85	22462
73616	-9746	88	22462
73617	-9732	118	22462
73618	-9745	189	22462
73619	-9778	281	22462
73620	-9850	283	22462
73621	-9884	267	22462
73622	-9954	221	22462
73623	-9460	32	22463
73624	-8858	625	22464
73625	-9844	92	22465
73626	-9796	122	22465
73627	-9760	158	22465
73628	-9796	194	22465
73629	-9844	164	22465
73630	-9880	128	22465
73631	-9466	74	22466
73632	419	1832	22467
73633	419	1843	22468
73634	-9850	1290	22469
73635	-9852	918	22470
73636	-9232	-2146	22471
73637	-10560	-1125	22472
73638	-10957	1564	22473
73639	-10560	-1125	22474
73640	-9463	16	22475
73641	-9463	-2	22476
73642	-8834	984	22477
73643	-9610	-1032	22478
73644	-8830	985	22479
73645	-9545	-1401	22480
73646	-9549	-1439	22481
73647	-9545	-1401	22482
73648	-9029	-644	22483
73649	-8993	-608	22483
73650	-9041	-553	22483
73651	-9077	-517	22483
73652	-9113	-553	22483
73653	-9065	-608	22483
73654	-9466	74	22484
73655	475	-3801	22485
73656	388	-3740	22485
73657	399	-3889	22485
73658	494	-3400	22486
73659	483	-3339	22486
73660	411	-3329	22486
73661	431	-3391	22486
73662	219	-2603	22487
73663	-10517	-1159	22488
73664	-10560	-1152	22489
73665	-10560	-1125	22490
73666	-7942	-2814	22491
73667	-7747	-2778	22491
73668	-7654	-2651	22491
73669	-7616	-2550	22491
73670	-7650	-2517	22491
73671	-7919	-2316	22491
73672	-8050	-2317	22491
73673	-8182	-2382	22491
73674	-8217	-2419	22491
73675	-8237	-2531	22491
73676	-8177	-2656	22491
73677	-8044	-2805	22491
73678	-7115	-3730	22492
73679	-9866	-223	22493
73680	-9860	-221	22493
73681	-9816	-184	22493
73682	-9818	-119	22493
73683	-9860	-90	22493
73684	-9917	-83	22493
73685	-9967	-136	22493
73686	-9977	-148	22493
73687	-9977	-151	22493
73688	-9298	625	22494
73689	-9276	662	22494
73690	-9286	685	22494
73691	-9306	713	22494
73692	-9441	448	22495
73693	-9268	457	22495
73694	-9279	513	22495
73695	-9289	525	22495
73696	-9321	552	22495
73697	-9379	533	22495
73698	-9389	528	22495
73699	-9438	486	22495
73700	-9445	474	22495
73701	-9448	462	22495
73702	-9446	452	22495
73703	-9770	-1598	22496
73704	-9749	-1587	22496
73705	-9748	-1551	22496
73706	-9788	-1548	22496
73707	-9798	-1566	22496
73708	-9791	-1586	22496
73709	-9753	-955	22497
73710	-9715	-941	22497
73711	-9714	-849	22497
73712	-9748	-817	22497
73713	-9816	-824	22497
73714	-9844	-850	22497
73715	-9819	-918	22497
73716	-9809	-929	22497
73717	-9806	-932	22497
73718	-9136	-1146	22498
73719	-9067	-1132	22498
73720	-9041	-1105	22498
73721	-9019	-1041	22498
73722	-9015	-982	22498
73723	-9090	-951	22498
73724	-9147	-952	22498
73725	-9252	-981	22498
73726	-9221	-1072	22498
73727	-9198	-1107	22498
73728	-9173	-1125	22498
73729	-9655	-116	22499
73730	-9648	-52	22499
73731	-9681	-4	22499
73732	-9715	-52	22499
73733	-9532	-1222	22500
73734	-9924	38	22501
73735	-9924	38	22502
73736	-9785	-1050	22503
73737	-9645	-922	22503
73738	-9620	-882	22503
73739	-9517	181	22503
73740	-9784	448	22503
73741	-9819	477	22503
73742	-9882	480	22503
73743	-10017	382	22503
73744	-10047	281	22503
73745	-10079	124	22503
73746	-9882	-1017	22503
73747	-9844	-1048	22503
73748	-9890	338	22504
73749	-9746	88	22505
73750	-9890	338	22506
73751	-9922	404	22507
73752	-9895	332	22508
73753	-8980	-2338	22509
73754	-8948	-2333	22509
73755	-8902	-2299	22509
73756	-8888	-2265	22509
73757	-8885	-2171	22509
73758	-8907	-2127	22509
73759	-9001	-2165	22509
73760	-9031	-2191	22509
73761	-9027	-2219	22509
73762	-9123	-2089	22510
73763	-9084	-2086	22510
73764	-9033	-1992	22510
73765	-9153	-2020	22510
73766	-8957	-2085	22511
73767	-8842	-2071	22511
73768	-8801	-2053	22511
73769	-8795	-2048	22511
73770	-8767	-2009	22511
73771	-8821	-1921	22511
73772	-8848	-1917	22511
73773	-8881	-1916	22511
73774	-8973	-2004	22511
73775	-8971	-2078	22511
73776	-9082	-2433	22512
73777	-9036	-2422	22512
73778	-9032	-2413	22512
73779	-9038	-2395	22512
73780	-9040	-2392	22512
73781	-9071	-2377	22512
73782	-9099	-2384	22512
73783	-8980	-2338	22513
73784	-8948	-2333	22513
73785	-8902	-2299	22513
73786	-8888	-2265	22513
73787	-8885	-2171	22513
73788	-8907	-2127	22513
73789	-9001	-2165	22513
73790	-9031	-2191	22513
73791	-9027	-2219	22513
73792	-9123	-2089	22514
73793	-9084	-2086	22514
73794	-9033	-1992	22514
73795	-9153	-2020	22514
73796	-8957	-2085	22515
73797	-8842	-2071	22515
73798	-8801	-2053	22515
73799	-8795	-2048	22515
73800	-8767	-2009	22515
73801	-8821	-1921	22515
73802	-8848	-1917	22515
73803	-8881	-1916	22515
73804	-8973	-2004	22515
73805	-8971	-2078	22515
73806	-9082	-2433	22516
73807	-9036	-2422	22516
73808	-9032	-2413	22516
73809	-9038	-2395	22516
73810	-9040	-2392	22516
73811	-9071	-2377	22516
73812	-9099	-2384	22516
73813	-9279	-2269	22517
73838	-9267	-3355	22522
73839	-9226	-3303	22522
73840	-9229	-3300	22522
73841	-9261	-3283	22522
73842	-9281	-3283	22522
73843	-9291	-3285	22522
73844	-9296	-3308	22522
73845	-9285	-3329	22522
73846	-9377	-3167	44981
73847	-9356	-3165	44981
73848	-9360	-3120	44981
73849	-9428	-3123	44981
73850	-9216	-2216	22523
73851	-9493	-2346	22524
73852	-9459	-2308	22524
73853	-9706	-2132	22524
73854	-9731	-2156	22524
73855	-9725	-2188	22524
73856	-9713	-2231	22524
73857	-9678	-2260	22524
73858	-9608	-2308	22524
73859	-9179	-2813	22526
73860	-9151	-2754	22526
73861	-9139	-2713	22526
73862	-9241	-2781	22526
73863	-9223	-2804	22526
73864	-9674	-3044	22527
73865	-9652	-2793	22527
73866	-9688	-2781	22527
73867	-9691	-2813	22527
73868	-9665	-1867	22529
73869	-9655	-1818	22529
73870	-9687	-1785	22529
73871	-9749	-1786	22529
73872	-9715	-1836	22529
73873	-9198	-2793	22530
73874	-9123	-2740	22530
73875	-9116	-2716	22530
73876	-9126	-2692	22530
73877	-9172	-2674	22530
73878	-9202	-2742	22530
73879	-9214	-2770	22530
73880	-9620	-2022	22531
73881	-9599	-1965	22531
73882	-9655	-1925	22531
73883	-9677	-1978	22531
73884	-9210	-2063	22532
73894	-10051	-1250	22534
73895	-9951	-618	22534
73896	-9951	-551	22534
73897	-10017	-421	22534
73898	-10045	-450	22534
73899	-10109	-601	22534
73900	-10183	-1050	22534
73901	-10075	-1220	22534
73916	-10499	-1158	22537
73917	-9253	-3405	22538
73918	-11116	-513	22539
73919	-1345	-4048	22540
73920	-10560	-1152	22541
73921	-10369	-1255	22542
73922	-10532	-1213	22543
73923	-354	1422	22544
73924	-324	1550	22544
73925	-345	1601	22544
73926	-349	1610	22544
73927	-378	1656	22544
73928	-381	1653	22544
73929	-434	1561	22544
73930	-442	1540	22544
73931	-437	1518	22544
73932	-411	1453	22544
73933	-392	1432	22544
73934	553	1593	22545
73935	417	1823	22546
73936	-10332	108	22547
73937	-10207	150	22547
73938	-10194	284	22547
73939	-10208	287	22547
73940	-10234	290	22547
73941	-10386	256	22547
73942	-10408	243	22547
73943	-10419	212	22547
73944	-10423	188	22547
73945	-10421	142	22547
73946	-10300	-1362	22548
