field0	field1	field2
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
24	0	0
26	1	0
61	0	0
62	1	0
63	3	90
64	0	0
77	3	90
83	0	0
138	0	0
140	0	0
141	0	0
142	1	0
143	1	0
144	0	0
147	2	21055
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	0	0
165	1	0
168	2	21061
169	2	21063
170	2	21065
171	2	21067
172	2	21069
173	2	21071
191	1	0
192	1	0
193	1	0
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	0	0
202	1	0
203	1	0
204	0	0
205	0	0
206	1	0
207	0	0
208	0	0
209	1	0
210	1	0
211	1	0
212	0	0
213	0	0
214	0	0
215	3	45
219	0	0
221	0	0
225	0	0
228	0	0
231	0	0
237	0	0
253	0	0
254	0	0
255	0	0
256	0	0
264	1	0
265	1	0
266	1	0
267	0	0
268	0	0
269	0	0
270	0	0
271	4	5
272	4	5
273	4	5
274	4	5
275	4	5
283	0	0
284	0	0
285	2	22735
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	2	22744
293	2	22746
294	0	0
295	0	0
296	0	0
297	0	0
298	1	0
299	0	0
300	0	0
301	0	0
302	0	0
303	0	0
329	0	0
330	0	0
331	0	0
332	0	0
333	0	0
334	0	0
335	0	0
336	0	0
337	0	0
357	0	0
358	0	0
360	0	0
361	1	0
362	0	0
363	0	0
364	0	0
365	1	0
366	1	0
367	0	0
368	1	0
369	1	0
370	1	0
371	1	0
373	4	5
374	1	0
