field0	field1	field2	field3	field4				
4	Global Functions - Scene	"--
-- Scene Functions
--
Scene.__meta.__index = function(table, key)
	if Scene[key] == nil and type(key) == \string\"" and string.sub(key,1,4) == \""Wait\"" then"						
5	PetBattle - Main	"
--------------------------------------------------------------------------------
-- battle constants
isObserved = false
observingPlayerIndex = 0
if battleScene then
	initialBattleState = battleScene:GetBattleState()
	if (battleScene.GetUIObservingPlayer) then
		observingPlayerIndex = battleScene:GetUIObservingPlayer()
		if (observingPlayerIndex > 0) then
			isObserved = true
		end
	end
else
	-- no battle scene implies a manually created test battle
	isObserved = true
	observingPlayerIndex = 1
end

--------------------------------------------------------------------------------
-- see if we\'re using test teams
if (battleScene and battleScene:UseTestPlayerData() == true) or (not initialBattleState) then
	initialBattleState = InitTestTeams()
end

--------------------------------------------------------------------------------
-- build ability and abilityTurn map
petAbilities = { }
petAbilityTurns = { }
for j,ability in pairs(initialBattleState.abilityDescs) do
	petAbilities[ability.ID] = ability
	for i,abilityTurn in pairs(ability.turns) do
		petAbilityTurns[abilityTurn.ID] = abilityTurn
	end
end

--------------------------------------------------------------------------------
-- spawn teams
if (isObserved == true) then
	-- backwards compatibility
	initialBattleState.players[observingPlayerIndex].teamFacing = 0
	initialBattleState.players[3-observingPlayerIndex].teamFacing = 180
else
	initialBattleState.players[1].teamFacing = 0
	initialBattleState.players[2].teamFacing = 180
end

teams = { initialBattleState.players[1], initialBattleState.players[2] }
InitTeam(teams[1])
InitTeam(teams[2])

-- wait for teams to load
if (initialBattleState.battleState == PetBattleState.WaitingPreBattle) then
	BattleIntro()
else
	if isObserved then
		SetCamera(3)
	end

	WaitAllPetsLoaded()
	FadeInAllPets(0)
end

-- Pet Battle loop
local inBattle = true
local winnerID
while (inBattle == true) do
	local effect = nil
	if (battleScene:IsTestBattle() == true) then
		effect = GenerateTestBattleEvent()
		if (not effect) then
			scene:WaitTimer(0)
		end
	else
		-- poll for round effects
		local waitForEffects = function()
			return battleScene:HasPendingEffects()
		end
		scene:WaitCondition(waitForEffects)
		effect = battleScene:GetPendingEffect()
	end

	inBattle, winnerID = ProcessEffect(effect)
end

if (winnerID == 1) or (winnerID == 2) then
	local winnerTeam = teams[winnerID]
	for petIndex, pet in pairs(winnerTeam.pets) do
		if winnerTeam.activePet ~= petIndex and pet.currentHealth > 0 then
			-- move backline up to celebrate
			MoveToRadius(pet, idleRadius, pet.currentOffset)
		end
	end
	scene:WaitTimer(1.0)
end

if isObserved then
	SetCamera(4);
end

scene:WaitTimer(0.75)
battleScene:SignalBattleComplete()
"	0	0				
6	PetBattle - Functions	"
function BuildVector(facing, fwd, right)
	local facingRads = math.rad(facing)
	local facingX = math.cos(facingRads)
	local facingY = math.sin(facingRads)
	
	local absPos = Vector:New(
		(facingX*fwd - facingY*right) * battleScale,
		(facingY*fwd + facingX*right) * battleScale,
		0)
	
	if spawnFwdOffset then
		absPos.x = absPos.x + spawnFwdOffset
	end

	return absPos
end

function GetTeamByIndex(teamIndex)
	return teams[teamIndex]
end

function GetActivePetByIndex(teamIndex)
	local team = GetTeamByIndex(teamIndex)
	return team.pets[team.activePet]
end

function MoveToRadius(pet, radius, offset, instant)
	local radiusMove = pet.currentRadius - radius
	local offsetMove = (offset or 0.0) - pet.currentOffset
	local distToMove = math.sqrt(radiusMove*radiusMove + offsetMove*offsetMove)
	local moveTime = 0
	if (instant == true) then
		moveTime = 0
	elseif radiusMove < 0 then
		moveTime = distToMove / backwardSpeed
	else
		moveTime = distToMove / forwardSpeed
	end	

	pet.currentRadius = radius
	pet.currentOffset = (offset or 0.0)

	local pos = BuildVector(pet.teamFacing, -pet.currentRadius, pet.currentOffset)
	pet.actor:MoveToAbs(pos, moveTime)
end

function WaitMoveToRadius(pet, radius, offset)
	MoveToRadius(pet, radius, offset)
	pet.actor:WaitMovementComplete()
end

function ResetActivePets()
	-- return pets to idle
	WaitMoveToRadius(GetActivePetByIndex(1), idleRadius)
	WaitMoveToRadius(GetActivePetByIndex(2), idleRadius)
end

function LookAtOpposingTeam(pet)
	local lookAtPos = BuildVector(pet.teamFacing, idleRadius, 0)
	pet.actor:SetFacingToAbs(lookAtPos)
end

function SetHealth(pet, health, fullUpdate)

	local oldHealth = pet.currentHealth
	pet.currentHealth = health

	-- damage numbers feedback for observed battles
	if (isObserved) and (not fullUpdate) and (oldHealth ~= nil) then
		local change = health - oldHealth
		if (change < 0) and (Actor.AddDamageText) then
			pet.actor:AddDamageText(nil, -change, false, false)
		elseif (change > 0)  and (Actor.AddHealingText) then
			pet.actor:AddHealingText(nil, change, false, false)
		end
	end

	if (pet.currentHealth <= 0) and (not pet.deathAnimKit) then
		-- HACKfix facing way off in the distance so as to effectively not rotate
		local lookAtPos = BuildVector(pet.teamFacing, idleRadius*1000, 0)
		pet.actor:SetFacingToAbs(lookAtPos)
		RemoveAllAuraVisuals(pet)

		-- play dead
		local deathKitID = 62
		if (fullUpdate == true) then
			-- already dead
			pet.deathAnimKit = pet.actor:PlayAnimKit(petBattleAnimKits.Dead, false, Animations.None)
		else
			-- dieing
			pet.deathAnimKit = pet.actor:PlayAnimKit(petBattleAnimKits.Death, false, Animations.None)
			scene:WaitTimer(4)
			pet.actor:Fade(GetAlpha(pet), 2)
			scene:WaitTimer(2)
		end

	elseif (pet.currentHealth > 0) and (pet.deathAnimKit) then
		-- resurrect
		pet.deathAnimKit:Stop()
		pet.deathAnimKit = nil
		local lookAtPos = BuildVector(pet.teamFacing, idleRadius, 0)
		LookAtOpposingTeam(pet)
		pet.actor:Fade(GetAlpha(pet), 0.5)
		UpdateAuraVisuals(pet)
	end
end

function GetAlpha(pet)
	
	if (pet.deathAnimKit) then
		return 0
	else
		return 1
	end

end
"	0	0				
7	Darren\'s Test Scene Script 1	"print(\START: Darren\'s Test Script 2!!\"")"						
16	Darren\'s Math Test	"print(\Darren\'s Math Test\"")"						
18	Darren\'s Follower	"print(\-- START: Darren\'s Follower --\"")"						
30	Kun Lai Summit - Horde Hub Swap Scene - Worker 02 - JSB	"
-- small tent panda 02
-- wait a little before running in
Wait(2)
FadeIn( panda02, 1 )

-- run to the tents
RunToLocation( panda02, 5.5, 2298.76, 922.011, 481.216, 28.7984 )

Wait(1)

-- throw bucket at tents
CastSpellAtActor( panda02, fire16.bunny, throwBucketSpellID )

-- wait for missile to hit
Wait(2)
PutOutFire( fire04, smokeFadeOutTime )
PutOutFire( fire08, smokeFadeOutTime )
PutOutFire( fire16, smokeFadeOutTime )

Wait(1)

RunToLocation( panda02, 3, 2301.44, 926.885, 481.203, 57.6166 )

PlayLoopingSplitBodyAnim( panda02, Animations.EmoteWork )

Wait(2)

FadeOut( fire04.smoke )
FadeOut( fire08.smoke )
FadeOut( fire16.smoke )

Wait(1)

FadeIn( workDust02, 5 )


WaitForTrigger( \flagPlant\"" )"						
33	Darren\'s Test Scene Script 6	"print(\-- START: Darren\'s Test Script 6 --\"")"						
36	Test - Alex\'s Battle Pet - Move Library 2	"-- Variables

backwardSpeedMulti = 0.8

function PerformTripleAttack(pet, opponent, damage)
	local points = {
	}

	local numPoints = 5;
	local offset=270
	local step= 720/numPoints;

	for i=offset+step,offset+720,step do 
		local sin = math.s"						
38	Test - Alex\'s Battle Pet - Boundary Guy	"

--[[
local fireCreateData2 = ActorCreateData:NewModel(
	\Fireworks\"","						
