field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10
1	Ghost Screen Effect	1	0	0	0	0	3	462	36	-1
21	Arthas Memory Events	3	-1023410176	4	0	0	0	0	0	-1
41	Borean Tundra - Mist of the Kvaldir	3	-1	6	40	0	0	0	0	-1
43	ZP - Zombie-Vision	3	-939589632	4	0	0	0	0	0	-1
61	BOTM - Jungle Madness	3	-864698789	2	25	0	0	0	0	-1
81	Invis Screen Effect	2	0	0	0	0	0	462	36	-1
82	Zul\'Drak - Altar of Quetz\'lun - ELM	1	0	0	0	0	0	462	36	-1
101	Quest - Eye of Acherus	3	-184549376	4	0	0	0	0	0	-1
121	Quest - Invis Screen Effect	2	0	0	0	0	0	462	36	-1
122	Quest - Ghost Screen Effect	1	0	0	0	0	0	462	36	-1
123	Quest - Realm of Shadows	3	-2062348516	1	60	0	0	0	0	-1
141	Ebon Hold - Chapter II Skybox (DND)	0	0	0	0	0	775	472	449	-1
161	CoT Stratholme - Time Warp	3	-7574272	8	40	0	0	0	0	-1
181	Ebon HOld - Chapter IV - Finale	0	0	0	0	0	0	474	452	-1
201	Ebon Hold - Transition	3	-16777216	1	100	0	0	0	0	-1
221	Howling Fjord - Echo of Ymiron	2	0	0	0	0	0	0	0	-1
222	DrakTharon - Skeleton Form	3	-6420736	4	10	0	0	0	0	-1
242	Quest - Iron Colossus Battle (Skybox)	0	0	0	0	0	810	0	0	-1
262	Icecrown - Argent Skytalon	3	-1787661710	9	0	0	0	0	209	-1
282	Icecrown - Emerald Nightmare	3	-872349952	2	25	0	0	28	0	-1
302	Icecrown - Argent Defenders	0	0	0	0	0	0	0	0	-1
322	Ebon Hold - Chapter III	0	0	0	0	0	0	473	452	-1
342	Dragonblight - World of Shadows	2	0	0	0	0	0	474	452	-1
362	Icecrown - Naz\'anak	3	3355442	200	20	0	0	0	0	-1
382	Icecrown Bomber - See Cloak Dome	3	1941958144	2	0	0	0	0	0	-1
402	Icecrown - Sniper Rifle	3	0	8	30	0	0	0	0	-1
422	CoA Black - Twilight Shift	3	-176267558	4	0	0	0	0	0	-1
442	Ebon Hold - Chapter IV Skybox (DND)	0	0	0	0	0	775	472	502	-1
462	Drakil\'jin Death	1	0	0	0	0	0	462	36	-1
482	Ulduar Raid - Worm Hole	1	0	0	0	0	0	0	36	-1
502	Ulduar Raid - Phase Punch Effect 01	3	-1	12	60	0	0	0	0	-1
522	Jinx\'s Elf Detection Ray	3	1941958144	2	0	0	0	0	0	-1
542	Alexander - Black Circle	3	-16777216	4	0	0	0	41	9	-1
582	Desolace - Firestorm	0	0	0	0	0	0	478	0	-1
602	Hrothgar\'s Landing - Mist of the Kvaldir	3	-1	8	40	0	0	0	0	-1
623	The Lost Isles - Infrared Heatfocals	3	-939589632	3	10	0	0	0	0	-1
642	Quest - Worgen Intro	3	16711680	0	50	0	0	0	0	-1
662	Quest - Worgen Intro	2	0	0	0	0	0	0	0	-1
682	The Wound - Vision of Thrall	3	-1	8	40	0	0	0	0	-1
702	South Barrens - Nightmare Scar	0	0	0	0	0	0	0	240	-1
722	"The Lost Isles - \Capturing The Unknown\"""""	3	0	1	100	0	0	0	0	-1
743	Vashj\'ir - Shark Bait	3	-6420736	4	10	0	0	0	0	-1
