id	message	
1	"[SERVER] Shutdown in %s"
2	"[SERVER] Restart in %s"
3	"%s"
4	"[SERVER] Shutdown cancelled"
5	"[SERVER] Restart cancelled"
6	"[SERVER] Battleground shutdown in %s"
7	"[SERVER] Battleground restart in %s"
8	"[SERVER] Instance shutdown in %s"
9	"[SERVER] Instance restart in %s"
10	"Cataclysm content is now available.  Please completely quit and restart World of Warcraft, then enjoy the game."
11	"Your ticket will be serviced soon."
12	"Wait time currently unavailable."
13	"Average ticket wait time:\n %s"
