field0	field1	field2	field3	field4	field5	field6	field7
43	6	1	Higher weapon skill increases your chance to hit.	1	0	0	0
44	6	58	Higher weapon skill increases your chance to hit.	1	0	0	0
45	6	63	Higher weapon skill increases your chance to hit.	1	0	0	0
46	6	68	Higher weapon skill increases your chance to hit.	1	0	0	0
54	6	73	Higher weapon skill increases your chance to hit.	1	0	0	0
55	6	79	Higher weapon skill increases your chance to hit.	1	0	0	0
95	6	97	Higher defense improves your chance to dodge, parry, and block attacks, makes you harder to hit,  and makes monsters less likely to land a critical strike against you.	1	0	0	0
98	10	273		1	0	0	0
101	9	290		1	0	0	0
109	10	305		1	0	0	0
111	10	322		1	0	0	0
113	10	340		1	0	0	0
115	10	361		1	0	0	0
118	6	379		1	0	0	0
124	9	390		1	0	0	0
125	9	404		1	0	0	0
126	9	415		1	0	0	0
129	9	432	Higher first aid skill allows you to learn higher level first aid abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters.	504	0	1	0
136	6	633	Higher weapon skill increases your chance to hit.	1	0	0	0
137	10	640		1	0	0	0
138	10	661		1	0	0	0
139	10	680		1	0	0	0
140	10	703		1	0	0	0
141	10	719		1	0	0	0
142	9	740		1	0	0	0
148	9	749		1	0	0	0
149	9	762		1	0	0	0
150	9	774		1	0	0	0
152	9	787		1	0	0	0
155	9	798		1	0	0	0
160	6	807	Higher weapon skill increases your chance to hit.	1	0	0	0
162	6	824	Higher skill increases your chance to hit.	1	0	0	0
164	11	875	Higher smithing skill allows you to learn higher level smithing plans.  Blacksmithing plans can be found on trainers around the world as well as from quests and monsters.	335	1060	1	0
165	11	1067	Higher leatherworking skill allows you to learn higher level leatherworking patterns.  Leatherworking patterns can be found on trainers around the world as well as from quests and monsters.	346	1272	1	0
171	11	1279	Higher alchemy skill allows you to learn higher level alchemy recipes.  Alchemy recipes can be found on trainers around the world as well as from quests and monsters.	339	1454	1	0
172	6	1461	Higher weapon skill increases your chance to hit.	1	0	0	0
173	6	1477	Higher weapon skill increases your chance to hit.	1	0	0	0
