field0	field1
246	264
248	196
251	266
252	201
254	198
256	202
490	204
590	668
592	669
594	672
596	671
598	670
610	674
689	81
700	227
724	815
725	814
726	817
727	813
728	816
736	825
737	828
739	826
1236	203
1283	2018
1328	2108
1353	2149
1355	2153
1356	2152
1359	2158
1360	2159
1362	2160
1363	2161
1364	2162
1365	2163
1366	2164
1367	2165
1368	2166
1369	2167
1370	2168
1371	2169
1374	2259
1377	2330
1378	2329
1379	2331
1380	2332
1382	2334
1383	2335
1385	2337
1387	1180
1418	2366
1419	2368
1424	522
1441	2382
1442	2383
1532	2550
1535	2538
1536	2539
1537	2540
1538	2541
1539	2542
1540	2543
1543	2544
1544	2545
1545	2546
1546	2547
1547	2548
1548	2549
1568	2580
1569	2575
1570	2576
1597	2656
1599	2658
1600	2659
1631	2660
1632	2661
1633	2662
1634	2663
1635	2664
1636	2665
1637	2666
1638	2667
1639	2668
1640	2670
1642	2672
1644	2674
1645	2675
1646	2737
1649	2740
1650	2741
1651	2738
1652	2739
1653	2742
1674	2795
1708	2881
1792	3100
1793	3101
1794	3102
1795	3104
1798	3115
1799	3117
1800	3116
1814	3171
1815	3172
1816	3173
1817	3174
1819	3176
1820	3177
1821	2333
1822	3188
1832	3170
1833	3230
1836	3273
1837	3274
1838	3275
1839	3276
1840	3277
1841	3278
1846	3308
1847	3307
1848	3304
1849	3292
1850	3293
1851	3294
1852	3295
1853	3296
1854	3297
1855	3319
1856	3320
1857	3321
1858	3323
1859	3324
1860	3325
1861	3326
1862	3328
1863	3330
1864	3331
1865	3333
1866	3334
1867	3336
1868	3337
1869	3365
1870	3050
1871	3370
1872	3371
1873	3372
1874	3373
1875	3376
1876	3377
1901	3397
1902	3398
1903	3399
1904	3400
1906	3413
1930	3447
1931	3448
1932	3449
1933	3450
1934	3451
1935	3452
1936	3453
1937	3454
1938	3464
1984	3491
1985	3492
1986	3493
1987	3494
1988	3495
1989	3496
1990	3497
1991	3498
1992	3500
1993	3501
1994	3502
1995	3503
1996	3504
1997	3505
1998	3506
1999	3507
2000	3508
2001	3511
2002	3513
2003	3515
2005	3538
2036	3564
2037	3569
2041	3570
2161	3811
2162	3753
2164	3756
2167	3759
2168	3760
2170	3761
2171	3762
2172	3763
2173	3764
2174	3765
2175	3766
2176	3767
2177	3768
2178	3769
2179	3770
2180	3771
2181	3772
2182	3773
2183	3774
2184	3775
2185	3776
2186	3777
2187	3778
2188	3779
2195	3816
2196	3817
2197	3818
2199	3780
2200	107
2356	3908
2357	3909
2358	3910
2359	2963
2360	2387
2361	2385
2362	2389
2363	2386
2364	2392
2365	2393
2366	2394
2367	2397
2368	2395
2369	2396
2370	2964
2371	2402
2372	2399
2373	2401
2374	2403
2375	2406
2376	3839
2377	3865
2378	3840
2379	3841
2380	3842
2381	3843
2382	3844
2383	3845
2384	3847
2385	3848
2386	3849
2387	3850
2388	3851
2389	3852
2390	3854
2391	3855
2392	3856
2393	3857
2394	3858
2395	3859
2396	3860
2397	3861
2398	3862
2399	3863
2400	3864
2401	3866
2402	3868
2403	3869
2404	3870
2405	3871
2406	3872
2407	3873
2408	3914
2409	3915
2410	4036
2411	4037
2412	4038
2413	3918
2414	3919
2417	3922
2418	3923
2420	3925
2421	3977
2422	3973
2424	3928
2425	3929
2427	3931
2428	3932
2429	3933
2430	3934
2431	3936
2432	3937
2433	3938
2435	3978
2436	3939
2437	3940
2438	3941
2439	3942
2440	3944
2441	3945
2442	3946
2444	3949
2445	3950
2446	3952
2447	3953
2448	3954
2449	3955
2450	3956
2451	3957
2452	3958
2453	3959
2454	3960
2455	3961
2456	3962
2457	3963
2459	3979
2460	3965
2461	3966
2462	3967
2463	3968
2464	3969
2465	3971
2466	3972
2487	3110
2499	4094
2500	4097
2502	4096
2907	4508
2909	4942
2927	5009
2928	200
2929	5011
2935	5019
3213	197
3214	199
3324	2657
3343	5244
3370	5301
3869	6233
3870	6246
3871	6247
3895	6307
3909	6360
3926	6412
3927	6413
3928	6414
3929	6415
3930	6416
3931	6417
3932	6418
3933	6419
3945	6458
3953	6477
3954	6478
3962	6501
3963	6500
3964	6499
3971	6518
3972	6517
3973	6521
3974	2671
3975	2673
3999	6603
4000	3758
4001	3755
4002	3757
4003	3813
4004	6624
4006	6618
4007	6617
4010	6661
4019	6686
4020	6688
4021	6690
4022	6692
4023	6693
4024	6695
4026	6702
4027	6705
4028	6703
4029	6704
4044	824
4141	750
4156	7126
4158	7133
4159	7135
4160	7147
4161	7149
4163	7151
4164	7153
4165	7156
4176	7179
4177	7181
4178	7183
4204	7213
4205	7224
4206	7223
4207	7221
4208	7222
4209	7257
4210	7258
4211	7255
4212	7259
4213	7256
4214	7266
4215	7267
4246	7340
4247	7341
4266	7355
4285	7408
4286	7411
4287	7412
4288	7413
4289	7418
4290	7420
4291	7421
4292	7426
4293	7428
4294	7430
4297	7443
4301	7457
4302	7623
4303	7624
4304	7630
4305	7629
4306	7633
4307	7636
4308	7639
4311	7643
4344	7620
4345	7731
4346	7732
4347	5227
4348	7738
4350	7744
4352	7748
4353	7751
4354	7752
4355	7753
4356	7754
4359	7755
4360	7766
4362	7771
4363	7776
4364	7779
4365	7782
4366	7786
4367	7788
4368	7745
4369	7793
4370	7795
4381	3716
4386	7814
4389	7817
4390	7818
4391	7827
4392	7828
4393	7836
4394	7837
4395	7841
4396	7845
4399	7857
4400	7859
4402	7863
4404	7867
4405	6358
4406	7870
4408	7892
4409	7893
4414	7928
4415	7929
4416	7924
4417	7934
4418	7935
4419	7955
4420	7953
4421	7954
4569	8238
4570	8240
4571	8243
4589	8322
4606	8334
4607	8339
4628	8366
4629	8367
4630	8368
4682	8388
4695	8386
4708	8465
4709	8467
4714	8489
4715	8483
4766	8613
4767	8617
4768	8618
4786	8604
4787	8607
4847	8768
4848	8776
4849	8758
4850	8760
4851	8762
4852	8764
4853	8766
4854	8770
4855	8772
4856	8774
4857	8778
4867	8780
4868	8782
4869	8784
4870	8786
4871	8789
4872	8791
4873	8793
4874	8795
4875	8797
4876	8799
4877	8802
4878	8804
4910	8880
4927	8895
4987	9058
4988	9059
4991	9064
4992	9065
4993	9068
4994	9070
4995	9072
4996	9074
4997	8737
4998	9077
4999	9078
5006	9116
5008	9125
5026	9145
5027	9146
5028	9147
5029	9148
5030	9149
5049	9195
5050	9196
5051	9197
5052	9198
5053	9201
5054	9202
5055	9206
5056	9207
5057	9208
5066	9269
5067	9271
5068	9273
5149	9513
5226	9785
5306	9811
5307	9813
5308	9814
5309	9818
5310	9820
5311	9916
5312	9918
5313	9921
5314	9920
5315	9926
5316	9928
5317	9931
5318	9933
5319	9935
5320	9937
5321	9939
5322	9942
5323	9945
5324	9950
5325	9952
5326	9954
5327	9957
5328	9959
5329	9961
5330	9964
5331	9966
5332	9968
5333	9970
5334	9972
5335	9974
5336	9979
5337	9980
5338	9983
5339	9985
5340	9986
5341	9987
5342	9993
5343	9995
5344	9997
5345	10001
5346	10003
5347	10005
5348	10007
5349	10009
5350	10011
5351	10013
5352	10015
5386	10098
5387	10097
5487	10248
5666	10482
5667	10487
5668	10490
5669	10499
5670	10507
5671	10509
5672	10511
5673	10516
5674	10518
5675	10520
5676	10525
5677	10529
5678	10531
5679	10533
5680	10542
5681	10544
5682	10546
5683	10619
5684	10621
5685	10548
5686	10550
5687	10552
5688	10630
5689	10554
5690	10556
5691	10558
5692	10560
5693	10562
5694	10564
5695	10566
5696	10568
5697	10570
5698	10572
5699	10574
5700	10632
5701	10647
5702	10650
5706	10662
5746	10768
5766	10846
5767	10840
5768	10841
5786	10861
5806	10907
5807	10906
5997	11449
5998	11450
5999	11451
6000	11448
6001	11452
6002	11453
6004	11456
6005	11457
6006	11458
6007	11459
6008	11460
6009	11461
6010	11464
6011	11465
6012	11466
6013	11467
6014	11468
6015	11472
6016	11473
6017	11476
6018	11477
6019	11478
6020	11479
6021	11480
6056	11611
6136	11643
6216	11993
6576	12044
6577	12045
6578	12046
6579	12047
6580	12048
6581	12049
6582	12050
6583	12052
6584	12053
6585	12055
6586	12056
6587	12059
6588	12060
6589	12061
6590	12062
6591	12063
6592	12064
6596	12065
6597	12066
6598	12067
6599	12068
6600	12069
6601	12070
6602	12071
6603	12072
6604	12073
6605	12074
6606	12075
6607	12076
6608	12077
6609	12078
6610	12079
6611	12080
6612	12081
6613	12082
6614	12083
6615	12084
6616	12085
6617	12086
6618	12087
6619	12088
