field0	field1	field2	field3	field4	field5	field6	field7
4	95	2147483647	262143	640	1	0	0
5	183	60819455	2047	1170	1	0	0
6	162	2147483647	2047	128	1	0	0
21	293	60819455	3	128	1	40	0
24	272	2047	1024	1168	0	10	0
25	134	-1	1024	1040	1	0	0
26	247	2047	1024	1168	0	20	0
27	356	-1	262143	16512	0	0	23
28	182	-1	262143	4256	0	0	2
29	186	-1	262143	4256	0	0	2
30	393	-1	262143	4256	0	0	161
31	50	2147483647	4	1040	1	0	0
33	163	2147483647	4	1040	1	0	0
34	273	2047	4	128	0	0	0
35	262	2047	4	128	0	0	0
36	263	2047	4	128	0	0	0
37	264	2047	4	128	0	0	0
38	260	2047	4	128	0	0	0
39	51	-1	4	1040	1	0	0
40	98	18875469	2047	128	1	0	0
41	98	33555378	2047	160	0	0	21
42	113	8	2047	128	1	0	0
43	113	60819447	2047	160	0	0	21
44	111	4	2047	128	1	0	0
45	111	60819451	2047	160	0	0	21
46	313	64	2047	128	1	0	0
47	313	60819391	2047	160	0	0	21
48	109	33555378	2047	128	1	0	0
49	109	18875469	2047	160	0	0	21
50	115	32	2047	128	1	0	0
51	115	60819423	2047	160	0	0	21
52	315	128	2047	128	1	0	0
53	315	60819327	2047	160	0	0	21
54	130	2047	128	1168	0	4	0
59	96	2047	1024	1168	1	0	0
61	267	-1	2	1040	1	0	0
62	268	2047	2	1170	1	0	0
63	184	-1	2	1040	1	0	0
64	269	2047	2	1168	0	0	0
65	198	2047	2	1168	0	0	0
66	246	2047	2	1168	0	0	0
68	101	4	2047	1170	1	0	0
69	126	8	2047	1170	1	0	0
70	125	2	2047	146	1	0	0
71	124	32	2047	1170	1	0	0
72	220	16	2047	1170	1	0	0
73	254	2047	8	1168	0	10	0
74	253	-1	8	1040	1	0	0
75	39	-1	8	1040	1	0	0
76	241	2047	8	128	0	40	0
79	238	2047	8	1168	0	4	0
81	239	2047	8	1168	0	0	0
82	38	-1	8	1040	1	0	0
83	252	2047	9	128	1	0	0
84	139	2099199	1535	160	0	0	21
85	138	2099199	1535	128	0	0	0
86	129	-1	262111	4224	0	0	63
87	148	1	1535	1170	0	0	181
88	141	2099199	1535	160	0	0	21
89	152	2097156	1535	1170	0	0	181
91	137	60818943	2047	160	0	0	21
92	150	8	1503	1170	0	0	181
93	140	2099199	1535	128	0	0	0
94	149	2	1503	1170	0	0	181
95	373	-1	64	1040	1	0	0
96	375	-1	64	1040	1	0	0
97	199	2047	64	1168	0	0	0
98	374	-1	64	1040	1	0	0
101	355	2147483647	512	1040	1	0	0
102	354	2147483647	512	1040	1	0	0
104	353	2047	256	1170	0	0	0
105	120	2047	256	1170	0	0	0
106	245	2047	1	1168	0	0	0
107	26	2147483647	1	1040	1	0	0
108	255	2047	1	1168	0	0	0
109	256	-1	1	1040	1	0	0
110	257	-1	1	1040	1	0	0
111	244	2047	1	1168	0	0	0
112	243	2047	1	1170	1	0	0
113	258	2047	1	1168	0	10	0
124	160	2147483647	1123	128	1	0	0
127	45	2147483647	4	128	1	0	0
131	118	60819455	12	146	1	1	0
134	46	2147483647	4	128	1	0	0
136	229	2147483647	1575	128	1	0	0
137	227	2047	1029	128	0	0	0
138	136	2147483647	2005	128	1	0	0
142	176	2147483647	9	128	1	0	0
144	228	2147483647	400	146	1	0	0
145	413	60819455	68	128	0	40	0
146	413	60819455	35	128	1	0	0
147	414	60819455	1647	128	1	0	0
148	415	60819455	2047	128	1	0	0
149	242	2047	8	1168	0	16	0
151	416	2047	1	192	1	0	0
155	416	2047	2	192	1	0	0
158	416	2047	1088	192	1	0	0
159	416	2047	12	192	1	0	0
175	418	2047	1	384	1	0	0
178	418	2047	2	384	1	0	0
183	418	2047	1284	384	1	0	0
186	418	2047	144	384	1	0	0
189	419	2047	12	640	1	0	0
191	419	2047	1024	640	1	0	0
193	419	2047	144	640	1	0	0
198	419	2047	2	640	1	0	0
200	419	2047	1	640	1	0	0
203	420	2047	13	1152	1	0	0
204	420	2047	1026	1152	1	0	0
205	420	2047	272	1152	1	0	0
241	171	-1	262143	4256	0	0	41
243	164	-1	262143	4256	0	0	41
244	202	-1	262143	4256	0	0	41
246	433	60819455	67	128	1	0	0
265	419	2047	256	640	1	0	0
266	419	2047	64	640	1	0	0
268	420	2047	128	1152	1	0	0
269	420	2047	64	1152	1	0	0
270	418	2047	72	384	1	0	0
271	416	2047	400	192	1	0	0
272	453	2047	3	128	1	0	0
281	333	-1	262143	4256	0	0	62
282	185	-1	262143	128	0	0	61
284	197	-1	262143	4256	0	0	62
330	473	2147483647	1613	130	1	0	0
381	493	8	1535	164	1	0	0
403	515	2047	1503	128	1	0	0
441	148	2097374	1535	1170	0	0	182
442	152	2097371	1535	1170	0	0	182
443	149	509	1535	1170	0	0	182
445	533	128	1535	1170	0	0	181
446	533	95	1503	1170	0	0	182
461	553	64	1535	1170	0	0	181
463	554	16	1503	1170	0	0	181
464	554	207	1535	1170	0	0	182
481	150	215	1535	1170	0	0	182
501	553	4	1535	1170	0	0	182
521	573	-1	1024	1040	1	0	0
522	574	-1	1024	1040	1	0	0
541	593	2147483647	512	1040	1	0	0
544	594	-1	2	1040	1	0	0
601	633	-1	8	128	0	0	0
628	44	60819455	623	128	1	0	0
632	173	2147483647	1501	128	1	0	0
741	673	16	2047	128	1	0	0
742	673	60819439	2047	160	0	0	21
781	713	2097407	1535	1170	0	0	181
841	733	128	2047	1170	1	0	0
861	753	64	2047	1170	1	0	0
862	754	1	2047	1170	1	0	0
865	142	2047	1535	0	0	0	0
866	755	-1	262143	4256	0	0	41
867	756	512	2047	146	1	0	0
872	43	2147483647	943	128	1	0	0
875	759	1024	262143	128	1	0	0
876	759	60818431	2047	0	0	0	21
877	760	1024	2047	146	1	0	0
879	226	2147483647	4	128	1	0	0
882	137	512	2047	128	1	0	0
883	118	60819455	64	402	2	0	0
888	54	2147483647	1659	128	1	0	0
890	762	58722303	1757	144	0	0	223
892	769	-1	2047	1040	0	0	0
895	772	-1	32	1040	1	0	0
896	770	-1	32	1040	1	0	0
897	771	2359295	32	1040	1	0	0
899	165	-1	262143	4256	0	0	41
900	773	-1	262143	4256	0	0	41
901	55	2147483647	39	128	1	0	0
906	293	61079551	32	128	1	0	0
913	118	2099199	32	146	1	0	0
925	129	-1	32	128	1	0	63
934	762	2099199	32	144	1	0	223
936	776	2359295	32	128	0	0	0
938	777	61341695	2047	2	1	0	0
939	778	-1	2047	2	0	0	0
947	778	-1	2047	0	0	0	0
960	789	2097152	1535	9362	1	0	0
961	790	256	1535	9362	1	0	0
962	792	256	2047	128	1	0	0
963	792	60819199	2047	160	0	0	21
964	791	2097152	2047	128	0	0	0
965	791	58722303	2047	160	0	0	21
970	172	-1	103	128	1	0	0
978	794	-1	262143	128	0	0	224
980	795	62914559	4	1040	1	0	0
981	797	-1	8	128	1	0	0
982	796	-1	32	1040	1	0	0
983	798	4194303	1024	1040	1	0	0
985	800	-1	2	1040	1	0	0
987	801	-1	64	128	1	0	0
989	802	4194303	256	128	1	0	0
990	803	-1	512	128	2	0	0
991	804	62914559	16	1040	1	0	0
997	809	8388607	1535	16	1	0	0
998	810	67108863	2047	130	1	0	0
1002	816	8388607	1535	1040	0	0	0
1003	762	2097152	1437	144	1	20	223
1004	762	2047	258	144	1	20	223
1011	821	67108863	2047	2	0	0	0
