field0	field1	field2	field3
125	757	25245	25245
131	770	25500	25500
132	775	25500	25500
133	778	25500	25500
134	779	25500	25500
135	779	25539	25539
136	779	25540	25540
137	778	25541	25541
150	796	25539	25539
152	801	25604	25604
153	804	25604	25604
154	805	25610	25610
155	806	25500	25500
158	809	25644	25644
159	806	25644	25644
170	829	25855	25855
171	829	25856	25856
172	829	25857	25857
173	829	25858	25858
215	902	26776	0
217	958	27189	27189
218	937	27189	27189
219	960	27190	27190
220	960	27189	27189
221	962	27186	27186
222	952	27187	27187
223	954	27187	27187
224	964	27219	27220
225	965	27222	27222
226	966	27224	27224
227	967	27227	27226
228	968	27231	27231
229	969	27231	27231
230	970	27235	27235
231	970	27238	0
232	971	27189	27189
233	972	27235	27235
235	973	27238	27239
236	974	27241	27242
237	941	27241	27242
238	975	27241	27242
239	976	27243	27243
240	976	27244	27244
241	977	27246	27246
242	978	27246	27246
243	979	27248	27248
244	980	27250	27250
245	981	27238	27239
246	982	27253	27253
247	983	27253	27253
248	983	27188	27188
249	984	27253	27253
252	984	27255	27255
253	984	26914	26914
254	985	27186	27186
255	985	27243	27243
256	986	27267	0
257	987	27268	0
258	988	27267	0
259	989	27270	0
260	990	27270	0
261	991	27271	27271
262	993	27244	27244
266	935	27912	27912
267	935	27910	27910
268	935	27911	27911
269	935	28511	28511
