field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10
779	1153974272	-983498752	1109393408	-1148363660	1065334275	1027721518	14924	571	Waterfall_TurbulenceLrgDir	0
780	1153977958	-983447020	1118033687	0	0	0	14895	571	Waterfall_RegularLarge	0
781	1153822593	-982176082	1122330516	0	0	0	14895	571	Waterfall_RegularLarge	0
782	1153887601	-982220431	1118922762	1056810425	1061436139	1053900283	14924	571	Waterfall_TurbulenceLrgDir	0
783	1154069709	-982031483	1124904862	-1083636590	1054081846	999418489	14915	571	Waterfall_TurbulenceMedDir	0
784	1154283684	-982035702	1126889161	0	0	0	14899	571	Waterfall_RegularMed	0
785	1156249518	-981974671	1127543603	-1083112268	1024847111	-1096052870	14924	571	Waterfall_TurbulenceLrgNarrowDir	0
786	1157071831	-981951857	1128823718	-1083521632	1043701615	-1095314539	14924	571	Waterfall_TurbulenceLrgNarrowDir	0
787	1156430152	-981965046	1127969849	0	0	0	14899	571	Waterfall_RegularMed	0
788	1157221908	-981933302	1129548481	0	0	0	14899	571	Waterfall_RegularMed	0
789	1157701222	-984717230	1118408422	1038223518	1064905885	-1102190681	14915	571	Waterfall_TurbulenceMedDir	0
790	1157590303	-984624374	1120215656	0	0	0	14900	571	Waterfall_RegularSmall	0
791	1157591710	-984799269	1119917402	0	0	0	14900	571	Waterfall_RegularSmall	0
792	1157614041	-984876196	1113219368	0	0	0	14900	571	Waterfall_RegularSmall	0
793	1145345360	-980187443	1125159993	-1125821524	-1082481898	-1102150080	14924	571	Waterfall_TurbulenceLrgDir	0
794	1145226428	-980094280	1116699007	1046983507	-1082571438	1020674819	14924	571	Waterfall_TurbulenceLrgDir	0
795	1144755323	-979996549	1099041446	1047492259	-1083522069	-1096458007	14924	571	Waterfall_TurbulenceLrgDir	0
796	1145671565	-980059382	1099471153	-1134318580	-1146308518	-1082132277	14924	571	Waterfall_TurbulenceLrgDir	0
797	1145195299	-980273459	1128049934	0	0	0	14895	571	Waterfall_RegularLarge	0
799	1151236424	-979443896	1108440305	-1084464847	-1090401818	1026692605	14950	571	Waterfall_TurbulenceHugeNarrowDir	0
800	1153781187	-981050839	1125020271	-1082801638	1048876279	1037714833	14924	571	Waterfall_TurbulenceLrgDir	0
802	1154023424	-981049344	1127474070	0	0	0	14899	571	Waterfall_RegularMed	0
803	1155522888	-979553587	1123244048	-1082793149	1037887974	-1098688772	14924	571	Waterfall_TurbulenceLrgDir	0
