field0	field1	field2	field3	field4
1	62	44425	0	0
3	62	5143	0	0
4	62	30451	0	0
5	63	133	0	0
7	63	11366	0	0
9	64	116	0	0
10	64	31687	0	0
12	64	44549	0	0
27	102	79577	0	0
31	102	24858	0	0
32	102	78675	0	0
33	102	48505	0	0
36	103	5221	0	0
37	103	106839	0	0
38	103	5217	0	0
40	103	1079	0	0
41	103	106832	0	0
44	104	62606	0	0
45	104	106839	0	0
47	104	106952	0	0
49	104	106832	0	0
51	105	48438	0	0
53	105	88423	2782	0
56	105	18562	0	0
57	105	50464	0	0
58	105	102342	0	0
60	71	12294	0	0
61	71	12712	0	0
62	71	1464	0	0
63	71	7384	0	0
65	71	84615	0	0
66	71	12328	0	0
67	71	56638	0	0
451	70	85256	0	0
453	70	53595	0	0
455	70	53385	0	0
457	70	87138	0	0
462	70	53503	0	0
464	70	879	0	0
465	70	84963	0	0
466	70	107396	0	0
931	65	53576	0	0
932	65	54151	0	0
934	65	53551	0	0
935	65	85512	0	0
939	65	54428	0	0
941	65	20473	0	0
942	65	2812	0	0
943	65	85222	0	0
944	66	31935	0	0
945	66	53600	0	0
946	66	85043	0	0
948	66	105805	0	0
950	66	53592	0	0
951	66	84839	0	0
952	66	53595	0	0
953	66	105424	0	0
954	65	82327	0	0
955	65	53563	0	0
956	71	29725	0	0
958	72	23881	0	0
959	72	23588	0	0
960	72	100130	0	0
961	72	85288	0	0
962	72	46917	0	0
963	72	81099	0	0
964	72	46915	0	0
965	72	12972	0	0
967	102	78674	0	0
968	102	81062	0	0
969	102	93399	0	0
970	102	33605	0	0
971	102	33596	0	0
974	102	48393	0	0
978	102	84738	0	0
979	103	106952	0	0
982	103	16949	0	0
984	103	17007	0	0
985	103	33873	0	0
986	103	16974	0	0
987	103	16961	0	0
988	73	23922	0	0
989	73	29144	0	0
990	73	2565	0	0
991	73	6572	0	0
992	73	12975	0	0
993	73	20243	7386	0
994	73	84615	0	0
996	73	84608	0	0
998	104	5229	0	0
999	104	17007	0	0
1000	104	33873	0	0
1001	104	16961	0	0
1002	104	61336	0	0
1003	104	16931	0	0
1004	104	84840	0	0
1006	105	48500	0	0
1007	105	92364	0	0
1008	105	85101	0	0
1010	105	84736	0	0
1011	105	48544	0	0
1012	105	33886	0	0
1013	105	106735	0	0
1015	102	106732	0	0
1706	71	86101	0	0
1707	72	86110	0	0
1708	73	86535	0	0
1709	66	86102	0	0
1710	70	86539	0	0
2174	263	60103	0	0
2175	264	974	0	0
2176	265	30108	0	0
2177	265	27243	0	0
2178	265	108558	0	0
2180	265	103103	686	0
2181	265	86121	0	0
2182	265	74434	0	0
2184	265	104243	0	0
2186	265	103101	0	0
2190	265	86664	0	0
2191	266	103958	0	0
