field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11
42	86318	0	0	0	1065353216	0	0	0	0	1	0
94	59578	450913	9	-1	1065353216	0	2	0	0	0	0
98	50227	449494	9	-1	1065353216	0	512	0	0	0	0
101	79683	449486	3	-1	1065353216	2048	0	0	0	0	0
102	52437	449493	9	-1	1065353216	0	1073741824	0	0	0	0
110	88819	0	0	-1	1065353216	2097152	0	0	0	0	0
111	60349	450927	4	-1	1065353216	0	0	0	0	0	0
112	85416	450925	9	-1	1065353216	16384	0	0	0	0	0
114	5308	0	0	0	1065353216	536870912	0	0	0	1	0
115	24275	0	0	0	1065353216	0	128	0	0	1	0
117	48108	449490	9	-1	1065353216	4194304	0	0	0	0	0
118	57761	449488	9	-1	1065353216	1	4096	0	0	0	0
119	44544	449489	4	-1	1065353216	131072	1048576	0	0	0	0
120	81340	450932	9	-1	1065353216	8192	0	0	0	0	0
121	59052	450930	4	-1	1065353216	2	2	0	0	0	0
123	82926	450928	4	-1	1065353216	131072	0	0	0	0	0
124	56453	450926	4	-1	1065353216	0	-2147483648	0	0	0	0
125	48517	0	0	-1	1065353216	3	0	0	0	0	0
126	48518	0	0	0	1065353216	6	8388608	0	0	0	0
127	88688	450933	9	-1	1065353216	2048	0	0	0	0	0
128	88689	450933	9	-1	1065353216	2048	0	0	0	0	0
129	88843	450916	9	-1	1065353216	65536	0	0	0	0	0
130	81022	0	0	0	1065353216	65536	0	0	0	0	0
131	81021	0	0	0	1065353216	65536	0	0	0	0	0
132	58923	0	0	0	1065353216	0	64	0	0	0	0
136	81093	460831	4	-1	1065353216	4	0	0	0	0	0
137	33891	0	0	0	1065353216	577	67108880	0	0	0	0
138	74434	0	0	0	1065353216	8192	0	0	0	0	0
139	85288	0	0	0	1065353216	0	8192	0	0	1	0
140	34428	0	0	0	1065353216	0	256	0	0	1	0
141	46916	449487	9	-1	1065353216	0	0	32	0	0	0
142	7384	0	0	0	1065353216	4	0	0	0	1	0
144	17941	449492	9	-1	1065353216	0	0	33554432	32	0	0
145	47283	449491	9	-1	1065353216	0	128	0	0	0	0
148	16870	450929	9	-1	1065353216	0	0	0	0	0	0
155	5143	0	0	-1	1065353216	0	0	0	0	-1	0
