field0	field1	field2	field3	field4	field5	field6
1	10	0	0	100	0	0
5	96	0	20	101	0	0
9	118	0	0	100	0	699048
12	324	0	0	100	1	139944
13	339	0	0	100	0	664232
15	379	0	0	101	0	40
17	512	0	0	100	0	664232
18	589	0	0	100	0	0
23	742	0	0	35	0	20
28	974	0	0	100	9	172712
35	1463	0	0	0	0	139944
37	1513	0	0	100	0	664232
38	1680	0	0	0	0	0
41	1776	0	0	100	1	664232
42	1784	0	0	100	1	664232
44	1834	0	20	101	0	0
46	2094	0	0	100	1	664232
51	2479	0	0	100	0	664232
53	2766	0	100	101	0	0
55	2823	0	0	30	0	20
57	2880	0	0	30	0	20
59	3043	0	3	101	0	0
60	3169	0	0	101	0	40
61	3232	0	0	100	5	20
62	3235	0	0	15	0	40
63	3284	0	0	10	0	40
64	3338	0	0	25	0	131752
67	3394	0	0	15	0	20
68	3408	0	0	50	0	20
69	3409	0	0	100	0	32768
70	3411	0	0	100	1	680
71	3417	0	0	10	0	20
72	3418	0	0	10	0	40
73	3424	0	0	35	0	20
75	3439	0	0	10	0	40
76	3440	0	0	5	0	20
77	3509	0	0	100	0	20
78	3512	0	0	100	0	20
79	3582	0	0	10	0	20
80	3616	0	0	15	0	20
81	3637	0	0	10	0	40
83	4070	0	0	2	0	40
84	4071	0	0	101	0	40
85	4112	0	0	5	0	40
86	4113	0	0	6	0	40
87	4114	0	0	8	0	40
88	4115	0	0	7	0	40
89	4133	0	0	5	0	40
90	4136	0	0	7	0	40
91	4138	0	0	9	0	40
92	4140	0	0	11	0	40
93	4142	0	0	100	0	2
94	4144	0	0	5	0	20
95	4241	0	0	5	0	20
96	4242	0	0	100	0	20
97	4245	0	0	5	0	20
98	4279	0	0	5	0	20
99	4283	0	0	5	0	20
100	4284	0	0	5	0	20
101	4312	0	0	101	0	1
102	4315	0	0	5	0	20
103	4317	0	0	5	0	20
104	4341	0	0	100	5	65536
105	4493	0	0	2	0	20
106	4525	0	0	15	0	40
108	4932	0	0	100	0	40
109	4951	0	0	20	10	40
110	5104	0	0	5	0	20
111	5118	0	0	100	0	139944
112	5202	0	0	100	0	20
113	5205	0	0	100	0	40
116	5215	0	0	100	1	664232
117	5246	0	0	100	0	664232
118	5262	0	0	100	0	20
119	5301	0	0	100	0	680
121	5308	0	0	0	0	0
122	5364	0	0	15	0	40
123	5368	0	0	15	0	40
124	5369	0	0	15	0	40
125	5370	0	0	15	0	40
126	5377	0	0	5	0	20
128	5427	0	0	2	0	20
129	5484	0	0	100	0	664232
132	5672	0	0	0	0	0
133	5677	0	0	0	0	0
134	5680	0	0	35	0	20
135	5707	0	0	101	0	1
136	5728	0	0	50	0	1048576
137	5760	0	0	100	0	32768
138	5761	0	0	50	0	20
140	5811	0	0	10	0	40
142	5952	0	0	50	0	349456
145	6346	0	0	100	1	139264
147	6433	0	0	15	0	40
151	6645	0	0	10	0	20
152	6727	0	0	101	0	1
153	6750	0	0	15	0	20
154	6752	0	0	10	0	20
155	6770	0	0	100	0	0
159	6867	0	0	5	0	20
161	6871	0	0	5	0	20
162	6905	0	0	100	0	139944
164	6917	0	3	101	0	0
165	6921	0	0	100	1	20
166	6923	0	0	10	0	20
167	6940	0	0	100	0	699048
168	6947	0	0	5	0	20
169	6961	0	0	10	0	20
170	6984	0	0	100	0	664232
171	7001	0	0	100	1	1188520
173	7095	0	0	15	0	20
176	7103	0	0	10	0	40
177	7131	0	0	100	0	664232
178	7137	0	0	100	1	20
180	7164	0	0	100	0	139944
181	7276	0	0	5	0	20
