field0	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10
1	17	0	0	0	0	0	0	0	0	6788
2	66	0	0	0	12	0	0	0	0	0
3	100	0	0	0	0	0	0	0	124184	65219
4	130	0	0	0	0	0	0	0	79636	0
6	642	0	0	0	0	0	0	0	61988	0
7	883	0	0	0	0	0	0	0	61431	0
8	1022	0	0	0	0	0	0	0	0	61988
9	1706	0	0	0	0	0	0	0	79636	0
10	1784	0	0	0	12	0	0	0	0	0
11	1856	0	0	0	12	0	0	0	0	0
12	2425	0	0	0	12	0	0	0	0	0
13	3411	0	0	0	0	0	0	0	0	65219
14	3680	0	0	0	12	0	0	0	0	0
15	4079	0	0	0	12	0	0	0	0	0
16	4342	0	0	0	0	0	4341	0	0	0
17	4986	0	0	0	12	0	0	0	0	0
18	5143	0	0	0	0	0	79683	0	0	0
19	5215	0	0	0	12	0	0	0	0	0
20	5217	0	0	0	0	0	0	0	106976	0
21	5308	0	0	2	0	0	0	0	0	0
22	5543	0	0	0	12	0	0	0	0	0
23	5858	0	0	0	12	0	0	0	0	0
26	6538	0	0	0	12	0	0	0	0	0
27	6572	0	1	0	0	0	0	0	0	0
28	6634	0	0	0	12	0	0	0	0	0
31	7450	0	0	0	0	0	51455	0	0	0
32	7870	0	0	0	12	0	0	0	0	0
33	7938	0	0	2	0	0	0	0	0	0
34	8149	0	0	0	12	0	0	0	0	0
35	8152	0	0	0	12	0	0	0	0	0
36	8218	0	0	0	12	0	0	0	0	0
37	9093	0	0	0	12	0	0	0	0	0
38	9587	0	0	0	12	0	0	0	0	0
39	9738	0	0	0	12	0	0	0	0	0
40	11327	0	0	0	12	0	0	0	0	0
41	11392	0	0	0	12	0	0	0	0	0
42	12042	0	0	0	0	0	0	0	12043	0
43	12043	0	0	0	0	0	0	0	12042	0
44	12438	0	0	0	0	0	0	0	79636	0
45	12845	0	0	0	12	0	0	0	0	0
46	14083	0	0	13	0	0	0	0	0	0
47	14251	0	1	0	0	0	0	0	0	0
48	16122	0	0	0	12	0	0	0	0	0
49	16380	0	0	0	12	0	0	0	0	0
50	16495	0	0	2	0	0	0	0	0	0
51	16593	0	0	0	0	0	0	0	79636	0
52	17170	0	2	0	0	0	0	0	0	0
54	18562	0	0	15	0	0	0	0	0	0
55	19130	0	1	0	0	0	0	0	0	0
56	19306	0	7	0	0	0	0	0	0	0
57	20252	0	0	0	0	0	0	0	0	65219
58	20271	0	5	0	0	0	0	0	0	0
59	20539	0	0	2	0	0	0	0	0	0
60	20540	0	0	0	12	0	0	0	0	0
61	20672	0	0	0	12	0	0	0	0	0
62	22766	0	0	0	12	0	0	0	0	0
63	22911	0	0	0	4	0	0	0	0	0
66	24275	0	0	2	0	0	0	0	0	0
67	24450	0	0	0	12	0	0	0	0	0
68	24927	0	0	0	0	0	0	0	79636	0
69	28500	0	0	0	12	0	0	0	0	0
70	29364	0	0	2	0	0	0	0	0	0
71	29627	0	0	0	12	0	0	0	0	0
72	29909	0	0	2	0	0	0	0	0	0
73	29921	0	0	0	12	0	0	0	0	0
75	30628	0	0	0	12	0	0	0	0	0
76	30831	0	0	0	12	0	0	0	0	0
77	30991	0	0	0	12	0	0	0	0	0
78	31819	0	7	0	0	0	0	0	0	0
80	32199	0	0	0	12	0	0	0	0	0
81	32612	0	0	0	12	0	0	0	0	0
82	32615	0	0	0	12	0	0	0	0	0
84	32648	0	0	0	12	0	0	0	0	0
85	32772	0	0	2	0	0	0	0	0	0
86	32811	0	0	0	12	0	0	0	0	0
87	32943	0	0	0	12	0	0	0	0	0
88	34097	0	1	0	0	0	0	0	0	0
89	34189	0	0	0	12	0	0	0	0	0
90	34243	0	7	0	0	0	0	0	0	0
91	34428	0	10	0	0	0	0	0	0	0
92	34840	0	0	0	12	0	0	0	0	0
93	34858	0	0	0	12	0	0	0	0	0
94	35062	0	0	0	4	0	0	0	0	0
95	35205	0	0	0	12	0	0	0	0	0
